TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	CR	1	1	15	   20.00	1	   -8.00	0	0	17996.84	-6	7	NULL
real	GL	2	1	15	  -20.00	0	    8.00	0	0	  825.51	-3	7	NULL
real	EL	3	1	-15	  -20.00	0	    8.00	0	0	  731.12	-3	7	NULL
real	DL	4	1	15	  -20.00	0	    8.00	0	0	  740.46	-6	5	NULL
real	BL	5	1	-15	  -20.00	0	    8.00	0	0	  692.18	-6	5	NULL
real	BR	6	1	-15	   20.00	1	   -8.00	0	0	  801.29	-6	5	NULL
real	HL	7	1	15	  -20.00	0	    8.00	0	0	  629.67	-3	5	NULL
real	AR	8	1	-15	   20.00	1	   -8.00	0	0	  787.26	-6	7	NULL
real	AL	9	1	-15	  -20.00	0	    8.00	0	0	  665.86	-6	7	NULL
real	DR	10	1	15	   20.00	1	   -8.00	0	0	  635.51	-6	5	NULL
real	FR	11	1	-15	   20.00	1	   -8.00	0	0	  595.46	-3	5	NULL
real	GR	12	1	15	   20.00	1	   -8.00	0	0	  620.61	-3	7	NULL
real	HR	13	1	15	   20.00	1	   -8.00	0	0	  791.53	-3	5	NULL
real	CL	14	1	15	  -20.00	0	    8.00	0	0	  747.98	-6	7	NULL
real	FL	15	1	-15	  -20.00	0	    8.00	0	0	  594.44	-3	5	NULL
real	ER	16	1	-15	   20.00	1	   -8.00	0	0	  606.40	-3	7	NULL
real	ER	17	2	-15	   12.00	1	   -8.00	0	0	  624.82	-3	7	NULL
real	EL	18	2	-15	  -12.00	0	    8.00	0	0	  924.02	-3	7	NULL
real	DR	19	2	15	   12.00	1	   -8.00	0	0	  701.01	-6	5	NULL
real	CR	20	2	15	   12.00	1	   -8.00	0	0	  631.15	-6	7	NULL
real	AL	21	2	-15	  -12.00	0	    8.00	0	0	  677.30	-6	7	NULL
real	GL	22	2	15	  -12.00	0	    8.00	0	0	  664.02	-3	7	NULL
real	BR	23	2	-15	   12.00	1	   -8.00	0	0	  590.42	-6	5	NULL
real	GR	24	2	15	   12.00	1	   -8.00	0	0	  678.35	-3	7	NULL
real	FR	25	2	-15	   12.00	1	   -8.00	0	0	  710.72	-3	5	NULL
real	HR	26	2	15	   12.00	1	   -8.00	0	0	  686.32	-3	5	NULL
real	FL	27	2	-15	  -12.00	0	    8.00	0	0	  800.66	-3	5	NULL
real	CL	28	2	15	  -12.00	0	    8.00	0	0	  806.29	-6	7	NULL
real	BL	29	2	-15	  -12.00	0	    8.00	0	0	  645.97	-6	5	NULL
real	HL	30	2	15	  -12.00	0	    8.00	0	0	  644.21	-3	5	NULL
real	DL	31	2	15	  -12.00	0	    8.00	0	0	  615.11	-6	5	NULL
real	AR	32	2	-15	   12.00	1	   -8.00	0	0	 1126.42	-6	7	NULL
real	EL	33	3	-15	   -4.00	0	    8.00	0	0	 1593.26	-3	7	NULL
real	DL	34	3	15	   -4.00	0	    8.00	0	0	  980.50	-6	5	NULL
real	AL	35	3	-15	   -4.00	0	    8.00	0	0	 1028.18	-6	7	NULL
real	GL	36	3	15	   -4.00	0	    8.00	0	0	  853.51	-3	7	NULL
real	BR	37	3	-15	    4.00	1	   -8.00	0	0	 1197.90	-6	5	NULL
real	HR	38	3	15	    4.00	1	   -8.00	0	0	 2821.29	-3	5	NULL
real	CR	39	3	15	    4.00	0	    4.00	1	1	 1163.95	-6	7	NULL
real	AR	40	3	-15	    4.00	1	   -8.00	0	0	  843.74	-6	7	NULL
real	DR	41	3	15	    4.00	1	   -8.00	0	0	 2168.10	-6	5	NULL
real	BL	42	3	-15	   -4.00	0	    8.00	0	0	  947.37	-6	5	NULL
real	CL	43	3	15	   -4.00	0	    8.00	0	0	  784.33	-6	7	NULL
real	HL	44	3	15	   -4.00	0	    8.00	0	0	 1002.52	-3	5	NULL
real	GR	45	3	15	    4.00	1	   -8.00	0	0	  783.16	-3	7	NULL
real	ER	46	3	-15	    4.00	1	   -8.00	0	0	  763.29	-3	7	NULL
real	FR	47	3	-15	    4.00	1	   -8.00	0	0	  850.44	-3	5	NULL
real	FL	48	3	-15	   -4.00	0	    8.00	0	0	 1012.09	-3	5	NULL
real	EL	49	4	-15	    4.00	1	   -4.00	1	1	  567.72	-3	7	NULL
real	AR	50	4	-15	   -4.00	0	    4.00	1	1	  710.65	-6	7	NULL
real	FR	51	4	-15	   -4.00	0	    4.00	1	1	 1125.05	-3	5	NULL
