TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	CR	1	1	15	   20.00	1	   -8.00	0	0	 5276.78	-6	7	NULL
real	GL	2	1	15	  -20.00	0	    8.00	0	0	 1661.80	-3	7	NULL
real	FL	3	1	-15	  -20.00	0	    8.00	0	0	  958.38	-3	5	NULL
real	BR	4	1	-15	   20.00	1	   -8.00	0	0	  888.45	-6	5	NULL
real	AL	5	1	-15	  -20.00	0	    8.00	0	0	 1028.11	-6	7	NULL
real	EL	6	1	-15	  -20.00	0	    8.00	0	0	 1222.58	-3	7	NULL
real	GR	7	1	15	   20.00	1	   -8.00	0	0	  919.24	-3	7	NULL
real	HL	8	1	15	  -20.00	0	    8.00	0	0	  996.75	-3	5	NULL
real	HR	9	1	15	   20.00	1	   -8.00	0	0	 1004.65	-3	5	NULL
real	CL	10	1	15	  -20.00	0	    8.00	0	0	  795.68	-6	7	NULL
real	BL	11	1	-15	  -20.00	0	    8.00	0	0	  913.98	-6	5	NULL
real	ER	12	1	-15	   20.00	1	   -8.00	0	0	  876.27	-3	7	NULL
real	FR	13	1	-15	   20.00	1	   -8.00	0	0	  885.16	-3	5	NULL
real	DR	14	1	15	   20.00	1	   -8.00	0	0	 1247.17	-6	5	NULL
real	AR	15	1	-15	   20.00	1	   -8.00	0	0	 1115.12	-6	7	NULL
real	DL	16	1	15	  -20.00	0	    8.00	0	0	  619.03	-6	5	NULL
real	CL	17	2	15	  -12.00	0	    8.00	0	0	  786.34	-6	7	NULL
real	DL	18	2	15	  -12.00	0	    8.00	0	0	  961.51	-6	5	NULL
real	GR	19	2	15	   12.00	1	   -8.00	0	0	 1121.47	-3	7	NULL
real	AL	20	2	-15	  -12.00	0	    8.00	0	0	  877.81	-6	7	NULL
real	AR	21	2	-15	   12.00	1	   -8.00	0	0	  852.90	-6	7	NULL
real	FL	22	2	-15	  -12.00	0	    8.00	0	0	  804.09	-3	5	NULL
real	BL	23	2	-15	  -12.00	0	    8.00	0	0	  895.95	-6	5	NULL
real	DR	24	2	15	   12.00	1	   -8.00	0	0	  775.63	-6	5	NULL
real	ER	25	2	-15	   12.00	1	   -8.00	0	0	  879.49	-3	7	NULL
real	BR	26	2	-15	   12.00	1	   -8.00	0	0	  735.58	-6	5	NULL
