TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	HR	1	1	15	   20.00	1	   -8.00	0	0	 2300.59	-3	5	NULL
real	FR	2	1	-15	   20.00	1	   -8.00	0	0	  901.94	-3	5	NULL
real	DR	3	1	15	   20.00	1	   -8.00	0	0	  541.89	-6	5	NULL
real	HL	4	1	15	  -20.00	0	    8.00	0	0	  489.54	-3	5	NULL
real	BL	5	1	-15	  -20.00	0	    8.00	0	0	  520.48	-6	5	NULL
real	BR	6	1	-15	   20.00	1	   -8.00	0	0	  428.33	-6	5	NULL
real	DL	7	1	15	  -20.00	0	    8.00	0	0	  436.89	-6	5	NULL
real	GR	8	1	15	   20.00	1	   -8.00	0	0	  409.65	-3	7	NULL
real	AL	9	1	-15	  -20.00	0	    8.00	0	0	  386.96	-6	7	NULL
real	CR	10	1	15	   20.00	1	   -8.00	0	0	  318.91	-6	7	NULL
real	GL	11	1	15	  -20.00	0	    8.00	0	0	  321.85	-3	7	NULL
real	CL	12	1	15	  -20.00	0	    8.00	0	0	  491.11	-6	7	NULL
real	EL	13	1	-15	  -20.00	0	    8.00	0	0	  461.58	-3	7	NULL
real	AR	14	1	-15	   20.00	1	   -8.00	0	0	  386.77	-6	7	NULL
real	FL	15	1	-15	  -20.00	0	    8.00	0	0	  461.35	-3	5	NULL
real	ER	16	1	-15	   20.00	1	   -8.00	0	0	  445.02	-3	7	NULL
real	GL	17	2	15	  -12.00	0	    8.00	0	0	  603.89	-3	7	NULL
real	BL	18	2	-15	  -12.00	0	    8.00	0	0	  987.26	-6	5	NULL
real	EL	19	2	-15	  -12.00	0	    8.00	0	0	  857.76	-3	7	NULL
real	CR	20	2	15	   12.00	1	   -8.00	0	0	  499.55	-6	7	NULL
real	CL	21	2	15	  -12.00	0	    8.00	0	0	  350.82	-6	7	NULL
real	AL	22	2	-15	  -12.00	0	    8.00	0	0	  387.77	-6	7	NULL
real	ER	23	2	-15	   12.00	1	   -8.00	0	0	  396.80	-3	7	NULL
real	BR	24	2	-15	   12.00	1	   -8.00	0	0	  414.76	-6	5	NULL
real	DR	25	2	15	   12.00	1	   -8.00	0	0	  404.87	-6	5	NULL
real	FL	26	2	-15	  -12.00	0	    8.00	0	0	  342.98	-3	5	NULL
real	AR	27	2	-15	   12.00	1	   -8.00	0	0	  375.27	-6	7	NULL
real	HR	28	2	15	   12.00	1	   -8.00	0	0	  407.20	-3	5	NULL
real	FR	29	2	-15	   12.00	1	   -8.00	0	0	  345.70	-3	5	NULL
real	HL	30	2	15	  -12.00	0	    8.00	0	0	  554.27	-3	5	NULL
real	DL	31	2	15	  -12.00	0	    8.00	0	0	 1141.55	-6	5	NULL
real	GR	32	2	15	   12.00	1	   -8.00	0	0	  605.06	-3	7	NULL
real	GL	33	3	15	   -4.00	0	    8.00	0	0	  620.07	-3	7	NULL
real	BR	34	3	-15	    4.00	1	   -8.00	0	0	  422.15	-6	5	NULL
real	DR	35	3	15	    4.00	1	   -8.00	0	0	  515.07	-6	5	NULL
real	FR	36	3	-15	    4.00	1	   -8.00	0	0	  532.20	-3	5	NULL
real	GR	37	3	15	    4.00	1	   -8.00	0	0	  590.40	-3	7	NULL
real	DL	38	3	15	   -4.00	0	    8.00	0	0	  472.18	-6	5	NULL
real	CR	39	3	15	    4.00	1	   -8.00	0	0	  373.14	-6	7	NULL
real	FL	40	3	-15	   -4.00	0	    8.00	0	0	  596.94	-3	5	NULL
real	EL	41	3	-15	   -4.00	0	    8.00	0	0	  680.51	-3	7	NULL
real	HR	42	3	15	    4.00	1	   -8.00	0	0	  331.07	-3	5	NULL
real	CL	43	3	15	   -4.00	0	    8.00	0	0	  402.08	-6	7	NULL
real	ER	44	3	-15	    4.00	1	   -8.00	0	0	  315.24	-3	7	NULL
real	HL	45	3	15	   -4.00	0	    8.00	0	0	  606.37	-3	5	NULL
real	AL	46	3	-15	   -4.00	0	    8.00	0	0	  387.19	-6	7	NULL
real	AR	47	3	-15	    4.00	1	   -8.00	0	0	  381.68	-6	7	NULL
real	BL	48	3	-15	   -4.00	0	    8.00	0	0	  374.01	-6	5	NULL
real	HL	49	4	15	    4.00	1	   -4.00	1	1	  401.45	-3	5	NULL
real	DR	50	4	15	   -4.00	0	    4.00	1	1	  408.16	-6	5	NULL
real	GL	51	4	15	    4.00	1	   -4.00	1	1	  341.70	-3	7	NULL
real	GR	52	4	15	   -4.00	0	    4.00	1	1	  407.82	-3	7	NULL
real	AR	53	4	-15	   -4.00	0	    4.00	1	1	  956.22	-6	7	NULL
real	HR	54	4	15	   -4.00	0	    4.00	1	1	  424.78	-3	5	NULL
real	EL	55	4	-15	    4.00	1	   -4.00	1	1	  555.45	-3	7	NULL
real	FR	56	4	-15	   -4.00	0	    4.00	1	1	  447.88	-3	5	NULL
real	CL	57	4	15	    4.00	1	   -4.00	1	1	  333.86	-6	7	NULL
real	ER	58	4	-15	   -4.00	0	    4.00	1	1	  894.49	-3	7	NULL
real	BL	59	4	-15	    4.00	1	   -4.00	1	1	  442.76	-6	5	NULL
real	CR	60	4	15	   -4.00	0	    4.00	1	1	  481.89	-6	7	NULL
real	FL	61	4	-15	    4.00	1	   -4.00	1	1	  308.29	-3	5	NULL
real	BR	62	4	-15	   -4.00	0	    4.00	1	1	 1119.63	-6	5	NULL
real	DL	63	4	15	    4.00	1	   -4.00	1	1	  416.93	-6	5	NULL
real	AL	64	4	-15	    4.00	1	   -4.00	1	1	  410.16	-6	7	NULL
real	AL	65	5	-15	    0.00	1	   -4.00	0	1	  646.46	-6	7	NULL
real	HR	66	5	15	    0.00	1	   -2.00	1	2	  768.11	-3	5	NULL
real	DR	67	5	15	    0.00	1	   -2.00	1	2	  675.93	-6	5	NULL
real	CL	68	5	15	    0.00	1	   -4.00	0	1	  658.28	-6	7	NULL
real	EL	69	5	-15	    0.00	1	   -4.00	0	1	 1259.73	-3	7	NULL
real	BR	70	5	-15	    0.00	1	   -2.00	1	2	  507.33	-6	5	NULL
real	CR	71	5	15	    0.00	1	   -2.00	1	2	  415.24	-6	7	NULL
real	ER	72	5	-15	    0.00	1	   -2.00	1	2	  382.74	-3	7	NULL
real	AR	73	5	-15	    0.00	1	   -2.00	1	2	  530.92	-6	7	NULL
real	GR	74	5	15	    0.00	1	   -2.00	1	2	  578.19	-3	7	NULL
real	FR	75	5	-15	    0.00	1	   -2.00	1	2	  629.85	-3	5	NULL
real	GL	76	5	15	    0.00	0	    2.00	1	2	  758.08	-3	7	NULL
real	HL	77	5	15	    0.00	0	    2.00	1	2	  773.06	-3	5	NULL
real	DL	78	5	15	    0.00	1	   -4.00	0	1	  748.74	-6	5	NULL
real	FL	79	5	-15	    0.00	1	   -4.00	0	1	  645.23	-3	5	NULL
real	BL	80	5	-15	    0.00	1	   -4.00	0	1	  544.94	-6	5	NULL
real	HL	81	6	15	    2.00	1	   -1.00	1	3	  578.85	-3	5	NULL
real	DL	82	6	15	   -4.00	0	    2.00	1	2	  554.96	-6	5	NULL
real	AR	83	6	-15	   -2.00	0	    1.00	1	3	  902.83	-6	7	NULL
