TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	HR	1	1	15	   20.00	1	   -8.00	0	0	14735.79	-3	5	NULL
real	BL	2	1	-15	  -20.00	0	    8.00	0	0	 5520.52	-6	5	NULL
real	AL	3	1	-15	  -20.00	0	    8.00	0	0	 1435.85	-6	7	NULL
real	CL	4	1	15	  -20.00	0	    8.00	0	0	 1609.70	-6	7	NULL
real	DL	5	1	15	  -20.00	0	    8.00	0	0	 1712.47	-6	5	NULL
real	BR	6	1	-15	   20.00	1	   -8.00	0	0	 1419.26	-6	5	NULL
real	ER	7	1	-15	   20.00	1	   -8.00	0	0	 1521.16	-3	7	NULL
real	HL	8	1	15	  -20.00	0	    8.00	0	0	 1338.90	-3	5	NULL
real	AR	9	1	-15	   20.00	1	   -8.00	0	0	  996.50	-6	7	NULL
real	EL	10	1	-15	  -20.00	0	    8.00	0	0	  917.11	-3	7	NULL
real	DR	11	1	15	   20.00	1	   -8.00	0	0	 1118.69	-6	5	NULL
real	FL	12	1	-15	  -20.00	0	    8.00	0	0	 1123.63	-3	5	NULL
real	CR	13	1	15	   20.00	1	   -8.00	0	0	  884.34	-6	7	NULL
real	FR	14	1	-15	   20.00	1	   -8.00	0	0	 1874.60	-3	5	NULL
real	GR	15	1	15	   20.00	1	   -8.00	0	0	 1227.68	-3	7	NULL
real	GL	16	1	15	  -20.00	0	    8.00	0	0	  779.15	-3	7	NULL
real	CL	17	2	15	  -12.00	0	    8.00	0	0	 1573.06	-6	7	NULL
real	AR	18	2	-15	   12.00	1	   -8.00	0	0	 1130.71	-6	7	NULL
real	ER	19	2	-15	   12.00	1	   -8.00	0	0	 1003.28	-3	7	NULL
real	DL	20	2	15	  -12.00	0	    8.00	0	0	  774.42	-6	5	NULL
real	GR	21	2	15	   12.00	1	   -8.00	0	0	  917.82	-3	7	NULL
real	FL	22	2	-15	  -12.00	0	    8.00	0	0	  687.65	-3	5	NULL
real	FR	23	2	-15	   12.00	1	   -8.00	0	0	  822.71	-3	5	NULL
real	HR	24	2	15	   12.00	1	   -8.00	0	0	  846.54	-3	5	NULL
real	CR	25	2	15	   12.00	1	   -8.00	0	0	  768.38	-6	7	NULL
real	DR	26	2	15	   12.00	1	   -8.00	0	0	  693.50	-6	5	NULL
real	AL	27	2	-15	  -12.00	0	    8.00	0	0	  702.60	-6	7	NULL
real	HL	28	2	15	  -12.00	0	    8.00	0	0	  734.20	-3	5	NULL
real	GL	29	2	15	  -12.00	0	    8.00	0	0	  636.90	-3	7	NULL
real	EL	30	2	-15	  -12.00	0	    8.00	0	0	  616.07	-3	7	NULL
real	BR	31	2	-15	   12.00	1	   -8.00	0	0	  623.94	-6	5	NULL
real	BL	32	2	-15	  -12.00	0	    8.00	0	0	  542.80	-6	5	NULL
real	AL	33	3	-15	   -4.00	1	   -4.00	1	1	 1639.56	-6	7	NULL
real	FL	34	3	-15	   -4.00	0	    8.00	0	0	 1845.13	-3	5	NULL
real	CL	35	3	15	   -4.00	0	    8.00	0	0	  714.31	-6	7	NULL
real	GL	36	3	15	   -4.00	0	    8.00	0	0	  825.56	-3	7	NULL
real	GR	37	3	15	    4.00	1	   -8.00	0	0	 1654.75	-3	7	NULL
real	HR	38	3	15	    4.00	1	   -8.00	0	0	 1262.58	-3	5	NULL
real	FR	39	3	-15	    4.00	1	   -8.00	0	0	  621.01	-3	5	NULL
real	HL	40	3	15	   -4.00	0	    8.00	0	0	  864.95	-3	5	NULL
real	EL	41	3	-15	   -4.00	1	   -4.00	1	1	 1045.99	-3	7	NULL
real	BL	42	3	-15	   -4.00	0	    8.00	0	0	  669.30	-6	5	NULL
real	DL	43	3	15	   -4.00	0	    8.00	0	0	  871.56	-6	5	NULL
real	BR	44	3	-15	    4.00	1	   -8.00	0	0	  606.47	-6	5	NULL
real	AR	45	3	-15	    4.00	1	   -8.00	0	0	  607.48	-6	7	NULL
real	ER	46	3	-15	    4.00	1	   -8.00	0	0	  696.51	-3	7	NULL
real	CR	47	3	15	    4.00	1	   -8.00	0	0	  688.02	-6	7	NULL
real	DR	48	3	15	    4.00	1	   -8.00	0	0	  616.44	-6	5	NULL
real	AR	49	4	-15	   -4.00	0	    4.00	1	1	 1133.30	-6	7	NULL
real	GR	50	4	15	   -4.00	0	    4.00	1	1	  915.90	-3	7	NULL
real	AL	51	4	-15	   -8.00	0	    2.00	1	2	  580.21	-6	7	NULL
real	BL	52	4	-15	    4.00	1	   -4.00	1	1	  654.48	-6	5	NULL
real	ER	53	4	-15	   -4.00	0	    4.00	1	1	  717.42	-3	7	NULL
real	GL	54	4	15	    4.00	1	   -4.00	1	1	  644.21	-3	7	NULL
real	FL	55	4	-15	    4.00	1	   -4.00	1	1	  653.48	-3	5	NULL
real	EL	56	4	-15	   -8.00	0	    2.00	1	2	  644.41	-3	7	NULL
real	FR	57	4	-15	   -4.00	0	    4.00	1	1	  661.47	-3	5	NULL
real	BR	58	4	-15	   -4.00	0	    4.00	1	1	  581.15	-6	5	NULL
real	HR	59	4	15	   -4.00	0	    4.00	1	1	  646.24	-3	5	NULL
real	CL	60	4	15	    4.00	1	   -4.00	1	1	  648.95	-6	7	NULL
real	DR	61	4	15	   -4.00	0	    4.00	1	1	  703.56	-6	5	NULL
real	DL	62	4	15	    4.00	1	   -4.00	1	1	  501.77	-6	5	NULL
real	CR	63	4	15	   -4.00	0	    4.00	1	1	  443.24	-6	7	NULL
real	HL	64	4	15	    4.00	1	   -4.00	1	1	  671.60	-3	5	NULL
real	HL	65	5	15	    0.00	0	    2.00	1	2	  605.83	-3	5	NULL
real	DL	66	5	15	    0.00	1	   -4.00	0	1	  515.95	-6	5	NULL
real	BL	67	5	-15	    0.00	1	   -4.00	0	1	  582.46	-6	5	NULL
real	HR	68	5	15	    0.00	0	    4.00	0	1	 1843.05	-3	5	NULL
real	DR	69	5	15	    0.00	0	    4.00	0	1	 1687.50	-6	5	NULL
real	EL	70	5	-15	   -6.00	0	    2.00	0	2	  688.11	-3	7	NULL
real	ER	71	5	-15	    0.00	1	   -2.00	1	2	  516.10	-3	7	NULL
real	GR	72	5	15	    0.00	0	    4.00	0	1	  621.97	-3	7	NULL
real	AL	73	5	-15	   -6.00	0	    2.00	0	2	 1366.78	-6	7	NULL
real	AR	74	5	-15	    0.00	1	   -2.00	1	2	  518.24	-6	7	NULL
real	BR	75	5	-15	    0.00	1	   -2.00	1	2	  589.48	-6	5	NULL
real	FR	76	5	-15	    0.00	1	   -2.00	1	2	  671.32	-3	5	NULL
real	FL	77	5	-15	    0.00	1	   -4.00	0	1	  736.66	-3	5	NULL
real	CL	78	5	15	    0.00	0	    2.00	1	2	  757.41	-6	7	NULL
real	CR	79	5	15	    0.00	1	   -2.00	1	2	  668.94	-6	7	NULL
real	GL	80	5	15	    0.00	0	    2.00	1	2	 1283.68	-3	7	NULL
real	GR	81	6	15	    4.00	1	   -2.00	1	2	  606.16	-3	7	NULL
real	HR	82	6	15	    4.00	1	   -2.00	1	2	  485.59	-3	5	NULL
real	HL	83	6	15	    2.00	1	   -1.00	1	3	  525.40	-3	5	NULL
real	AR	84	6	-15	   -2.00	0	    1.00	1	3	  723.91	-6	7	NULL
real	ER	85	6	-15	   -2.00	1	   -2.00	0	2	  760.19	-3	7	NULL
real	DL	86	6	15	   -4.00	0	    2.00	1	2	  728.37	-6	5	NULL
real	EL	87	6	-15	   -4.00	1	   -1.00	1	3	  715.44	-3	7	NULL
real	FL	88	6	-15	   -4.00	1	   -4.00	0	1	  802.69	-3	5	NULL
real	GL	89	6	15	    2.00	1	   -1.00	1	3	  479.11	-3	7	NULL
