TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	FL	1	1	-15	  -20.00	0	    8.00	0	0	 1571.47	-3	5	NULL
real	HL	2	1	15	  -20.00	0	    8.00	0	0	 1160.31	-3	5	NULL
real	EL	3	1	-15	  -20.00	0	    8.00	0	0	  697.26	-3	7	NULL
real	HR	4	1	15	   20.00	1	   -8.00	0	0	  621.03	-3	5	NULL
real	GR	5	1	15	   20.00	1	   -8.00	0	0	  786.38	-3	7	NULL
real	AR	6	1	-15	   20.00	1	   -8.00	0	0	  518.71	-6	7	NULL
real	CL	7	1	15	  -20.00	0	    8.00	0	0	  559.25	-6	7	NULL
real	GL	8	1	15	  -20.00	0	    8.00	0	0	  581.54	-3	7	NULL
real	BL	9	1	-15	  -20.00	0	    8.00	0	0	  661.23	-6	5	NULL
real	ER	10	1	-15	   20.00	1	   -8.00	0	0	  572.26	-3	7	NULL
real	FR	11	1	-15	   20.00	1	   -8.00	0	0	  579.23	-3	5	NULL
real	DR	12	1	15	   20.00	1	   -8.00	0	0	  541.58	-6	5	NULL
real	AL	13	1	-15	  -20.00	0	    8.00	0	0	  631.47	-6	7	NULL
real	DL	14	1	15	  -20.00	0	    8.00	0	0	  505.92	-6	5	NULL
real	BR	15	1	-15	   20.00	1	   -8.00	0	0	  489.67	-6	5	NULL
real	CR	16	1	15	   20.00	1	   -8.00	0	0	  543.61	-6	7	NULL
real	EL	17	2	-15	  -12.00	0	    8.00	0	0	  529.78	-3	7	NULL
real	BR	18	2	-15	   12.00	1	   -8.00	0	0	  487.99	-6	5	NULL
real	DL	19	2	15	  -12.00	0	    8.00	0	0	  479.27	-6	5	NULL
real	HR	20	2	15	   12.00	1	   -8.00	0	0	  510.31	-3	5	NULL
real	CL	21	2	15	  -12.00	0	    8.00	0	0	  482.58	-6	7	NULL
real	AL	22	2	-15	  -12.00	0	    8.00	0	0	  653.15	-6	7	NULL
real	ER	23	2	-15	   12.00	1	   -8.00	0	0	  500.41	-3	7	NULL
real	AR	24	2	-15	   12.00	1	   -8.00	0	0	  637.55	-6	7	NULL
real	FR	25	2	-15	   12.00	1	   -8.00	0	0	  547.81	-3	5	NULL
real	DR	26	2	15	   12.00	1	   -8.00	0	0	  410.32	-6	5	NULL
real	HL	27	2	15	  -12.00	0	    8.00	0	0	  525.96	-3	5	NULL
real	BL	28	2	-15	  -12.00	0	    8.00	0	0	  583.49	-6	5	NULL
real	FL	29	2	-15	  -12.00	0	    8.00	0	0	  597.59	-3	5	NULL
real	GR	30	2	15	   12.00	1	   -8.00	0	0	  558.51	-3	7	NULL
real	GL	31	2	15	  -12.00	0	    8.00	0	0	  601.38	-3	7	NULL
real	CR	32	2	15	   12.00	1	   -8.00	0	0	  550.71	-6	7	NULL
real	GL	33	3	15	   -4.00	0	    8.00	0	0	  701.81	-3	7	NULL
real	HR	34	3	15	    4.00	1	   -8.00	0	0	  747.60	-3	5	NULL
real	AL	35	3	-15	   -4.00	0	    8.00	0	0	  684.74	-6	7	NULL
real	FL	36	3	-15	   -4.00	0	    8.00	0	0	  773.60	-3	5	NULL
real	HL	37	3	15	   -4.00	0	    8.00	0	0	  957.03	-3	5	NULL
real	DR	38	3	15	    4.00	1	   -8.00	0	0	  605.24	-6	5	NULL
real	BR	39	3	-15	    4.00	1	   -8.00	0	0	  434.50	-6	5	NULL
real	GR	40	3	15	    4.00	1	   -8.00	0	0	  577.00	-3	7	NULL
real	CL	41	3	15	   -4.00	0	    8.00	0	0	  599.66	-6	7	NULL
real	DL	42	3	15	   -4.00	0	    8.00	0	0	  594.91	-6	5	NULL
real	CR	43	3	15	    4.00	1	   -8.00	0	0	  732.56	-6	7	NULL
real	EL	44	3	-15	   -4.00	0	    8.00	0	0	  749.95	-3	7	NULL
real	FR	45	3	-15	    4.00	1	   -8.00	0	0	  590.80	-3	5	NULL
real	AR	46	3	-15	    4.00	1	   -8.00	0	0	  469.00	-6	7	NULL
real	ER	47	3	-15	    4.00	1	   -8.00	0	0	  534.35	-3	7	NULL
real	BL	48	3	-15	   -4.00	0	    8.00	0	0	  510.44	-6	5	NULL
real	DL	49	4	15	    4.00	1	   -4.00	1	1	  645.45	-6	5	NULL
real	HL	50	4	15	    4.00	1	   -4.00	1	1	  636.61	-3	5	NULL
real	BL	51	4	-15	    4.00	1	   -4.00	1	1	  555.81	-6	5	NULL
real	BR	52	4	-15	   -4.00	0	    4.00	1	1	  513.35	-6	5	NULL
real	CR	53	4	15	   -4.00	0	    4.00	1	1	  543.43	-6	7	NULL
real	GR	54	4	15	   -4.00	0	    4.00	1	1	  560.29	-3	7	NULL
real	DR	55	4	15	   -4.00	0	    4.00	1	1	  770.92	-6	5	NULL
real	FR	56	4	-15	   -4.00	0	    4.00	1	1	 2048.12	-3	5	NULL
real	CL	57	4	15	    4.00	1	   -4.00	1	1	 1061.18	-6	7	NULL
real	GL	58	4	15	    4.00	1	   -4.00	1	1	  920.57	-3	7	NULL
real	HR	59	4	15	   -4.00	0	    4.00	1	1	  824.67	-3	5	NULL
real	AL	60	4	-15	    4.00	1	   -4.00	1	1	  603.72	-6	7	NULL
real	EL	61	4	-15	    4.00	1	   -4.00	1	1	  519.90	-3	7	NULL
real	AR	62	4	-15	   -4.00	0	    4.00	1	1	  637.57	-6	7	NULL
real	FL	63	4	-15	    4.00	1	   -4.00	1	1	  492.92	-3	5	NULL
real	ER	64	4	-15	   -4.00	0	    4.00	1	1	  574.17	-3	7	NULL
real	CL	65	5	15	    0.00	0	    2.00	1	2	  747.33	-6	7	NULL
real	ER	66	5	-15	    0.00	0	    4.00	0	1	 3918.58	-3	7	NULL
real	BR	67	5	-15	    0.00	1	   -2.00	1	2	  892.58	-6	5	NULL
real	HR	68	5	15	    0.00	0	    4.00	0	1	 1287.48	-3	5	NULL
real	DR	69	5	15	    0.00	0	    4.00	0	1	  943.74	-6	5	NULL
real	GL	70	5	15	    0.00	0	    2.00	1	2	 3270.84	-3	7	NULL
real	DL	71	5	15	    0.00	1	   -4.00	0	1	  716.55	-6	5	NULL
real	HL	72	5	15	    0.00	1	   -4.00	0	1	  794.60	-3	5	NULL
real	AR	73	5	-15	    0.00	1	   -2.00	1	2	  545.24	-6	7	NULL
real	EL	74	5	-15	    0.00	1	   -4.00	0	1	  483.27	-3	7	NULL
real	AL	75	5	-15	    0.00	1	   -4.00	0	1	  562.58	-6	7	NULL
real	FL	76	5	-15	    0.00	1	   -4.00	0	1	  751.21	-3	5	NULL
real	GR	77	5	15	    0.00	0	    4.00	0	1	  504.71	-3	7	NULL
real	BL	78	5	-15	    0.00	1	   -4.00	0	1	  561.67	-6	5	NULL
real	FR	79	5	-15	    0.00	1	   -2.00	1	2	  590.18	-3	5	NULL
real	CR	80	5	15	    0.00	0	    4.00	0	1	 1908.24	-6	7	NULL
real	FR	81	6	-15	   -2.00	0	    1.00	1	3	 1082.46	-3	5	NULL
real	FL	82	6	-15	   -4.00	0	    2.00	1	2	  645.71	-3	5	NULL
