TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	FR	1	1	-15	   20.00	1	   -8.00	0	0	15753.60	-3	5	NULL
real	FL	2	1	-15	  -20.00	0	    8.00	0	0	 2205.29	-3	5	NULL
real	DL	3	1	15	  -20.00	0	    8.00	0	0	 1290.31	-6	5	NULL
real	GL	4	1	15	  -20.00	0	    8.00	0	0	 1058.04	-3	7	NULL
real	CL	5	1	15	  -20.00	0	    8.00	0	0	 1279.92	-6	7	NULL
real	ER	6	1	-15	   20.00	1	   -8.00	0	0	 1690.77	-3	7	NULL
real	AR	7	1	-15	   20.00	1	   -8.00	0	0	 1285.95	-6	7	NULL
real	HL	8	1	15	  -20.00	0	    8.00	0	0	 1248.57	-3	5	NULL
real	HR	9	1	15	   20.00	1	   -8.00	0	0	 1090.32	-3	5	NULL
real	BR	10	1	-15	   20.00	1	   -8.00	0	0	 1106.77	-6	5	NULL
real	BL	11	1	-15	  -20.00	0	    8.00	0	0	 1399.32	-6	5	NULL
real	GR	12	1	15	   20.00	1	   -8.00	0	0	 1174.45	-3	7	NULL
real	EL	13	1	-15	  -20.00	0	    8.00	0	0	 1480.51	-3	7	NULL
real	CR	14	1	15	   20.00	1	   -8.00	0	0	 1380.87	-6	7	NULL
real	DR	15	1	15	   20.00	1	   -8.00	0	0	 1170.53	-6	5	NULL
real	AL	16	1	-15	  -20.00	0	    8.00	0	0	 1269.39	-6	7	NULL
real	ER	17	2	-15	   12.00	1	   -8.00	0	0	 1137.57	-3	7	NULL
real	AL	18	2	-15	  -12.00	0	    8.00	0	0	 1305.38	-6	7	NULL
real	BL	19	2	-15	  -12.00	0	    8.00	0	0	 1184.01	-6	5	NULL
real	FR	20	2	-15	   12.00	1	   -8.00	0	0	 1167.13	-3	5	NULL
real	GR	21	2	15	   12.00	1	   -8.00	0	0	 1070.11	-3	7	NULL
real	CR	22	2	15	   12.00	1	   -8.00	0	0	 1181.07	-6	7	NULL
real	GL	23	2	15	  -12.00	0	    8.00	0	0	 1157.51	-3	7	NULL
real	HL	24	2	15	  -12.00	0	    8.00	0	0	  991.75	-3	5	NULL
real	FL	25	2	-15	  -12.00	0	    8.00	0	0	  890.79	-3	5	NULL
real	AR	26	2	-15	   12.00	1	   -8.00	0	0	 1007.93	-6	7	NULL
real	HR	27	2	15	   12.00	1	   -8.00	0	0	 1113.86	-3	5	NULL
real	BR	28	2	-15	   12.00	1	   -8.00	0	0	  954.49	-6	5	NULL
real	EL	29	2	-15	  -12.00	0	    8.00	0	0	 1107.66	-3	7	NULL
real	CL	30	2	15	  -12.00	0	    8.00	0	0	 1108.99	-6	7	NULL
real	DR	31	2	15	   12.00	1	   -8.00	0	0	 1022.05	-6	5	NULL
real	DL	32	2	15	  -12.00	0	    8.00	0	0	  770.73	-6	5	NULL
real	FR	33	3	-15	    4.00	1	   -8.00	0	0	  727.71	-3	5	NULL
real	HR	34	3	15	    4.00	1	   -8.00	0	0	  876.04	-3	5	NULL
real	BL	35	3	-15	   -4.00	0	    8.00	0	0	 1437.22	-6	5	NULL
real	GL	36	3	15	   -4.00	0	    8.00	0	0	  835.15	-3	7	NULL
real	ER	37	3	-15	    4.00	1	   -8.00	0	0	  703.88	-3	7	NULL
real	AL	38	3	-15	   -4.00	0	    8.00	0	0	 1343.33	-6	7	NULL
real	FL	39	3	-15	   -4.00	0	    8.00	0	0	  950.84	-3	5	NULL
real	DR	40	3	15	    4.00	1	   -8.00	0	0	 1041.17	-6	5	NULL
real	EL	41	3	-15	   -4.00	0	    8.00	0	0	 1509.29	-3	7	NULL
real	DL	42	3	15	   -4.00	0	    8.00	0	0	 1282.23	-6	5	NULL
real	BR	43	3	-15	    4.00	1	   -8.00	0	0	  824.90	-6	5	NULL
real	CR	44	3	15	    4.00	1	   -8.00	0	0	 1146.30	-6	7	NULL
real	CL	45	3	15	   -4.00	0	    8.00	0	0	 1172.44	-6	7	NULL
real	AR	46	3	-15	    4.00	1	   -8.00	0	0	 1171.12	-6	7	NULL
real	HL	47	3	15	   -4.00	0	    8.00	0	0	  987.91	-3	5	NULL
real	GR	48	3	15	    4.00	1	   -8.00	0	0	 1018.84	-3	7	NULL
real	EL	49	4	-15	    4.00	1	   -4.00	1	1	  771.40	-3	7	NULL
real	CL	50	4	15	    4.00	1	   -4.00	1	1	 1305.62	-6	7	NULL
real	FR	51	4	-15	   -4.00	0	    4.00	1	1	 1040.67	-3	5	NULL
real	FL	52	4	-15	    4.00	1	   -4.00	1	1	 1232.92	-3	5	NULL
real	AR	53	4	-15	   -4.00	0	    4.00	1	1	 1091.49	-6	7	NULL
real	HL	54	4	15	    4.00	0	    8.00	0	0	 1435.98	-3	5	NULL
real	GL	55	4	15	    4.00	1	   -4.00	1	1	 1345.13	-3	7	NULL
real	DR	56	4	15	   -4.00	0	    4.00	1	1	 1023.16	-6	5	NULL
real	BR	57	4	-15	   -4.00	0	    4.00	1	1	  998.37	-6	5	NULL
real	DL	58	4	15	    4.00	1	   -4.00	1	1	 1703.26	-6	5	NULL
real	ER	59	4	-15	   -4.00	0	    4.00	1	1	 1773.93	-3	7	NULL
real	GR	60	4	15	   -4.00	0	    4.00	1	1	 1054.20	-3	7	NULL
real	HR	61	4	15	   -4.00	0	    4.00	1	1	  970.63	-3	5	NULL
real	AL	62	4	-15	    4.00	1	   -4.00	1	1	  886.54	-6	7	NULL
real	BL	63	4	-15	    4.00	1	   -4.00	1	1	  767.53	-6	5	NULL
real	CR	64	4	15	   -4.00	0	    4.00	1	1	  804.50	-6	7	NULL
real	BL	65	5	-15	    0.00	1	   -4.00	0	1	 1226.08	-6	5	NULL
real	CL	66	5	15	    0.00	0	    2.00	1	2	 1730.06	-6	7	NULL
real	CR	67	5	15	    0.00	0	    4.00	0	1	 1184.40	-6	7	NULL
real	EL	68	5	-15	    0.00	1	   -4.00	0	1	 1180.51	-3	7	NULL
real	DL	69	5	15	    0.00	0	    2.00	1	2	  877.01	-6	5	NULL
real	AL	70	5	-15	    0.00	0	    2.00	1	2	 1812.72	-6	7	NULL
real	AR	71	5	-15	    0.00	0	    4.00	0	1	 1446.48	-6	7	NULL
real	HR	72	5	15	    0.00	0	    4.00	0	1	 1763.03	-3	5	NULL
real	HL	73	5	15	   12.00	1	   -4.00	1	1	  707.55	-3	5	NULL
real	FL	74	5	-15	    0.00	0	    2.00	1	2	 1335.09	-3	5	NULL
real	BR	75	5	-15	    0.00	0	    4.00	0	1	 1234.50	-6	5	NULL
real	ER	76	5	-15	    0.00	1	   -2.00	1	2	 1651.36	-3	7	NULL
real	GL	77	5	15	    0.00	0	    2.00	1	2	 1489.89	-3	7	NULL
real	GR	78	5	15	    0.00	0	    4.00	0	1	 1166.54	-3	7	NULL
real	FR	79	5	-15	    0.00	1	   -2.00	1	2	 1120.81	-3	5	NULL
real	DR	80	5	15	    0.00	0	    4.00	0	1	  927.00	-6	5	NULL
real	CR	81	6	15	    4.00	1	   -2.00	1	2	  874.10	-6	7	NULL
real	DL	82	6	15	    2.00	1	   -1.00	1	3	 1101.85	-6	5	NULL
real	EL	83	6	-15	   -4.00	0	    2.00	1	2	  774.03	-3	7	NULL
real	HL	84	6	15	    8.00	1	   -4.00	0	1	  957.95	-3	5	NULL
real	BL	85	6	-15	   -4.00	0	    2.00	1	2	  940.59	-6	5	NULL
real	AL	86	6	-15	    2.00	1	   -1.00	1	3	 1020.99	-6	7	NULL
real	BR	87	6	-15	    4.00	1	   -2.00	1	2	 1004.91	-6	5	NULL
real	FL	88	6	-15	    2.00	1	   -1.00	1	3	  757.95	-3	5	NULL
real	CL	89	6	15	    2.00	0	    2.00	0	2	 1273.18	-6	7	NULL
real	DR	90	6	15	    4.00	1	   -2.00	1	2	 1087.17	-6	5	NULL
real	ER	91	6	-15	   -2.00	0	    1.00	1	3	 1083.13	-3	7	NULL
real	GR	92	6	15	    4.00	1	   -2.00	1	2	  854.56	-3	7	NULL
real	GL	93	6	15	    2.00	0	    2.00	0	2	 1011.38	-3	7	NULL
real	HR	94	6	15	    4.00	1	   -2.00	1	2	  829.02	-3	5	NULL
real	FR	95	6	-15	   -2.00	0	    1.00	1	3	  772.66	-3	5	NULL
real	AR	96	6	-15	    4.00	1	   -2.00	1	2	  992.61	-6	7	NULL
real	CR	97	7	15	    2.00	0	    1.00	1	3	 1143.87	-6	7	NULL
real	CL	98	7	15	    4.00	1	   -1.00	1	3	 1136.04	-6	7	NULL
real	HL	99	7	15	    4.00	1	   -4.00	0	1	  658.44	-3	5	NULL
real	GL	100	7	15	    4.00	1	   -1.00	1	3	 1029.70	-3	7	NULL
real	AL	101	7	-15	    1.00	1	   -1.00	0	3	 1068.06	-6	7	NULL
real	DR	102	7	15	    2.00	1	   -2.00	0	2	 1021.81	-6	5	NULL
real	FR	103	7	-15	   -1.00	1	   -1.00	1	4	 2215.37	-3	5	NULL
real	ER	104	7	-15	   -1.00	1	   -1.00	1	4	 1748.44	-3	7	NULL
real	EL	105	7	-15	   -2.00	0	    2.00	0	2	  951.84	-3	7	NULL
real	GR	106	7	15	    2.00	0	    1.00	1	3	 1255.69	-3	7	NULL
real	BL	107	7	-15	   -2.00	0	    2.00	0	2	 1514.71	-6	5	NULL
real	BR	108	7	-15	    2.00	1	   -2.00	0	2	 1166.47	-6	5	NULL
real	DL	109	7	15	    1.00	0	    1.00	1	4	 1455.69	-6	5	NULL
real	FL	110	7	-15	    1.00	1	   -1.00	0	3	  931.59	-3	5	NULL
real	HR	111	7	15	    2.00	1	   -2.00	0	2	 1389.73	-3	5	NULL
real	AR	112	7	-15	    2.00	1	   -2.00	0	2	  901.01	-6	7	NULL
real	HR	113	8	15	    0.00	0	    1.00	1	3	 1162.46	-3	5	NULL
real	AR	114	8	-15	    0.00	1	   -2.00	0	2	  919.38	-6	7	NULL
real	BR	115	8	-15	    0.00	1	   -2.00	0	2	  802.50	-6	5	NULL
real	FR	116	8	-15	   -2.00	0	    1.00	1	5	  916.27	-3	5	NULL
real	FL	117	8	-15	    0.00	1	   -1.00	0	3	  834.14	-3	5	NULL
real	CL	118	8	15	    3.00	1	   -1.00	0	3	 1244.63	-6	7	NULL
real	BL	119	8	-15	    0.00	1	   -1.00	1	3	  990.38	-6	5	NULL
real	GL	120	8	15	    3.00	1	   -1.00	0	3	  858.72	-3	7	NULL
real	EL	121	8	-15	    0.00	1	   -1.00	1	3	 1515.08	-3	7	NULL
real	HL	122	8	15	    0.00	0	    2.00	1	2	  778.21	-3	5	NULL
real	DR	123	8	15	    0.00	1	   -2.00	0	2	 1833.26	-6	5	NULL
real	ER	124	8	-15	   -2.00	1	   -1.00	0	4	 1222.56	-3	7	NULL
real	GR	125	8	15	    3.00	1	   -1.00	1	4	 1040.99	-3	7	NULL
real	AL	126	8	-15	    0.00	1	   -1.00	0	3	 1115.32	-6	7	NULL
real	DL	127	8	15	    2.00	1	   -1.00	1	5	 1233.75	-6	5	NULL
real	CR	128	8	15	    3.00	1	   -1.00	1	4	 1046.14	-6	7	NULL
real	GR	129	9	15	    2.00	1	   -1.00	0	4	 2384.69	-3	7	NULL
real	EL	130	9	-15	   -1.00	0	    1.00	1	4	 1185.92	-3	7	NULL
real	FR	131	9	-15	   -1.00	1	   -1.00	1	6	  926.45	-3	5	NULL
real	GL	132	9	15	    2.00	1	   -1.00	0	3	 1785.69	-3	7	NULL
real	ER	133	9	-15	   -3.00	0	    1.00	1	5	 1285.99	-3	7	NULL
real	HL	134	9	15	    2.00	1	   -1.00	1	3	 1088.65	-3	5	NULL
real	BR	135	9	-15	   -2.00	1	   -2.00	0	2	 1275.33	-6	5	NULL
real	AL	136	9	-15	   -1.00	1	   -1.00	0	3	 1214.51	-6	7	NULL
real	CL	137	9	15	    2.00	0	    1.00	1	4	 1434.26	-6	7	NULL
real	FL	138	9	-15	   -1.00	1	   -1.00	0	3	  852.21	-3	5	NULL
real	BL	139	9	-15	   -1.00	1	   -1.00	0	3	  736.21	-6	5	NULL
real	AR	140	9	-15	   -2.00	0	    1.00	1	3	 1199.12	-6	7	NULL
real	DL	141	9	15	    1.00	1	   -1.00	0	5	 1015.26	-6	5	NULL
real	CR	142	9	15	    2.00	1	   -1.00	0	4	 1316.35	-6	7	NULL
real	HR	143	9	15	    1.00	1	   -1.00	1	4	 1116.86	-3	5	NULL
