TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	GR	1	1	15	   20.00	1	   -8.00	0	0	 6324.76	-3	7	NULL
real	HL	2	1	15	  -20.00	0	    8.00	0	0	  939.06	-3	5	NULL
real	ER	3	1	-15	   20.00	1	   -8.00	0	0	  581.11	-3	7	NULL
real	CL	4	1	15	  -20.00	0	    8.00	0	0	  411.47	-6	7	NULL
real	HR	5	1	15	   20.00	1	   -8.00	0	0	  646.57	-3	5	NULL
real	BL	6	1	-15	  -20.00	0	    8.00	0	0	  828.46	-6	5	NULL
real	EL	7	1	-15	  -20.00	0	    8.00	0	0	  595.84	-3	7	NULL
real	CR	8	1	15	   20.00	1	   -8.00	0	0	  787.80	-6	7	NULL
real	FL	9	1	-15	  -20.00	0	    8.00	0	0	  781.13	-3	5	NULL
real	AR	10	1	-15	   20.00	1	   -8.00	0	0	 1374.48	-6	7	NULL
real	AL	11	1	-15	  -20.00	0	    8.00	0	0	  782.23	-6	7	NULL
real	DL	12	1	15	  -20.00	0	    8.00	0	0	  638.39	-6	5	NULL
real	BR	13	1	-15	   20.00	1	   -8.00	0	0	  710.11	-6	5	NULL
real	DR	14	1	15	   20.00	1	   -8.00	0	0	  532.94	-6	5	NULL
real	GL	15	1	15	  -20.00	0	    8.00	0	0	  455.82	-3	7	NULL
real	FR	16	1	-15	   20.00	1	   -8.00	0	0	  573.16	-3	5	NULL
real	AR	17	2	-15	   12.00	1	   -8.00	0	0	  752.36	-6	7	NULL
real	DL	18	2	15	  -12.00	0	    8.00	0	0	  701.54	-6	5	NULL
real	DR	19	2	15	   12.00	1	   -8.00	0	0	  728.11	-6	5	NULL
real	ER	20	2	-15	   12.00	1	   -8.00	0	0	  607.75	-3	7	NULL
real	GR	21	2	15	   12.00	1	   -8.00	0	0	  545.35	-3	7	NULL
real	HR	22	2	15	   12.00	1	   -8.00	0	0	  587.29	-3	5	NULL
real	FL	23	2	-15	  -12.00	0	    8.00	0	0	  577.93	-3	5	NULL
real	CR	24	2	15	   12.00	1	   -8.00	0	0	  466.14	-6	7	NULL
real	AL	25	2	-15	  -12.00	0	    8.00	0	0	  500.53	-6	7	NULL
real	FR	26	2	-15	   12.00	1	   -8.00	0	0	  446.99	-3	5	NULL
real	GL	27	2	15	  -12.00	0	    8.00	0	0	  511.40	-3	7	NULL
real	HL	28	2	15	  -12.00	0	    8.00	0	0	  533.13	-3	5	NULL
real	CL	29	2	15	  -12.00	0	    8.00	0	0	  491.42	-6	7	NULL
real	EL	30	2	-15	  -12.00	0	    8.00	0	0	  371.82	-3	7	NULL
real	BL	31	2	-15	  -12.00	0	    8.00	0	0	  468.67	-6	5	NULL
real	BR	32	2	-15	   12.00	1	   -8.00	0	0	 1203.59	-6	5	NULL
real	CL	33	3	15	   -4.00	0	    8.00	0	0	  611.08	-6	7	NULL
real	HR	34	3	15	    4.00	1	   -8.00	0	0	 1050.28	-3	5	NULL
real	BL	35	3	-15	   -4.00	0	    8.00	0	0	 1018.31	-6	5	NULL
real	FL	36	3	-15	   -4.00	0	    8.00	0	0	  703.23	-3	5	NULL
real	ER	37	3	-15	    4.00	1	   -8.00	0	0	  670.48	-3	7	NULL
real	DL	38	3	15	   -4.00	0	    8.00	0	0	  568.82	-6	5	NULL
real	GR	39	3	15	    4.00	1	   -8.00	0	0	  789.92	-3	7	NULL
real	BR	40	3	-15	    4.00	1	   -8.00	0	0	  588.42	-6	5	NULL
real	AR	41	3	-15	    4.00	1	   -8.00	0	0	  536.97	-6	7	NULL
real	HL	42	3	15	   -4.00	0	    8.00	0	0	  521.84	-3	5	NULL
real	GL	43	3	15	   -4.00	0	    8.00	0	0	  735.32	-3	7	NULL
real	AL	44	3	-15	   -4.00	0	    8.00	0	0	  917.01	-6	7	NULL
real	DR	45	3	15	    4.00	1	   -8.00	0	0	  648.07	-6	5	NULL
real	FR	46	3	-15	    4.00	1	   -8.00	0	0	  586.32	-3	5	NULL
real	EL	47	3	-15	   -4.00	0	    8.00	0	0	  702.30	-3	7	NULL
real	CR	48	3	15	    4.00	1	   -8.00	0	0	  560.70	-6	7	NULL
real	BL	49	4	-15	    4.00	1	   -4.00	1	1	  652.44	-6	5	NULL
real	HL	50	4	15	    4.00	1	   -4.00	1	1	  531.28	-3	5	NULL
real	ER	51	4	-15	   -4.00	1	   -8.00	0	0	  660.56	-3	7	NULL
real	EL	52	4	-15	    4.00	1	   -4.00	1	1	  629.94	-3	7	NULL
real	BR	53	4	-15	   -4.00	0	    4.00	1	1	  493.34	-6	5	NULL
real	AL	54	4	-15	    4.00	1	   -4.00	1	1	  729.22	-6	7	NULL
real	HR	55	4	15	   -4.00	0	    4.00	1	1	  546.50	-3	5	NULL
real	CR	56	4	15	   -4.00	0	    4.00	1	1	  570.73	-6	7	NULL
real	AR	57	4	-15	   -4.00	0	    4.00	1	1	  525.11	-6	7	NULL
real	FR	58	4	-15	   -4.00	0	    4.00	1	1	  569.63	-3	5	NULL
real	GR	59	4	15	   -4.00	0	    4.00	1	1	  483.07	-3	7	NULL
real	FL	60	4	-15	    4.00	1	   -4.00	1	1	  567.73	-3	5	NULL
real	DR	61	4	15	   -4.00	0	    4.00	1	1	  672.75	-6	5	NULL
real	DL	62	4	15	    4.00	1	   -4.00	1	1	  673.47	-6	5	NULL
real	GL	63	4	15	    4.00	1	   -4.00	1	1	  622.64	-3	7	NULL
real	CL	64	4	15	    4.00	1	   -4.00	1	1	  496.44	-6	7	NULL
real	FR	65	5	-15	    0.00	1	   -2.00	1	2	  513.47	-3	5	NULL
real	AR	66	5	-15	    0.00	1	   -2.00	1	2	  851.31	-6	7	NULL
real	CL	67	5	15	    0.00	0	    2.00	1	2	  552.19	-6	7	NULL
real	GR	68	5	15	    0.00	0	    4.00	0	1	  692.72	-3	7	NULL
real	AL	69	5	-15	    0.00	1	   -4.00	0	1	  695.63	-6	7	NULL
real	BL	70	5	-15	    0.00	1	   -4.00	0	1	  648.52	-6	5	NULL
real	GL	71	5	15	    0.00	0	    2.00	1	2	  719.87	-3	7	NULL
real	EL	72	5	-15	    0.00	1	   -4.00	0	1	  673.20	-3	7	NULL
real	HL	73	5	15	    0.00	0	    2.00	1	2	 1021.57	-3	5	NULL
real	BR	74	5	-15	    0.00	1	   -2.00	1	2	  633.80	-6	5	NULL
real	CR	75	5	15	    0.00	0	    4.00	0	1	  604.22	-6	7	NULL
real	FL	76	5	-15	    0.00	1	   -4.00	0	1	  538.90	-3	5	NULL
real	HR	77	5	15	    0.00	0	    4.00	0	1	  783.20	-3	5	NULL
real	DL	78	5	15	    0.00	0	    2.00	1	2	 1146.65	-6	5	NULL
real	DR	79	5	15	    0.00	1	   -2.00	1	2	  755.05	-6	5	NULL
real	ER	80	5	-15	  -12.00	0	    4.00	1	1	  688.55	-3	7	NULL
real	BR	81	6	-15	   -2.00	0	    1.00	1	3	 1377.61	-6	5	NULL
real	BL	82	6	-15	   -4.00	0	    2.00	1	2	  654.98	-6	5	NULL
real	GR	83	6	15	    4.00	1	   -2.00	1	2	  409.00	-3	7	NULL
real	DL	84	6	15	    2.00	1	   -1.00	1	3	  459.57	-6	5	NULL
real	ER	85	6	-15	   -8.00	0	    4.00	0	1	  429.00	-3	7	NULL
real	HR	86	6	15	    4.00	1	   -2.00	1	2	  651.95	-3	5	NULL
