TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	DR	1	1	15	   20.00	1	   -8.00	0	0	 3184.64	-6	5	NULL
real	DL	2	1	15	  -20.00	0	    8.00	0	0	 1113.16	-6	5	NULL
real	AL	3	1	-15	  -20.00	0	    8.00	0	0	  702.61	-6	7	NULL
real	BL	4	1	-15	  -20.00	0	    8.00	0	0	 1107.73	-6	5	NULL
real	CR	5	1	15	   20.00	1	   -8.00	0	0	 1526.70	-6	7	NULL
real	HL	6	1	15	  -20.00	0	    8.00	0	0	 1441.09	-3	5	NULL
real	ER	7	1	-15	   20.00	1	   -8.00	0	0	 1128.68	-3	7	NULL
real	CL	8	1	15	  -20.00	0	    8.00	0	0	 1729.84	-6	7	NULL
real	GR	9	1	15	   20.00	1	   -8.00	0	0	 1011.51	-3	7	NULL
real	BR	10	1	-15	   20.00	1	   -8.00	0	0	 1330.94	-6	5	NULL
real	FR	11	1	-15	   20.00	1	   -8.00	0	0	 1190.70	-3	5	NULL
real	FL	12	1	-15	  -20.00	0	    8.00	0	0	 1052.04	-3	5	NULL
real	EL	13	1	-15	  -20.00	0	    8.00	0	0	 1448.59	-3	7	NULL
real	AR	14	1	-15	   20.00	1	   -8.00	0	0	 2040.17	-6	7	NULL
real	GL	15	1	15	  -20.00	0	    8.00	0	0	 1734.91	-3	7	NULL
real	HR	16	1	15	   20.00	1	   -8.00	0	0	 1263.80	-3	5	NULL
real	GL	17	2	15	  -12.00	0	    8.00	0	0	 1497.53	-3	7	NULL
real	BR	18	2	-15	   12.00	1	   -8.00	0	0	 1064.66	-6	5	NULL
real	AL	19	2	-15	  -12.00	0	    8.00	0	0	 1197.26	-6	7	NULL
real	FL	20	2	-15	  -12.00	0	    8.00	0	0	 1303.04	-3	5	NULL
real	AR	21	2	-15	   12.00	1	   -8.00	0	0	 2413.70	-6	7	NULL
real	CL	22	2	15	  -12.00	0	    8.00	0	0	  887.64	-6	7	NULL
real	HR	23	2	15	   12.00	1	   -8.00	0	0	 1119.81	-3	5	NULL
real	EL	24	2	-15	  -12.00	0	    8.00	0	0	 1085.34	-3	7	NULL
real	FR	25	2	-15	   12.00	1	   -8.00	0	0	 1461.51	-3	5	NULL
real	DR	26	2	15	   12.00	1	   -8.00	0	0	 1711.09	-6	5	NULL
real	ER	27	2	-15	   12.00	1	   -8.00	0	0	  948.87	-3	7	NULL
real	HL	28	2	15	  -12.00	0	    8.00	0	0	  746.23	-3	5	NULL
real	BL	29	2	-15	  -12.00	0	    8.00	0	0	  697.26	-6	5	NULL
real	CR	30	2	15	   12.00	1	   -8.00	0	0	  764.81	-6	7	NULL
real	GR	31	2	15	   12.00	1	   -8.00	0	0	  867.11	-3	7	NULL
real	DL	32	2	15	  -12.00	0	    8.00	0	0	  639.69	-6	5	NULL
real	EL	33	3	-15	   -4.00	0	    8.00	0	0	 1958.72	-3	7	NULL
real	HL	34	3	15	   -4.00	0	    8.00	0	0	  873.13	-3	5	NULL
real	FL	35	3	-15	   -4.00	0	    8.00	0	0	 1116.94	-3	5	NULL
real	AR	36	3	-15	    4.00	1	   -8.00	0	0	 1005.91	-6	7	NULL
real	CR	37	3	15	    4.00	1	   -8.00	0	0	 1005.72	-6	7	NULL
real	AL	38	3	-15	   -4.00	0	    8.00	0	0	 1073.32	-6	7	NULL
real	ER	39	3	-15	    4.00	1	   -8.00	0	0	 1242.46	-3	7	NULL
real	DL	40	3	15	   -4.00	0	    8.00	0	0	  779.65	-6	5	NULL
real	CL	41	3	15	   -4.00	0	    8.00	0	0	  743.23	-6	7	NULL
real	BL	42	3	-15	   -4.00	0	    8.00	0	0	  856.22	-6	5	NULL
real	DR	43	3	15	    4.00	1	   -8.00	0	0	 1154.28	-6	5	NULL
real	GR	44	3	15	    4.00	1	   -8.00	0	0	  998.50	-3	7	NULL
real	BR	45	3	-15	    4.00	1	   -8.00	0	0	  713.11	-6	5	NULL
real	HR	46	3	15	    4.00	1	   -8.00	0	0	  749.15	-3	5	NULL
real	FR	47	3	-15	    4.00	1	   -8.00	0	0	  643.63	-3	5	NULL
