TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	HL	1	1	15	  -20.00	0	    8.00	0	0	 8885.90	-3	5	NULL
real	EL	2	1	-15	  -20.00	0	    8.00	0	0	 1387.15	-3	7	NULL
real	GR	3	1	15	   20.00	1	   -8.00	0	0	  717.52	-3	7	NULL
real	BR	4	1	-15	   20.00	1	   -8.00	0	0	  793.20	-6	5	NULL
real	DL	5	1	15	  -20.00	0	    8.00	0	0	  603.26	-6	5	NULL
real	FL	6	1	-15	  -20.00	0	    8.00	0	0	  721.07	-3	5	NULL
real	FR	7	1	-15	   20.00	1	   -8.00	0	0	  591.93	-3	5	NULL
real	ER	8	1	-15	   20.00	1	   -8.00	0	0	  607.31	-3	7	NULL
real	HR	9	1	15	   20.00	1	   -8.00	0	0	  692.91	-3	5	NULL
real	CL	10	1	15	  -20.00	0	    8.00	0	0	  637.09	-6	7	NULL
real	AL	11	1	-15	  -20.00	0	    8.00	0	0	  713.34	-6	7	NULL
real	CR	12	1	15	   20.00	1	   -8.00	0	0	  540.57	-6	7	NULL
real	BL	13	1	-15	  -20.00	0	    8.00	0	0	  770.35	-6	5	NULL
real	DR	14	1	15	   20.00	1	   -8.00	0	0	  679.12	-6	5	NULL
real	AR	15	1	-15	   20.00	1	   -8.00	0	0	  659.86	-6	7	NULL
real	GL	16	1	15	  -20.00	0	    8.00	0	0	  723.56	-3	7	NULL
real	CR	17	2	15	   12.00	1	   -8.00	0	0	  701.98	-6	7	NULL
real	AR	18	2	-15	   12.00	1	   -8.00	0	0	  615.60	-6	7	NULL
real	DR	19	2	15	   12.00	1	   -8.00	0	0	  623.89	-6	5	NULL
real	GR	20	2	15	   12.00	1	   -8.00	0	0	  567.31	-3	7	NULL
real	FL	21	2	-15	  -12.00	0	    8.00	0	0	 1540.33	-3	5	NULL
real	BL	22	2	-15	  -12.00	0	    8.00	0	0	  949.26	-6	5	NULL
real	FR	23	2	-15	   12.00	1	   -8.00	0	0	  487.27	-3	5	NULL
real	HL	24	2	15	  -12.00	0	    8.00	0	0	  924.05	-3	5	NULL
real	CL	25	2	15	  -12.00	0	    8.00	0	0	  578.16	-6	7	NULL
real	ER	26	2	-15	   12.00	1	   -8.00	0	0	  576.16	-3	7	NULL
real	EL	27	2	-15	  -12.00	0	    8.00	0	0	  828.08	-3	7	NULL
real	GL	28	2	15	  -12.00	0	    8.00	0	0	  780.20	-3	7	NULL
