TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	HL	1	1	15	  -20.00	1	   -8.00	0	0	 6876.64	-3	5	NULL
real	CR	2	1	15	   20.00	1	   -8.00	0	0	 1547.81	-6	7	NULL
real	GL	3	1	15	  -20.00	0	    8.00	0	0	 1426.91	-3	7	NULL
real	EL	4	1	-15	  -20.00	0	    8.00	0	0	  690.72	-3	7	NULL
real	CL	5	1	15	  -20.00	0	    8.00	0	0	  682.17	-6	7	NULL
real	HR	6	1	15	   20.00	1	   -8.00	0	0	  643.65	-3	5	NULL
real	DL	7	1	15	  -20.00	0	    8.00	0	0	  546.49	-6	5	NULL
real	GR	8	1	15	   20.00	1	   -8.00	0	0	  491.47	-3	7	NULL
real	FL	9	1	-15	  -20.00	0	    8.00	0	0	  698.15	-3	5	NULL
real	AL	10	1	-15	  -20.00	0	    8.00	0	0	  486.68	-6	7	NULL
real	ER	11	1	-15	   20.00	1	   -8.00	0	0	  502.94	-3	7	NULL
real	DR	12	1	15	   20.00	1	   -8.00	0	0	  562.60	-6	5	NULL
real	AR	13	1	-15	   20.00	1	   -8.00	0	0	  502.50	-6	7	NULL
real	FR	14	1	-15	   20.00	1	   -8.00	0	0	  521.92	-3	5	NULL
real	BR	15	1	-15	   20.00	1	   -8.00	0	0	  481.38	-6	5	NULL
real	BL	16	1	-15	  -20.00	0	    8.00	0	0	  506.27	-6	5	NULL
real	BL	17	2	-15	  -12.00	0	    8.00	0	0	  477.29	-6	5	NULL
real	DR	18	2	15	   12.00	1	   -8.00	0	0	  417.05	-6	5	NULL
real	CR	19	2	15	   12.00	1	   -8.00	0	0	  498.72	-6	7	NULL
real	FL	20	2	-15	  -12.00	0	    8.00	0	0	  709.91	-3	5	NULL
real	HR	21	2	15	   12.00	1	   -8.00	0	0	  565.02	-3	5	NULL
real	EL	22	2	-15	  -12.00	0	    8.00	0	0	  521.54	-3	7	NULL
real	DL	23	2	15	  -12.00	0	    8.00	0	0	  524.23	-6	5	NULL
real	AL	24	2	-15	  -12.00	0	    8.00	0	0	  535.76	-6	7	NULL
real	GL	25	2	15	  -12.00	0	    8.00	0	0	  623.16	-3	7	NULL
real	AR	26	2	-15	   12.00	1	   -8.00	0	0	  569.01	-6	7	NULL
real	FR	27	2	-15	   12.00	1	   -8.00	0	0	  444.38	-3	5	NULL
real	HL	28	2	15	-20	0	    4.00	1	1	  450.33	-3	5	NULL
real	BR	29	2	-15	   12.00	1	   -8.00	0	0	  462.24	-6	5	NULL
real	GR	30	2	15	   12.00	1	   -8.00	0	0	  506.90	-3	7	NULL
real	CL	31	2	15	  -12.00	0	    8.00	0	0	  431.43	-6	7	NULL
real	ER	32	2	-15	   12.00	1	   -8.00	0	0	  421.37	-3	7	NULL
real	AL	33	3	-15	   -4.00	0	    8.00	0	0	  685.04	-6	7	NULL
real	GL	34	3	15	   -4.00	0	    8.00	0	0	  543.64	-3	7	NULL
real	AR	35	3	-15	    4.00	1	   -8.00	0	0	  540.23	-6	7	NULL
real	CL	36	3	15	   -4.00	0	    8.00	0	0	  459.09	-6	7	NULL
real	FL	37	3	-15	   -4.00	0	    8.00	0	0	  512.93	-3	5	NULL
real	CR	38	3	15	    4.00	1	   -8.00	0	0	  498.16	-6	7	NULL
real	DL	39	3	15	   -4.00	0	    8.00	0	0	  488.07	-6	5	NULL
real	FR	40	3	-15	    4.00	1	   -8.00	0	0	  527.81	-3	5	NULL
real	ER	41	3	-15	    4.00	1	   -8.00	0	0	  500.54	-3	7	NULL
real	BL	42	3	-15	   -4.00	0	    8.00	0	0	  574.72	-6	5	NULL
real	HL	43	3	15	  -16.00	0	    4.00	0	1	  474.55	-3	5	NULL
real	EL	44	3	-15	   -4.00	0	    8.00	0	0	  744.22	-3	7	NULL
real	GR	45	3	15	    4.00	1	   -8.00	0	0	  639.61	-3	7	NULL
real	BR	46	3	-15	    4.00	1	   -8.00	0	0	  544.11	-6	5	NULL
real	HR	47	3	15	    4.00	1	   -8.00	0	0	  720.51	-3	5	NULL
real	DR	48	3	15	    4.00	1	   -8.00	0	0	  574.13	-6	5	NULL
real	BL	49	4	-15	    4.00	1	   -4.00	1	1	  538.30	-6	5	NULL
real	DL	50	4	15	    4.00	1	   -4.00	1	1	  514.72	-6	5	NULL
real	DR	51	4	15	   -4.00	0	    4.00	1	1	  621.50	-6	5	NULL
real	AR	52	4	-15	   -4.00	0	    4.00	1	1	  627.54	-6	7	NULL
real	ER	53	4	-15	   -4.00	0	    4.00	1	1	  645.50	-3	7	NULL
real	FR	54	4	-15	   -4.00	0	    4.00	1	1	  519.73	-3	5	NULL
real	CL	55	4	15	    4.00	1	   -4.00	1	1	  768.52	-6	7	NULL
real	HR	56	4	15	   -4.00	0	    4.00	1	1	  585.27	-3	5	NULL
real	GL	57	4	15	    4.00	1	   -4.00	1	1	  555.18	-3	7	NULL
real	GR	58	4	15	   -4.00	0	    4.00	1	1	  584.92	-3	7	NULL
real	BR	59	4	-15	   -4.00	0	    4.00	1	1	  551.51	-6	5	NULL
real	CR	60	4	15	   -4.00	0	    4.00	1	1	  542.77	-6	7	NULL
real	EL	61	4	-15	    4.00	1	   -4.00	1	1	  517.15	-3	7	NULL
real	AL	62	4	-15	    4.00	1	   -4.00	1	1	  522.88	-6	7	NULL
real	FL	63	4	-15	    4.00	1	   -4.00	1	1	  457.46	-3	5	NULL
real	HL	64	4	15	  -12.00	0	    4.00	0	1	  458.02	-3	5	NULL
real	AL	65	5	-15	    0.00	0	    2.00	1	2	 1045.98	-6	7	NULL
real	CR	66	5	15	    0.00	0	    4.00	0	1	  910.95	-6	7	NULL
real	GL	67	5	15	    0.00	0	    2.00	1	2	  486.43	-3	7	NULL
real	CL	68	5	15	    0.00	0	    2.00	1	2	  720.39	-6	7	NULL
real	HR	69	5	15	    0.00	0	    4.00	0	1	  688.29	-3	5	NULL
real	FR	70	5	-15	    0.00	1	   -2.00	1	2	  984.62	-3	5	NULL
real	ER	71	5	-15	    0.00	0	    4.00	0	1	 1178.00	-3	7	NULL
real	AR	72	5	-15	    0.00	1	   -2.00	1	2	 1161.71	-6	7	NULL
real	DL	73	5	15	    0.00	0	    2.00	1	2	  684.43	-6	5	NULL
real	FL	74	5	-15	    0.00	1	   -4.00	0	1	  883.97	-3	5	NULL
real	BL	75	5	-15	    0.00	0	    2.00	1	2	  724.60	-6	5	NULL
real	GR	76	5	15	    0.00	0	    4.00	0	1	  708.20	-3	7	NULL
real	EL	77	5	-15	    0.00	1	   -4.00	0	1	  850.75	-3	7	NULL
