TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	GL	1	1	15	  -20.00	1	   -8.00	0	0	10391.03	-3	7	NULL
real	BR	2	1	-15	   20.00	1	   -8.00	0	0	  796.36	-6	5	NULL
real	EL	3	1	-15	  -20.00	0	    8.00	0	0	  470.85	-3	7	NULL
real	CR	4	1	15	   20.00	1	   -8.00	0	0	  643.45	-6	7	NULL
real	HL	5	1	15	  -20.00	0	    8.00	0	0	  650.56	-3	5	NULL
real	AL	6	1	-15	  -20.00	0	    8.00	0	0	  555.18	-6	7	NULL
real	FR	7	1	-15	   20.00	1	   -8.00	0	0	  738.62	-3	5	NULL
real	DL	8	1	15	  -20.00	0	    8.00	0	0	  722.57	-6	5	NULL
real	GR	9	1	15	   20.00	1	   -8.00	0	0	  690.06	-3	7	NULL
real	HR	10	1	15	   20.00	1	   -8.00	0	0	  684.12	-3	5	NULL
real	AR	11	1	-15	   20.00	1	   -8.00	0	0	  738.46	-6	7	NULL
real	DR	12	1	15	   20.00	1	   -8.00	0	0	  645.04	-6	5	NULL
real	ER	13	1	-15	   20.00	1	   -8.00	0	0	  502.40	-3	7	NULL
real	CL	14	1	15	  -20.00	0	    8.00	0	0	  887.88	-6	7	NULL
real	BL	15	1	-15	  -20.00	0	    8.00	0	0	  812.35	-6	5	NULL
real	FL	16	1	-15	  -20.00	0	    8.00	0	0	  666.55	-3	5	NULL
real	EL	17	2	-15	  -12.00	0	    8.00	0	0	  681.70	-3	7	NULL
real	HL	18	2	15	  -12.00	0	    8.00	0	0	  726.42	-3	5	NULL
real	FL	19	2	-15	  -12.00	0	    8.00	0	0	  638.54	-3	5	NULL
real	BR	20	2	-15	   12.00	1	   -8.00	0	0	  598.45	-6	5	NULL
real	AR	21	2	-15	   12.00	1	   -8.00	0	0	  590.68	-6	7	NULL
real	AL	22	2	-15	  -12.00	0	    8.00	0	0	  669.33	-6	7	NULL
real	DR	23	2	15	   12.00	1	   -8.00	0	0	  542.86	-6	5	NULL
real	GL	24	2	15	-20	0	    4.00	1	1	  548.08	-3	7	NULL
real	FR	25	2	-15	   12.00	1	   -8.00	0	0	  474.63	-3	5	NULL
real	CL	26	2	15	  -12.00	0	    8.00	0	0	  711.24	-6	7	NULL
real	DL	27	2	15	  -12.00	0	    8.00	0	0	  712.77	-6	5	NULL
real	GR	28	2	15	   12.00	1	   -8.00	0	0	  475.94	-3	7	NULL
real	CR	29	2	15	   12.00	1	   -8.00	0	0	  518.66	-6	7	NULL
real	ER	30	2	-15	   12.00	1	   -8.00	0	0	  393.46	-3	7	NULL
real	BL	31	2	-15	  -12.00	0	    8.00	0	0	  552.84	-6	5	NULL
real	HR	32	2	15	   12.00	1	   -8.00	0	0	  527.11	-3	5	NULL
real	BL	33	3	-15	   -4.00	0	    8.00	0	0	  674.32	-6	5	NULL
real	HR	34	3	15	    4.00	0	    4.00	1	1	  980.22	-3	5	NULL
real	EL	35	3	-15	   -4.00	0	    8.00	0	0	  560.06	-3	7	NULL
real	FL	36	3	-15	   -4.00	0	    8.00	0	0	  560.28	-3	5	NULL
real	FR	37	3	-15	    4.00	1	   -8.00	0	0	  540.56	-3	5	NULL
real	HL	38	3	15	   -4.00	0	    8.00	0	0	  503.18	-3	5	NULL
real	AL	39	3	-15	   -4.00	0	    8.00	0	0	  494.45	-6	7	NULL
real	DL	40	3	15	   -4.00	0	    8.00	0	0	  511.80	-6	5	NULL
real	DR	41	3	15	    4.00	1	   -8.00	0	0	  454.78	-6	5	NULL
real	BR	42	3	-15	    4.00	1	   -8.00	0	0	  482.97	-6	5	NULL
real	CR	43	3	15	    4.00	1	   -8.00	0	0	  494.39	-6	7	NULL
real	CL	44	3	15	   -4.00	0	    8.00	0	0	  588.54	-6	7	NULL
