TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	DL	1	1	15	  -20.00	0	    8.00	0	0	 3257.49	-6	5	NULL
real	GR	2	1	15	   20.00	1	   -8.00	0	0	 1131.00	-3	7	NULL
real	BR	3	1	-15	   20.00	1	   -8.00	0	0	  686.98	-6	5	NULL
real	ER	4	1	-15	   20.00	1	   -8.00	0	0	  641.65	-3	7	NULL
real	HR	5	1	15	   20.00	1	   -8.00	0	0	  971.92	-3	5	NULL
real	AR	6	1	-15	   20.00	1	   -8.00	0	0	  803.07	-6	7	NULL
real	GL	7	1	15	  -20.00	0	    8.00	0	0	  561.50	-3	7	NULL
real	CR	8	1	15	   20.00	1	   -8.00	0	0	  524.24	-6	7	NULL
real	FL	9	1	-15	  -20.00	0	    8.00	0	0	  510.30	-3	5	NULL
real	FR	10	1	-15	   20.00	1	   -8.00	0	0	  530.14	-3	5	NULL
real	DR	11	1	15	   20.00	1	   -8.00	0	0	  452.82	-6	5	NULL
real	EL	12	1	-15	  -20.00	0	    8.00	0	0	  459.73	-3	7	NULL
real	HL	13	1	15	  -20.00	0	    8.00	0	0	  453.75	-3	5	NULL
real	CL	14	1	15	  -20.00	0	    8.00	0	0	  480.95	-6	7	NULL
real	AL	15	1	-15	  -20.00	0	    8.00	0	0	  449.10	-6	7	NULL
real	BL	16	1	-15	  -20.00	0	    8.00	0	0	  474.23	-6	5	NULL
real	ER	17	2	-15	   12.00	1	   -8.00	0	0	  403.71	-3	7	NULL
real	HL	18	2	15	  -12.00	0	    8.00	0	0	  485.11	-3	5	NULL
real	BR	19	2	-15	   12.00	1	   -8.00	0	0	  502.63	-6	5	NULL
real	FL	20	2	-15	  -12.00	0	    8.00	0	0	  359.43	-3	5	NULL
real	EL	21	2	-15	  -12.00	0	    8.00	0	0	  454.86	-3	7	NULL
real	CR	22	2	15	   12.00	1	   -8.00	0	0	  626.25	-6	7	NULL
real	AR	23	2	-15	   12.00	1	   -8.00	0	0	  599.33	-6	7	NULL
real	FR	24	2	-15	   12.00	1	   -8.00	0	0	  655.33	-3	5	NULL
real	AL	25	2	-15	  -12.00	0	    8.00	0	0	  366.03	-6	7	NULL
real	GR	26	2	15	   12.00	1	   -8.00	0	0	  499.29	-3	7	NULL
real	BL	27	2	-15	  -12.00	0	    8.00	0	0	  479.46	-6	5	NULL
real	DR	28	2	15	   12.00	1	   -8.00	0	0	  486.49	-6	5	NULL
real	HR	29	2	15	   12.00	1	   -8.00	0	0	  428.87	-3	5	NULL
real	DL	30	2	15	  -12.00	0	    8.00	0	0	  417.47	-6	5	NULL
real	CL	31	2	15	  -12.00	0	    8.00	0	0	  474.47	-6	7	NULL
real	GL	32	2	15	  -12.00	0	    8.00	0	0	  403.86	-3	7	NULL
real	DR	33	3	15	    4.00	1	   -8.00	0	0	  429.89	-6	5	NULL
real	GR	34	3	15	    4.00	0	    4.00	1	1	  747.57	-3	7	NULL
real	EL	35	3	-15	   -4.00	1	   -4.00	1	1	  478.10	-3	7	NULL
real	BL	36	3	-15	   -4.00	0	    8.00	0	0	  437.28	-6	5	NULL
real	FL	37	3	-15	   -4.00	1	   -4.00	1	1	 1221.10	-3	5	NULL
real	FR	38	3	-15	    4.00	1	   -8.00	0	0	  855.19	-3	5	NULL
real	BR	39	3	-15	    4.00	0	    4.00	1	1	  527.18	-6	5	NULL
real	DL	40	3	15	   -4.00	0	    8.00	0	0	  676.45	-6	5	NULL
real	HL	41	3	15	   -4.00	0	    8.00	0	0	  563.30	-3	5	NULL
real	CR	42	3	15	    4.00	0	    4.00	1	1	  885.28	-6	7	NULL
real	GL	43	3	15	   -4.00	0	    8.00	0	0	  705.97	-3	7	NULL
real	CL	44	3	15	   -4.00	0	    8.00	0	0	  534.31	-6	7	NULL
real	AL	45	3	-15	   -4.00	0	    8.00	0	0	  492.34	-6	7	NULL
real	HR	46	3	15	    4.00	1	   -8.00	0	0	 2060.94	-3	5	NULL
real	AR	47	3	-15	    4.00	0	    4.00	1	1	  649.32	-6	7	NULL
real	ER	48	3	-15	    4.00	1	   -8.00	0	0	  640.59	-3	7	NULL
real	GL	49	4	15	    4.00	1	   -4.00	1	1	  977.14	-3	7	NULL
real	GR	50	4	15	    8.00	0	    4.00	0	1	 1393.62	-3	7	NULL
real	AL	51	4	-15	    4.00	1	   -4.00	1	1	  635.23	-6	7	NULL
real	DR	52	4	15	   -4.00	0	    4.00	1	1	  557.18	-6	5	NULL
real	HL	53	4	15	    4.00	0	    8.00	0	0	  841.80	-3	5	NULL
real	EL	54	4	-15	   -8.00	0	    2.00	1	2	  556.10	-3	7	NULL
real	HR	55	4	15	   -4.00	0	    4.00	1	1	  495.86	-3	5	NULL
real	BL	56	4	-15	    4.00	1	   -4.00	1	1	  500.81	-6	5	NULL
real	CL	57	4	15	    4.00	0	    8.00	0	0	  711.21	-6	7	NULL
real	ER	58	4	-15	   -4.00	0	    4.00	1	1	  692.13	-3	7	NULL
real	CR	59	4	15	    8.00	1	   -2.00	1	2	  442.86	-6	7	NULL
real	BR	60	4	-15	    8.00	1	   -2.00	1	2	  891.66	-6	5	NULL
real	FR	61	4	-15	   -4.00	0	    4.00	1	1	  893.92	-3	5	NULL
real	DL	62	4	15	    4.00	1	   -4.00	1	1	  541.54	-6	5	NULL
real	AR	63	4	-15	    8.00	1	   -2.00	1	2	  552.54	-6	7	NULL
real	FL	64	4	-15	   -8.00	0	    2.00	1	2	  567.49	-3	5	NULL
real	AR	65	5	-15	    6.00	1	   -2.00	0	2	  575.87	-6	7	NULL
real	BR	66	5	-15	    6.00	1	   -2.00	0	2	  532.62	-6	5	NULL
real	CL	67	5	15	   12.00	1	   -4.00	1	1	  459.50	-6	7	NULL
real	CR	68	5	15	    6.00	1	   -2.00	0	2	 1777.01	-6	7	NULL
real	ER	69	5	-15	    0.00	0	    4.00	0	1	 1368.25	-3	7	NULL
real	HL	70	5	15	   12.00	1	   -4.00	1	1	  541.11	-3	5	NULL
real	EL	71	5	-15	   -6.00	0	    2.00	0	2	  812.04	-3	7	NULL
real	FR	72	5	-15	    0.00	0	    4.00	0	1	 2476.45	-3	5	NULL
real	DR	73	5	15	    0.00	0	    4.00	0	1	 1448.42	-6	5	NULL
real	BL	74	5	-15	    0.00	0	    2.00	1	2	 1135.90	-6	5	NULL
real	GL	75	5	15	    0.00	0	    2.00	1	2	  505.74	-3	7	NULL
real	FL	76	5	-15	   -6.00	0	    2.00	0	2	  613.98	-3	5	NULL
real	AL	77	5	-15	    0.00	0	    2.00	1	2	  814.96	-6	7	NULL
real	HR	78	5	15	    0.00	0	    4.00	0	1	  556.08	-3	5	NULL
real	DL	79	5	15	    0.00	0	    2.00	1	2	  542.78	-6	5	NULL
real	GR	80	5	15	   12.00	1	   -2.00	1	2	  400.67	-3	7	NULL
real	FR	81	6	-15	    4.00	1	   -2.00	1	2	  440.06	-3	5	NULL
real	GR	82	6	15	   10.00	1	   -2.00	0	2	  671.80	-3	7	NULL
real	DL	83	6	15	    2.00	0	    2.00	0	2	 2505.04	-6	5	NULL
real	CR	84	6	15	    4.00	0	    1.00	1	3	  997.37	-6	7	NULL
real	FL	85	6	-15	   -4.00	0	    2.00	0	2	  565.03	-3	5	NULL
real	AR	86	6	-15	    4.00	1	   -2.00	0	2	  817.31	-6	7	NULL
real	AL	87	6	-15	    2.00	0	    2.00	0	2	 1195.49	-6	7	NULL
real	DR	88	6	15	    4.00	0	    4.00	0	1	  792.64	-6	5	NULL
real	HR	89	6	15	    4.00	0	    4.00	0	1	 1039.57	-3	5	NULL
real	BL	90	6	-15	    2.00	1	   -1.00	1	3	 1017.20	-6	5	NULL
real	ER	91	6	-15	    4.00	0	    4.00	0	1	  392.53	-3	7	NULL
real	EL	92	6	-15	   -4.00	0	    2.00	0	2	  466.07	-3	7	NULL
real	CL	93	6	15	    8.00	1	   -4.00	0	1	  641.37	-6	7	NULL
real	HL	94	6	15	    8.00	1	   -4.00	0	1	  716.82	-3	5	NULL
real	BR	95	6	-15	    4.00	1	   -2.00	0	2	  492.69	-6	5	NULL
real	GL	96	6	15	    2.00	0	    2.00	0	2	  482.79	-3	7	NULL
real	FL	97	7	-15	   -2.00	0	    2.00	0	2	  714.44	-3	5	NULL
real	FR	98	7	-15	    2.00	0	    1.00	1	3	  851.34	-3	5	NULL
real	DR	99	7	15	    8.00	1	   -2.00	1	2	  500.17	-6	5	NULL
real	EL	100	7	-15	   -2.00	0	    2.00	0	2	 1160.08	-3	7	NULL
real	DL	101	7	15	    4.00	0	    2.00	0	2	  486.56	-6	5	NULL
real	HR	102	7	15	    8.00	1	   -2.00	1	2	  539.78	-3	5	NULL
real	AR	103	7	-15	    2.00	1	   -2.00	0	2	  430.27	-6	7	NULL
real	GR	104	7	15	    8.00	1	   -2.00	0	2	  329.63	-3	7	NULL
real	BL	105	7	-15	    1.00	1	   -1.00	0	3	  620.15	-6	5	NULL
real	CL	106	7	15	    4.00	0	    2.00	1	2	  596.21	-6	7	NULL
real	GL	107	7	15	    4.00	0	    2.00	0	2	  704.69	-3	7	NULL
real	BR	108	7	-15	    2.00	0	    1.00	1	3	 1438.39	-6	5	NULL
real	ER	109	7	-15	    8.00	1	   -2.00	1	2	  462.53	-3	7	NULL
real	AL	110	7	-15	    4.00	1	   -1.00	1	3	  650.39	-6	7	NULL
real	HL	111	7	15	    4.00	1	   -4.00	0	1	  755.30	-3	5	NULL
real	CR	112	7	15	    5.00	1	   -1.00	1	4	  457.36	-6	7	NULL
real	CR	113	8	15	    4.00	1	   -1.00	0	4	  403.30	-6	7	NULL
real	HR	114	8	15	    6.00	1	   -2.00	0	2	  568.76	-3	5	NULL
real	BR	115	8	-15	    3.00	1	   -1.00	1	4	  514.58	-6	5	NULL
real	FL	116	8	-15	    0.00	0	    2.00	0	2	  398.01	-3	5	NULL
