TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	BL	1	1	-15	  -20.00	1	   -8.00	0	0	 8860.34	-6	5	NULL
real	FL	2	1	-15	  -20.00	0	    8.00	0	0	 1205.02	-3	5	NULL
real	DR	3	1	15	   20.00	1	   -8.00	0	0	  704.65	-6	5	NULL
real	AL	4	1	-15	  -20.00	0	    8.00	0	0	  557.49	-6	7	NULL
real	CL	5	1	15	  -20.00	0	    8.00	0	0	  672.72	-6	7	NULL
real	GR	6	1	15	   20.00	1	   -8.00	0	0	  693.89	-3	7	NULL
real	FR	7	1	-15	   20.00	1	   -8.00	0	0	  769.92	-3	5	NULL
real	AR	8	1	-15	   20.00	1	   -8.00	0	0	  695.82	-6	7	NULL
real	EL	9	1	-15	  -20.00	0	    8.00	0	0	  665.71	-3	7	NULL
real	HL	10	1	15	  -20.00	0	    8.00	0	0	  629.86	-3	5	NULL
real	ER	11	1	-15	   20.00	1	   -8.00	0	0	  846.93	-3	7	NULL
real	GL	12	1	15	  -20.00	0	    8.00	0	0	  624.38	-3	7	NULL
real	BR	13	1	-15	   20.00	1	   -8.00	0	0	  703.93	-6	5	NULL
real	HR	14	1	15	   20.00	1	   -8.00	0	0	  679.88	-3	5	NULL
real	DL	15	1	15	  -20.00	0	    8.00	0	0	  652.46	-6	5	NULL
real	CR	16	1	15	   20.00	1	   -8.00	0	0	  814.95	-6	7	NULL
real	CL	17	2	15	  -12.00	0	    8.00	0	0	  715.48	-6	7	NULL
real	AR	18	2	-15	   12.00	1	   -8.00	0	0	  671.10	-6	7	NULL
real	FL	19	2	-15	  -12.00	0	    8.00	0	0	  667.42	-3	5	NULL
real	HR	20	2	15	   12.00	1	   -8.00	0	0	  546.30	-3	5	NULL
real	EL	21	2	-15	  -12.00	0	    8.00	0	0	  874.78	-3	7	NULL
