TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	CL	1	1	15	  -20.00	0	    8.00	0	0	 5869.20	-6	7	NULL
real	FR	2	1	-15	   20.00	1	   -8.00	0	0	 1716.67	-3	5	NULL
real	DR	3	1	15	   20.00	1	   -8.00	0	0	  972.94	-6	5	NULL
real	EL	4	1	-15	  -20.00	0	    8.00	0	0	 1044.44	-3	7	NULL
real	GL	5	1	15	  -20.00	0	    8.00	0	0	  883.80	-3	7	NULL
real	ER	6	1	-15	   20.00	1	   -8.00	0	0	 1151.44	-3	7	NULL
real	CR	7	1	15	   20.00	1	   -8.00	0	0	  774.41	-6	7	NULL
real	FL	8	1	-15	  -20.00	0	    8.00	0	0	  929.60	-3	5	NULL
real	AR	9	1	-15	   20.00	1	   -8.00	0	0	  807.52	-6	7	NULL
real	GR	10	1	15	   20.00	1	   -8.00	0	0	  969.85	-3	7	NULL
real	HR	11	1	15	   20.00	1	   -8.00	0	0	  591.88	-3	5	NULL
real	AL	12	1	-15	  -20.00	0	    8.00	0	0	  850.50	-6	7	NULL
real	DL	13	1	15	  -20.00	0	    8.00	0	0	  669.83	-6	5	NULL
real	HL	14	1	15	  -20.00	0	    8.00	0	0	  575.26	-3	5	NULL
real	BR	15	1	-15	   20.00	1	   -8.00	0	0	  737.33	-6	5	NULL
real	BL	16	1	-15	  -20.00	0	    8.00	0	0	  913.35	-6	5	NULL
real	HL	17	2	15	  -12.00	0	    8.00	0	0	  889.03	-3	5	NULL
real	CR	18	2	15	   12.00	1	   -8.00	0	0	  905.08	-6	7	NULL
real	DR	19	2	15	   12.00	1	   -8.00	0	0	  753.23	-6	5	NULL
real	FR	20	2	-15	   12.00	1	   -8.00	0	0	  660.65	-3	5	NULL
real	GL	21	2	15	  -12.00	0	    8.00	0	0	  677.45	-3	7	NULL
real	AR	22	2	-15	   12.00	1	   -8.00	0	0	  769.56	-6	7	NULL
real	ER	23	2	-15	   12.00	1	   -8.00	0	0	  552.34	-3	7	NULL
real	BL	24	2	-15	  -12.00	0	    8.00	0	0	  731.53	-6	5	NULL
real	EL	25	2	-15	  -12.00	0	    8.00	0	0	  811.68	-3	7	NULL
real	FL	26	2	-15	  -12.00	0	    8.00	0	0	  632.38	-3	5	NULL
real	HR	27	2	15	   12.00	1	   -8.00	0	0	  469.43	-3	5	NULL
real	BR	28	2	-15	   12.00	1	   -8.00	0	0	  550.41	-6	5	NULL
real	DL	29	2	15	  -12.00	0	    8.00	0	0	  570.28	-6	5	NULL
real	CL	30	2	15	  -12.00	0	    8.00	0	0	  567.05	-6	7	NULL
real	GR	31	2	15	   12.00	1	   -8.00	0	0	  561.92	-3	7	NULL
