TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	GL	1	1	15	  -20.00	0	    8.00	0	0	 1023.23	-3	7	NULL
real	EL	2	1	-15	  -20.00	0	    8.00	0	0	  735.11	-3	7	NULL
real	CL	3	1	15	  -20.00	0	    8.00	0	0	  459.38	-6	7	NULL
real	CR	4	1	15	   20.00	1	   -8.00	0	0	  448.49	-6	7	NULL
real	HL	5	1	15	  -20.00	0	    8.00	0	0	  428.27	-3	5	NULL
real	DR	6	1	15	   20.00	1	   -8.00	0	0	  417.24	-6	5	NULL
real	BR	7	1	-15	   20.00	1	   -8.00	0	0	  469.45	-6	5	NULL
real	FR	8	1	-15	   20.00	1	   -8.00	0	0	  396.56	-3	5	NULL
real	ER	9	1	-15	   20.00	1	   -8.00	0	0	  342.60	-3	7	NULL
real	BL	10	1	-15	  -20.00	0	    8.00	0	0	  443.83	-6	5	NULL
real	AL	11	1	-15	  -20.00	0	    8.00	0	0	  386.92	-6	7	NULL
real	FL	12	1	-15	  -20.00	0	    8.00	0	0	  486.60	-3	5	NULL
real	DL	13	1	15	  -20.00	0	    8.00	0	0	  432.27	-6	5	NULL
real	GR	14	1	15	   20.00	1	   -8.00	0	0	  355.28	-3	7	NULL
real	AR	15	1	-15	   20.00	1	   -8.00	0	0	  422.34	-6	7	NULL
real	HR	16	1	15	   20.00	1	   -8.00	0	0	  448.97	-3	5	NULL
real	GL	17	2	15	  -12.00	0	    8.00	0	0	  408.64	-3	7	NULL
real	FR	18	2	-15	   12.00	1	   -8.00	0	0	  367.83	-3	5	NULL
real	CR	19	2	15	   12.00	1	   -8.00	0	0	  404.44	-6	7	NULL
real	DL	20	2	15	  -12.00	0	    8.00	0	0	  459.92	-6	5	NULL
real	HL	21	2	15	  -12.00	0	    8.00	0	0	  434.30	-3	5	NULL
real	FL	22	2	-15	  -12.00	0	    8.00	0	0	  371.31	-3	5	NULL
real	BR	23	2	-15	   12.00	1	   -8.00	0	0	  429.65	-6	5	NULL
real	AL	24	2	-15	  -12.00	0	    8.00	0	0	  365.44	-6	7	NULL
real	HR	25	2	15	   12.00	1	   -8.00	0	0	  359.66	-3	5	NULL
real	AR	26	2	-15	   12.00	1	   -8.00	0	0	  398.21	-6	7	NULL
real	DR	27	2	15	   12.00	1	   -8.00	0	0	  398.53	-6	5	NULL
real	BL	28	2	-15	  -12.00	0	    8.00	0	0	  458.22	-6	5	NULL
real	GR	29	2	15	   12.00	1	   -8.00	0	0	  475.38	-3	7	NULL
real	CL	30	2	15	  -12.00	0	    8.00	0	0	  431.04	-6	7	NULL
real	EL	31	2	-15	  -12.00	0	    8.00	0	0	  493.24	-3	7	NULL
real	ER	32	2	-15	   12.00	1	   -8.00	0	0	  374.51	-3	7	NULL
real	DR	33	3	15	    4.00	1	   -8.00	0	0	  716.16	-6	5	NULL
real	GL	34	3	15	   -4.00	0	    8.00	0	0	  611.83	-3	7	NULL
real	AR	35	3	-15	    4.00	1	   -8.00	0	0	  322.17	-6	7	NULL
real	GR	36	3	15	    4.00	1	   -8.00	0	0	  518.36	-3	7	NULL
real	FR	37	3	-15	    4.00	1	   -8.00	0	0	  634.81	-3	5	NULL
real	BR	38	3	-15	    4.00	1	   -8.00	0	0	  494.45	-6	5	NULL
real	BL	39	3	-15	   -4.00	0	    8.00	0	0	  623.15	-6	5	NULL
real	CL	40	3	15	   -4.00	1	   -4.00	1	1	  511.51	-6	7	NULL
real	ER	41	3	-15	    4.00	1	   -8.00	0	0	  435.98	-3	7	NULL
real	DL	42	3	15	   -4.00	0	    8.00	0	0	  476.56	-6	5	NULL
real	HR	43	3	15	    4.00	1	   -8.00	0	0	  432.64	-3	5	NULL
real	HL	44	3	15	   -4.00	0	    8.00	0	0	  463.42	-3	5	NULL
real	CR	45	3	15	    4.00	1	   -8.00	0	0	  330.46	-6	7	NULL
real	AL	46	3	-15	   -4.00	0	    8.00	0	0	  443.25	-6	7	NULL
real	FL	47	3	-15	   -4.00	0	    8.00	0	0	  436.34	-3	5	NULL
real	EL	48	3	-15	   -4.00	0	    8.00	0	0	  627.38	-3	7	NULL
real	FL	49	4	-15	    4.00	1	   -4.00	1	1	  359.78	-3	5	NULL
real	GL	50	4	15	    4.00	1	   -4.00	1	1	  375.97	-3	7	NULL
real	CR	51	4	15	   -4.00	0	    4.00	1	1	  282.41	-6	7	NULL
real	BL	52	4	-15	    4.00	1	   -4.00	1	1	  275.45	-6	5	NULL
real	HR	53	4	15	   -4.00	0	    4.00	1	1	  450.86	-3	5	NULL
real	AR	54	4	-15	   -4.00	0	    4.00	1	1	  721.18	-6	7	NULL
real	GR	55	4	15	   -4.00	0	    4.00	1	1	  508.17	-3	7	NULL
real	EL	56	4	-15	    4.00	1	   -4.00	1	1	  341.30	-3	7	NULL
real	AL	57	4	-15	    4.00	1	   -4.00	1	1	  384.35	-6	7	NULL
real	DR	58	4	15	   -4.00	0	    4.00	1	1	  373.55	-6	5	NULL
