TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	FL	1	1	-15	  -20.00	0	    8.00	0	0	 3796.60	-3	5	NULL
real	BR	2	1	-15	   20.00	1	   -8.00	0	0	  756.47	-6	5	NULL
real	CR	3	1	15	   20.00	1	   -8.00	0	0	  601.76	-6	7	NULL
real	HR	4	1	15	   20.00	1	   -8.00	0	0	  492.75	-3	5	NULL
real	GL	5	1	15	  -20.00	0	    8.00	0	0	  529.94	-3	7	NULL
real	FR	6	1	-15	   20.00	1	   -8.00	0	0	  485.50	-3	5	NULL
real	DR	7	1	15	   20.00	1	   -8.00	0	0	  500.59	-6	5	NULL
real	ER	8	1	-15	   20.00	1	   -8.00	0	0	  432.92	-3	7	NULL
real	AR	9	1	-15	   20.00	1	   -8.00	0	0	  460.32	-6	7	NULL
real	GR	10	1	15	   20.00	1	   -8.00	0	0	  487.72	-3	7	NULL
real	AL	11	1	-15	  -20.00	0	    8.00	0	0	  716.61	-6	7	NULL
real	HL	12	1	15	  -20.00	0	    8.00	0	0	  525.69	-3	5	NULL
real	BL	13	1	-15	  -20.00	0	    8.00	0	0	  494.43	-6	5	NULL
real	EL	14	1	-15	  -20.00	0	    8.00	0	0	  687.62	-3	7	NULL
real	DL	15	1	15	  -20.00	0	    8.00	0	0	  557.38	-6	5	NULL
real	CL	16	1	15	  -20.00	0	    8.00	0	0	  548.50	-6	7	NULL
real	EL	17	2	-15	  -12.00	0	    8.00	0	0	  743.35	-3	7	NULL
real	GL	18	2	15	  -12.00	0	    8.00	0	0	  519.70	-3	7	NULL
real	FR	19	2	-15	   12.00	1	   -8.00	0	0	  569.90	-3	5	NULL
real	DR	20	2	15	   12.00	1	   -8.00	0	0	  468.45	-6	5	NULL
real	ER	21	2	-15	   12.00	1	   -8.00	0	0	  397.02	-3	7	NULL
real	AL	22	2	-15	  -12.00	0	    8.00	0	0	  708.05	-6	7	NULL
real	DL	23	2	15	  -12.00	0	    8.00	0	0	  521.08	-6	5	NULL
real	HR	24	2	15	   12.00	1	   -8.00	0	0	  409.27	-3	5	NULL
real	FL	25	2	-15	  -12.00	0	    8.00	0	0	  616.90	-3	5	NULL
real	HL	26	2	15	  -12.00	0	    8.00	0	0	  460.50	-3	5	NULL
real	BL	27	2	-15	  -12.00	0	    8.00	0	0	  645.44	-6	5	NULL
real	BR	28	2	-15	   12.00	1	   -8.00	0	0	  497.22	-6	5	NULL
real	CR	29	2	15	   12.00	1	   -8.00	0	0	  433.79	-6	7	NULL
real	AR	30	2	-15	   12.00	1	   -8.00	0	0	  359.72	-6	7	NULL
real	CL	31	2	15	  -12.00	0	    8.00	0	0	  517.80	-6	7	NULL
real	GR	32	2	15	   12.00	1	   -8.00	0	0	  366.36	-3	7	NULL
real	HR	33	3	15	    4.00	1	   -8.00	0	0	  412.20	-3	5	NULL
real	GR	34	3	15	    4.00	1	   -8.00	0	0	  677.48	-3	7	NULL
real	BR	35	3	-15	    4.00	1	   -8.00	0	0	  390.72	-6	5	NULL
real	AR	36	3	-15	    4.00	1	   -8.00	0	0	  384.83	-6	7	NULL
real	FL	37	3	-15	   -4.00	1	   -4.00	1	1	  861.82	-3	5	NULL
real	GL	38	3	15	   -4.00	0	    8.00	0	0	  630.53	-3	7	NULL
real	DR	39	3	15	    4.00	1	   -8.00	0	0	  623.11	-6	5	NULL
real	HL	40	3	15	   -4.00	0	    8.00	0	0	  563.06	-3	5	NULL
real	AL	41	3	-15	   -4.00	0	    8.00	0	0	  448.51	-6	7	NULL
real	FR	42	3	-15	    4.00	1	   -8.00	0	0	  393.59	-3	5	NULL
real	ER	43	3	-15	    4.00	1	   -8.00	0	0	  388.27	-3	7	NULL
real	CR	44	3	15	    4.00	1	   -8.00	0	0	  376.27	-6	7	NULL
real	EL	45	3	-15	   -4.00	1	   -4.00	1	1	  772.99	-3	7	NULL
real	DL	46	3	15	   -4.00	0	    8.00	0	0	  571.89	-6	5	NULL
real	CL	47	3	15	   -4.00	0	    8.00	0	0	  476.06	-6	7	NULL
real	BL	48	3	-15	   -4.00	0	    8.00	0	0	  742.03	-6	5	NULL
real	ER	49	4	-15	   -4.00	0	    4.00	1	1	 1516.65	-3	7	NULL
real	CR	50	4	15	   -4.00	0	    4.00	1	1	  882.51	-6	7	NULL
real	GR	51	4	15	   -4.00	0	    4.00	1	1	  525.14	-3	7	NULL
real	BR	52	4	-15	   -4.00	0	    4.00	1	1	  681.11	-6	5	NULL
real	CL	53	4	15	    4.00	1	   -4.00	1	1	  443.49	-6	7	NULL
real	HL	54	4	15	    4.00	1	   -4.00	1	1	  395.91	-3	5	NULL
real	BL	55	4	-15	    4.00	1	   -4.00	1	1	  431.57	-6	5	NULL
real	FR	56	4	-15	   -4.00	0	    4.00	1	1	  527.71	-3	5	NULL
real	FL	57	4	-15	   -8.00	0	    2.00	1	2	  634.36	-3	5	NULL
real	GL	58	4	15	    4.00	1	   -4.00	1	1	  435.95	-3	7	NULL
real	HR	59	4	15	   -4.00	0	    4.00	1	1	  571.59	-3	5	NULL
real	AR	60	4	-15	   -4.00	1	   -8.00	0	0	  778.72	-6	7	NULL
real	DR	61	4	15	   -4.00	0	    4.00	1	1	  528.05	-6	5	NULL
real	AL	62	4	-15	    4.00	1	   -4.00	1	1	  501.31	-6	7	NULL
real	DL	63	4	15	    4.00	1	   -4.00	1	1	  392.49	-6	5	NULL
real	EL	64	4	-15	   -8.00	0	    2.00	1	2	  460.27	-3	7	NULL
real	AL	65	5	-15	    0.00	1	   -4.00	0	1	  553.43	-6	7	NULL
real	CR	66	5	15	    0.00	1	   -2.00	1	2	  501.84	-6	7	NULL
real	BL	67	5	-15	    0.00	1	   -4.00	0	1	  603.90	-6	5	NULL
real	GR	68	5	15	    0.00	0	    4.00	0	1	  678.39	-3	7	NULL
real	DL	69	5	15	    0.00	1	   -4.00	0	1	  612.94	-6	5	NULL
real	GL	70	5	15	    0.00	1	   -4.00	0	1	  609.03	-3	7	NULL
real	FL	71	5	-15	   -6.00	0	    2.00	0	2	  470.26	-3	5	NULL
real	DR	72	5	15	    0.00	1	   -2.00	1	2	  583.65	-6	5	NULL
real	FR	73	5	-15	    0.00	1	   -2.00	1	2	  488.42	-3	5	NULL
real	HR	74	5	15	    0.00	1	   -2.00	1	2	  440.68	-3	5	NULL
real	AR	75	5	-15	  -12.00	0	    4.00	1	1	  448.36	-6	7	NULL
real	CL	76	5	15	    0.00	1	   -4.00	0	1	  828.22	-6	7	NULL
real	EL	77	5	-15	   -6.00	0	    2.00	0	2	  766.88	-3	7	NULL
real	BR	78	5	-15	    0.00	1	   -2.00	1	2	  517.44	-6	5	NULL
real	ER	79	5	-15	    0.00	1	   -2.00	1	2	  522.52	-3	7	NULL
real	HL	80	5	15	    0.00	1	   -4.00	0	1	  411.86	-3	5	NULL
real	BL	81	6	-15	   -4.00	0	    2.00	1	2	  587.15	-6	5	NULL
real	DR	82	6	15	   -2.00	0	    1.00	1	3	  695.16	-6	5	NULL
real	AR	83	6	-15	   -8.00	0	    4.00	0	1	  453.44	-6	7	NULL
real	GL	84	6	15	   -4.00	0	    2.00	1	2	  703.84	-3	7	NULL
real	GR	85	6	15	    4.00	1	   -2.00	1	2	  464.86	-3	7	NULL
