TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	HR	1	1	15	   20.00	1	   -8.00	0	0	  884.63	-3	5	NULL
real	ER	2	1	-15	   20.00	1	   -8.00	0	0	  676.76	-3	7	NULL
real	GL	3	1	15	  -20.00	0	    8.00	0	0	  489.09	-3	7	NULL
real	CL	4	1	15	  -20.00	0	    8.00	0	0	  478.13	-6	7	NULL
real	HL	5	1	15	  -20.00	0	    8.00	0	0	  420.28	-3	5	NULL
real	AR	6	1	-15	   20.00	1	   -8.00	0	0	  481.92	-6	7	NULL
real	BR	7	1	-15	   20.00	1	   -8.00	0	0	  380.94	-6	5	NULL
real	GR	8	1	15	   20.00	1	   -8.00	0	0	  415.29	-3	7	NULL
real	DR	9	1	15	   20.00	1	   -8.00	0	0	  375.25	-6	5	NULL
real	FL	10	1	-15	  -20.00	0	    8.00	0	0	  433.86	-3	5	NULL
real	FR	11	1	-15	   20.00	1	   -8.00	0	0	  487.29	-3	5	NULL
real	EL	12	1	-15	  -20.00	0	    8.00	0	0	  472.83	-3	7	NULL
real	AL	13	1	-15	  -20.00	0	    8.00	0	0	  578.37	-6	7	NULL
real	CR	14	1	15	   20.00	1	   -8.00	0	0	  468.17	-6	7	NULL
real	DL	15	1	15	  -20.00	0	    8.00	0	0	  484.21	-6	5	NULL
real	BL	16	1	-15	  -20.00	0	    8.00	0	0	  446.89	-6	5	NULL
real	GL	17	2	15	  -12.00	0	    8.00	0	0	  572.57	-3	7	NULL
real	CR	18	2	15	   12.00	1	   -8.00	0	0	  480.89	-6	7	NULL
real	FL	19	2	-15	  -12.00	0	    8.00	0	0	  595.32	-3	5	NULL
real	AL	20	2	-15	  -12.00	0	    8.00	0	0	  463.67	-6	7	NULL
real	FR	21	2	-15	   12.00	1	   -8.00	0	0	  439.17	-3	5	NULL
real	BL	22	2	-15	  -12.00	0	    8.00	0	0	  411.00	-6	5	NULL
real	BR	23	2	-15	   12.00	1	   -8.00	0	0	  421.99	-6	5	NULL
real	CL	24	2	15	  -12.00	0	    8.00	0	0	  385.50	-6	7	NULL
real	DR	25	2	15	   12.00	1	   -8.00	0	0	  435.23	-6	5	NULL
real	HL	26	2	15	  -12.00	0	    8.00	0	0	  398.22	-3	5	NULL
real	ER	27	2	-15	   12.00	1	   -8.00	0	0	  484.06	-3	7	NULL
real	HR	28	2	15	   12.00	1	   -8.00	0	0	  445.07	-3	5	NULL
real	GR	29	2	15	   12.00	1	   -8.00	0	0	  426.42	-3	7	NULL
real	DL	30	2	15	  -12.00	0	    8.00	0	0	  494.30	-6	5	NULL
real	EL	31	2	-15	  -12.00	0	    8.00	0	0	  444.33	-3	7	NULL
real	AR	32	2	-15	   12.00	1	   -8.00	0	0	  488.06	-6	7	NULL
real	CL	33	3	15	   -4.00	0	    8.00	0	0	  491.57	-6	7	NULL
real	HL	34	3	15	   -4.00	0	    8.00	0	0	  561.15	-3	5	NULL
real	GL	35	3	15	   -4.00	0	    8.00	0	0	  591.84	-3	7	NULL
real	BL	36	3	-15	   -4.00	0	    8.00	0	0	  433.99	-6	5	NULL
real	DL	37	3	15	   -4.00	0	    8.00	0	0	  498.49	-6	5	NULL
real	BR	38	3	-15	    4.00	1	   -8.00	0	0	  466.14	-6	5	NULL
real	CR	39	3	15	    4.00	1	   -8.00	0	0	  785.05	-6	7	NULL
real	HR	40	3	15	    4.00	1	   -8.00	0	0	  513.81	-3	5	NULL
