TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	HL	1	1	15	  -20.00	1	   -8.00	0	0	 3204.01	-3	5	NULL
real	AR	2	1	-15	   20.00	1	   -8.00	0	0	 1979.65	-6	7	NULL
real	AL	3	1	-15	  -20.00	0	    8.00	0	0	  639.25	-6	7	NULL
real	DL	4	1	15	  -20.00	0	    8.00	0	0	  609.82	-6	5	NULL
real	CR	5	1	15	   20.00	1	   -8.00	0	0	  723.94	-6	7	NULL
real	FR	6	1	-15	   20.00	1	   -8.00	0	0	  535.37	-3	5	NULL
real	CL	7	1	15	  -20.00	0	    8.00	0	0	  590.05	-6	7	NULL
real	BR	8	1	-15	   20.00	1	   -8.00	0	0	  679.76	-6	5	NULL
real	GR	9	1	15	   20.00	1	   -8.00	0	0	  876.10	-3	7	NULL
real	FL	10	1	-15	  -20.00	0	    8.00	0	0	  706.83	-3	5	NULL
real	BL	11	1	-15	  -20.00	0	    8.00	0	0	  561.40	-6	5	NULL
real	HR	12	1	15	   20.00	1	   -8.00	0	0	  616.19	-3	5	NULL
real	ER	13	1	-15	   20.00	1	   -8.00	0	0	  719.32	-3	7	NULL
real	GL	14	1	15	  -20.00	0	    8.00	0	0	  619.55	-3	7	NULL
real	EL	15	1	-15	  -20.00	0	    8.00	0	0	 1069.55	-3	7	NULL
real	DR	16	1	15	   20.00	1	   -8.00	0	0	  589.66	-6	5	NULL
real	CR	17	2	15	   12.00	1	   -8.00	0	0	  703.80	-6	7	NULL
real	CL	18	2	15	  -12.00	0	    8.00	0	0	  620.76	-6	7	NULL
real	EL	19	2	-15	  -12.00	0	    8.00	0	0	  535.76	-3	7	NULL
real	BL	20	2	-15	  -12.00	0	    8.00	0	0	  747.09	-6	5	NULL
real	GL	21	2	15	  -12.00	0	    8.00	0	0	  800.80	-3	7	NULL
real	DR	22	2	15	   12.00	1	   -8.00	0	0	  704.03	-6	5	NULL
real	ER	23	2	-15	   12.00	1	   -8.00	0	0	  653.18	-3	7	NULL
real	DL	24	2	15	  -12.00	0	    8.00	0	0	 1021.34	-6	5	NULL
real	HR	25	2	15	   12.00	1	   -8.00	0	0	  548.37	-3	5	NULL
real	FR	26	2	-15	   12.00	1	   -8.00	0	0	  860.84	-3	5	NULL
real	AR	27	2	-15	   12.00	1	   -8.00	0	0	  541.29	-6	7	NULL
real	BR	28	2	-15	   12.00	1	   -8.00	0	0	  566.87	-6	5	NULL
real	FL	29	2	-15	  -12.00	0	    8.00	0	0	  648.95	-3	5	NULL
real	HL	30	2	15	-20	0	    4.00	1	1	  555.79	-3	5	NULL
real	AL	31	2	-15	  -12.00	0	    8.00	0	0	  816.36	-6	7	NULL
real	GR	32	2	15	   12.00	1	   -8.00	0	0	  796.08	-3	7	NULL
real	EL	33	3	-15	   -4.00	1	   -4.00	1	1	  807.97	-3	7	NULL
real	AL	34	3	-15	   -4.00	1	   -4.00	1	1	  865.10	-6	7	NULL
real	GL	35	3	15	   -4.00	0	    8.00	0	0	  651.20	-3	7	NULL
real	DR	36	3	15	    4.00	0	    4.00	1	1	 1012.10	-6	5	NULL
real	GR	37	3	15	    4.00	1	   -8.00	0	0	  974.34	-3	7	NULL
