TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	GL	1	1	15	  -20.00	0	    8.00	0	0	 2660.40	-3	7	NULL
real	CR	2	1	15	   20.00	1	   -8.00	0	0	  848.86	-6	7	NULL
real	FL	3	1	-15	  -20.00	1	   -8.00	0	0	 1201.47	-3	5	NULL
real	AR	4	1	-15	   20.00	1	   -8.00	0	0	  708.26	-6	7	NULL
real	HL	5	1	15	  -20.00	0	    8.00	0	0	 1287.07	-3	5	NULL
real	EL	6	1	-15	  -20.00	0	    8.00	0	0	  897.99	-3	7	NULL
real	BR	7	1	-15	   20.00	1	   -8.00	0	0	  691.10	-6	5	NULL
real	GR	8	1	15	   20.00	1	   -8.00	0	0	  715.95	-3	7	NULL
real	FR	9	1	-15	   20.00	1	   -8.00	0	0	  484.14	-3	5	NULL
real	DL	10	1	15	  -20.00	0	    8.00	0	0	  663.47	-6	5	NULL
real	AL	11	1	-15	  -20.00	0	    8.00	0	0	  692.70	-6	7	NULL
real	ER	12	1	-15	   20.00	1	   -8.00	0	0	  596.17	-3	7	NULL
real	DR	13	1	15	   20.00	1	   -8.00	0	0	  596.65	-6	5	NULL
real	BL	14	1	-15	  -20.00	0	    8.00	0	0	  526.35	-6	5	NULL
real	CL	15	1	15	  -20.00	0	    8.00	0	0	  518.75	-6	7	NULL
real	HR	16	1	15	   20.00	1	   -8.00	0	0	  470.53	-3	5	NULL
real	BL	17	2	-15	  -12.00	0	    8.00	0	0	  490.70	-6	5	NULL
real	AR	18	2	-15	   12.00	1	   -8.00	0	0	  628.06	-6	7	NULL
real	CL	19	2	15	  -12.00	0	    8.00	0	0	  667.03	-6	7	NULL
real	GR	20	2	15	   12.00	1	   -8.00	0	0	  713.61	-3	7	NULL
real	FL	21	2	-15	-20	0	    4.00	1	1	  715.84	-3	5	NULL
real	CR	22	2	15	   12.00	1	   -8.00	0	0	  521.69	-6	7	NULL
real	DL	23	2	15	  -12.00	0	    8.00	0	0	  636.32	-6	5	NULL
real	AL	24	2	-15	  -12.00	0	    8.00	0	0	  458.01	-6	7	NULL
real	HR	25	2	15	   12.00	1	   -8.00	0	0	  553.18	-3	5	NULL
real	FR	26	2	-15	   12.00	1	   -8.00	0	0	  442.87	-3	5	NULL
real	EL	27	2	-15	  -12.00	0	    8.00	0	0	  610.04	-3	7	NULL
real	ER	28	2	-15	   12.00	1	   -8.00	0	0	  551.13	-3	7	NULL
real	BR	29	2	-15	   12.00	1	   -8.00	0	0	  494.53	-6	5	NULL
real	DR	30	2	15	   12.00	1	   -8.00	0	0	  563.22	-6	5	NULL
real	HL	31	2	15	  -12.00	0	    8.00	0	0	  459.87	-3	5	NULL
real	GL	32	2	15	  -12.00	0	    8.00	0	0	  491.96	-3	7	NULL
real	BL	33	3	-15	   -4.00	0	    8.00	0	0	 1926.34	-6	5	NULL
real	CR	34	3	15	    4.00	1	   -8.00	0	0	 1533.04	-6	7	NULL
real	BR	35	3	-15	    4.00	1	   -8.00	0	0	  851.39	-6	5	NULL
real	FL	36	3	-15	  -16.00	0	    4.00	0	1	  488.59	-3	5	NULL
real	ER	37	3	-15	    4.00	1	   -8.00	0	0	  881.07	-3	7	NULL
real	DL	38	3	15	   -4.00	0	    8.00	0	0	  542.45	-6	5	NULL
real	HR	39	3	15	    4.00	1	   -8.00	0	0	  577.89	-3	5	NULL
real	AR	40	3	-15	    4.00	1	   -8.00	0	0	  576.07	-6	7	NULL
real	CL	41	3	15	   -4.00	0	    8.00	0	0	  600.30	-6	7	NULL
real	DR	42	3	15	    4.00	1	   -8.00	0	0	  523.43	-6	5	NULL
real	HL	43	3	15	   -4.00	0	    8.00	0	0	  608.30	-3	5	NULL
real	GL	44	3	15	   -4.00	0	    8.00	0	0	  495.77	-3	7	NULL
real	EL	45	3	-15	   -4.00	0	    8.00	0	0	  934.38	-3	7	NULL
real	AL	46	3	-15	   -4.00	0	    8.00	0	0	  800.27	-6	7	NULL
real	FR	47	3	-15	    4.00	1	   -8.00	0	0	  579.22	-3	5	NULL
real	GR	48	3	15	    4.00	1	   -8.00	0	0	  661.51	-3	7	NULL
real	AR	49	4	-15	   -4.00	0	    4.00	1	1	  569.81	-6	7	NULL
real	CL	50	4	15	    4.00	1	   -4.00	1	1	  778.00	-6	7	NULL
real	FL	51	4	-15	  -12.00	0	    4.00	0	1	 1522.59	-3	5	NULL
real	GL	52	4	15	    4.00	1	   -4.00	1	1	  625.39	-3	7	NULL
real	BL	53	4	-15	    4.00	1	   -4.00	1	1	  444.07	-6	5	NULL
real	DL	54	4	15	    4.00	1	   -4.00	1	1	  474.06	-6	5	NULL
real	HL	55	4	15	    4.00	1	   -4.00	1	1	  760.97	-3	5	NULL
real	GR	56	4	15	   -4.00	0	    4.00	1	1	  557.72	-3	7	NULL
real	EL	57	4	-15	    4.00	1	   -4.00	1	1	  867.94	-3	7	NULL
real	DR	58	4	15	   -4.00	0	    4.00	1	1	  533.26	-6	5	NULL
real	ER	59	4	-15	   -4.00	0	    4.00	1	1	  660.14	-3	7	NULL
real	FR	60	4	-15	   -4.00	0	    4.00	1	1	 1006.80	-3	5	NULL
real	BR	61	4	-15	   -4.00	0	    4.00	1	1	  602.41	-6	5	NULL
real	HR	62	4	15	   -4.00	0	    4.00	1	1	  553.91	-3	5	NULL
real	CR	63	4	15	   -4.00	0	    4.00	1	1	  469.71	-6	7	NULL
