TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	AR	1	1	-15	   20.00	1	   -8.00	0	0	  855.52	-6	7	NULL
real	DL	2	1	15	  -20.00	0	    8.00	0	0	  673.87	-6	5	NULL
real	HL	3	1	15	  -20.00	0	    8.00	0	0	  446.35	-3	5	NULL
real	FR	4	1	-15	   20.00	0	    8.00	0	0	  415.93	-3	5	NULL
real	EL	5	1	-15	  -20.00	0	    8.00	0	0	  403.29	-3	7	NULL
real	FL	6	1	-15	  -20.00	0	    8.00	0	0	  398.05	-3	5	NULL
real	CL	7	1	15	  -20.00	0	    8.00	0	0	  356.47	-6	7	NULL
real	HR	8	1	15	   20.00	1	   -8.00	0	0	  398.12	-3	5	NULL
real	CR	9	1	15	   20.00	1	   -8.00	0	0	  404.46	-6	7	NULL
real	GR	10	1	15	   20.00	1	   -8.00	0	0	  383.83	-3	7	NULL
real	AL	11	1	-15	  -20.00	0	    8.00	0	0	  452.04	-6	7	NULL
real	BR	12	1	-15	   20.00	1	   -8.00	0	0	  392.13	-6	5	NULL
real	ER	13	1	-15	   20.00	1	   -8.00	0	0	  364.04	-3	7	NULL
real	DR	14	1	15	   20.00	1	   -8.00	0	0	  427.55	-6	5	NULL
real	BL	15	1	-15	  -20.00	0	    8.00	0	0	  410.37	-6	5	NULL
real	GL	16	1	15	  -20.00	0	    8.00	0	0	  370.42	-3	7	NULL
real	EL	17	2	-15	  -12.00	0	    8.00	0	0	  376.40	-3	7	NULL
real	FR	18	2	-15	20	1	   -4.00	1	1	  398.96	-3	5	NULL
real	CR	19	2	15	   12.00	1	   -8.00	0	0	  610.54	-6	7	NULL
real	AR	20	2	-15	   12.00	1	   -8.00	0	0	  539.60	-6	7	NULL
real	AL	21	2	-15	  -12.00	0	    8.00	0	0	  377.16	-6	7	NULL
real	CL	22	2	15	  -12.00	0	    8.00	0	0	  328.80	-6	7	NULL
real	DR	23	2	15	   12.00	1	   -8.00	0	0	  416.78	-6	5	NULL
real	HR	24	2	15	   12.00	1	   -8.00	0	0	  368.82	-3	5	NULL
real	DL	25	2	15	  -12.00	0	    8.00	0	0	  385.74	-6	5	NULL
real	GL	26	2	15	  -12.00	0	    8.00	0	0	  400.37	-3	7	NULL
real	HL	27	2	15	  -12.00	0	    8.00	0	0	  334.00	-3	5	NULL
real	FL	28	2	-15	  -12.00	0	    8.00	0	0	  356.13	-3	5	NULL
real	BR	29	2	-15	   12.00	1	   -8.00	0	0	  584.38	-6	5	NULL
real	ER	30	2	-15	   12.00	1	   -8.00	0	0	  356.98	-3	7	NULL
real	GR	31	2	15	   12.00	1	   -8.00	0	0	  418.11	-3	7	NULL
real	BL	32	2	-15	  -12.00	0	    8.00	0	0	  338.86	-6	5	NULL
real	FL	33	3	-15	   -4.00	0	    8.00	0	0	  575.73	-3	5	NULL
real	HL	34	3	15	   -4.00	0	    8.00	0	0	  359.38	-3	5	NULL
real	FR	35	3	-15	   16.00	1	   -4.00	0	1	  388.58	-3	5	NULL
real	AR	36	3	-15	    4.00	1	   -8.00	0	0	  577.20	-6	7	NULL
real	DL	37	3	15	   -4.00	0	    8.00	0	0	  413.30	-6	5	NULL
real	CR	38	3	15	    4.00	0	    4.00	1	1	  806.52	-6	7	NULL
real	GR	39	3	15	    4.00	1	   -8.00	0	0	  375.81	-3	7	NULL
real	EL	40	3	-15	   -4.00	0	    8.00	0	0	  411.13	-3	7	NULL
real	BL	41	3	-15	   -4.00	0	    8.00	0	0	  358.12	-6	5	NULL
real	ER	42	3	-15	    4.00	1	   -8.00	0	0	  440.30	-3	7	NULL
real	BR	43	3	-15	    4.00	1	   -8.00	0	0	  569.43	-6	5	NULL
real	AL	44	3	-15	   -4.00	0	    8.00	0	0	  430.80	-6	7	NULL
real	CL	45	3	15	   -4.00	0	    8.00	0	0	  455.93	-6	7	NULL
real	DR	46	3	15	    4.00	0	    4.00	1	1	  604.45	-6	5	NULL
real	HR	47	3	15	    4.00	1	   -8.00	0	0	  384.16	-3	5	NULL
real	GL	48	3	15	   -4.00	0	    8.00	0	0	  416.31	-3	7	NULL
real	ER	49	4	-15	   -4.00	0	    4.00	1	1	  429.29	-3	7	NULL
real	FR	50	4	-15	   12.00	1	   -4.00	0	1	  404.61	-3	5	NULL
real	GL	51	4	15	    4.00	1	   -4.00	1	1	  656.89	-3	7	NULL
real	AL	52	4	-15	    4.00	0	    8.00	0	0	  815.53	-6	7	NULL
real	FL	53	4	-15	    4.00	1	   -4.00	1	1	  535.57	-3	5	NULL
real	CR	54	4	15	    8.00	1	   -2.00	1	2	  406.41	-6	7	NULL
real	AR	55	4	-15	   -4.00	0	    4.00	1	1	  704.34	-6	7	NULL
real	HR	56	4	15	   -4.00	0	    4.00	1	1	  514.19	-3	5	NULL
real	BR	57	4	-15	   -4.00	0	    4.00	1	1	  549.14	-6	5	NULL
real	GR	58	4	15	   -4.00	0	    4.00	1	1	  438.94	-3	7	NULL
real	BL	59	4	-15	    4.00	1	   -4.00	1	1	  510.78	-6	5	NULL
real	CL	60	4	15	    4.00	1	   -4.00	1	1	 1214.55	-6	7	NULL
real	DR	61	4	15	    8.00	1	   -2.00	1	2	  405.76	-6	5	NULL
real	EL	62	4	-15	    4.00	1	   -4.00	1	1	  419.68	-3	7	NULL
real	HL	63	4	15	    4.00	1	   -4.00	1	1	  433.83	-3	5	NULL
real	DL	64	4	15	    4.00	1	   -4.00	1	1	  656.07	-6	5	NULL
real	AL	65	5	-15	   12.00	1	   -4.00	1	1	  448.12	-6	7	NULL
real	EL	66	5	-15	    0.00	1	   -4.00	0	1	  421.28	-3	7	NULL
real	ER	67	5	-15	    0.00	1	   -2.00	1	2	  476.01	-3	7	NULL
real	GR	68	5	15	    0.00	0	    4.00	0	1	  590.70	-3	7	NULL
real	BR	69	5	-15	    0.00	1	   -2.00	1	2	  745.40	-6	5	NULL
real	FR	70	5	-15	    8.00	1	   -4.00	0	1	  433.84	-3	5	NULL
real	AR	71	5	-15	    0.00	1	   -2.00	1	2	  567.35	-6	7	NULL
real	CR	72	5	15	    6.00	1	   -2.00	0	2	  423.50	-6	7	NULL
real	DL	73	5	15	    0.00	0	    2.00	1	2	  684.88	-6	5	NULL
real	CL	74	5	15	    0.00	0	    2.00	1	2	  591.83	-6	7	NULL
real	DR	75	5	15	    6.00	1	   -2.00	0	2	  445.57	-6	5	NULL
real	GL	76	5	15	    0.00	0	    2.00	1	2	  618.68	-3	7	NULL
real	FL	77	5	-15	    0.00	1	   -4.00	0	1	  484.17	-3	5	NULL
real	HR	78	5	15	    0.00	0	    4.00	0	1	  431.38	-3	5	NULL
real	HL	79	5	15	    0.00	0	    2.00	1	2	  448.54	-3	5	NULL
real	BL	80	5	-15	    0.00	1	   -4.00	0	1	  527.37	-6	5	NULL
real	DR	81	6	15	    4.00	1	   -2.00	0	2	  439.09	-6	5	NULL
real	CL	82	6	15	    2.00	1	   -1.00	1	3	  613.42	-6	7	NULL
real	AL	83	6	-15	    8.00	1	   -4.00	0	1	  338.24	-6	7	NULL
real	HR	84	6	15	    4.00	1	   -2.00	1	2	  387.91	-3	5	NULL
real	CR	85	6	15	    4.00	1	   -2.00	0	2	  416.49	-6	7	NULL
real	DL	86	6	15	    2.00	1	   -1.00	1	3	  468.44	-6	5	NULL
real	FL	87	6	-15	   -4.00	0	    2.00	1	2	  448.61	-3	5	NULL
real	EL	88	6	-15	   -4.00	0	    2.00	1	2	  669.15	-3	7	NULL
real	HL	89	6	15	    2.00	1	   -1.00	1	3	 1075.49	-3	5	NULL
real	AR	90	6	-15	   -2.00	0	    1.00	1	3	  676.21	-6	7	NULL
real	BL	91	6	-15	   -4.00	0	    2.00	1	2	  684.56	-6	5	NULL
real	ER	92	6	-15	   -2.00	0	    1.00	1	3	  672.34	-3	7	NULL
real	GR	93	6	15	    4.00	1	   -2.00	1	2	 1089.62	-3	7	NULL
real	FR	94	6	-15	    4.00	1	   -4.00	0	1	  407.51	-3	5	NULL
real	BR	95	6	-15	   -2.00	1	   -2.00	0	2	  533.76	-6	5	NULL
real	GL	96	6	15	    2.00	1	   -1.00	1	3	  452.39	-3	7	NULL
real	AR	97	7	-15	   -1.00	1	   -1.00	1	4	  703.96	-6	7	NULL
real	FL	98	7	-15	   -2.00	0	    2.00	0	2	  716.72	-3	5	NULL
real	CL	99	7	15	    1.00	0	    1.00	1	4	  811.56	-6	7	NULL
real	BL	100	7	-15	   -2.00	0	    2.00	0	2	  428.25	-6	5	NULL
real	BR	101	7	-15	   -4.00	0	    1.00	1	3	  367.49	-6	5	NULL
real	GL	102	7	15	    1.00	0	    1.00	1	4	  652.57	-3	7	NULL
real	GR	103	7	15	    2.00	0	    1.00	1	3	 1015.51	-3	7	NULL
real	AL	104	7	-15	    4.00	1	   -4.00	0	1	  423.65	-6	7	NULL
real	CR	105	7	15	    2.00	1	   -2.00	0	2	  409.86	-6	7	NULL
real	FR	106	7	-15	    0.00	1	   -4.00	0	1	  407.94	-3	5	NULL
real	DL	107	7	15	    1.00	1	   -1.00	0	3	  426.29	-6	5	NULL
real	HR	108	7	15	    2.00	1	   -2.00	0	2	  475.79	-3	5	NULL
real	EL	109	7	-15	   -2.00	0	    2.00	0	2	  756.91	-3	7	NULL
real	HL	110	7	15	    1.00	1	   -1.00	0	3	  483.45	-3	5	NULL
real	ER	111	7	-15	   -1.00	0	    1.00	0	3	  711.29	-3	7	NULL
real	DR	112	7	15	    2.00	1	   -2.00	0	2	  485.29	-6	5	NULL
real	HR	113	8	15	    0.00	0	    1.00	1	3	  468.57	-3	5	NULL
real	GR	114	8	15	    3.00	0	    1.00	0	3	  595.55	-3	7	NULL
real	AR	115	8	-15	   -2.00	0	    1.00	1	5	  378.42	-6	7	NULL
real	BR	116	8	-15	   -3.00	0	    1.00	0	3	  503.36	-6	5	NULL
real	HL	117	8	15	    0.00	0	    1.00	1	4	  450.77	-3	5	NULL
real	DL	118	8	15	    0.00	0	    1.00	1	4	  481.39	-6	5	NULL
real	AL	119	8	-15	    0.00	0	    2.00	1	2	  442.50	-6	7	NULL
real	ER	120	8	-15	    0.00	1	   -1.00	1	4	  569.06	-3	7	NULL
real	BL	121	8	-15	    0.00	1	   -1.00	1	3	  635.02	-6	5	NULL
real	CR	122	8	15	    0.00	0	    1.00	1	3	  591.89	-6	7	NULL
