TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	CL	1	1	15	  -20.00	0	    8.00	0	0	 7318.45	-6	7	NULL
real	GR	2	1	15	   20.00	1	   -8.00	0	0	  906.04	-3	7	NULL
real	CR	3	1	15	   20.00	1	   -8.00	0	0	 1918.79	-6	7	NULL
real	BL	4	1	-15	  -20.00	0	    8.00	0	0	  793.18	-6	5	NULL
real	FL	5	1	-15	  -20.00	0	    8.00	0	0	  823.84	-3	5	NULL
real	ER	6	1	-15	   20.00	1	   -8.00	0	0	  860.05	-3	7	NULL
real	GL	7	1	15	  -20.00	0	    8.00	0	0	  894.83	-3	7	NULL
real	HL	8	1	15	  -20.00	0	    8.00	0	0	  859.75	-3	5	NULL
real	FR	9	1	-15	   20.00	1	   -8.00	0	0	  835.77	-3	5	NULL
real	BR	10	1	-15	   20.00	1	   -8.00	0	0	  845.75	-6	5	NULL
real	DR	11	1	15	   20.00	1	   -8.00	0	0	  819.12	-6	5	NULL
real	AR	12	1	-15	   20.00	1	   -8.00	0	0	 1868.71	-6	7	NULL
real	HR	13	1	15	   20.00	1	   -8.00	0	0	 1024.35	-3	5	NULL
real	DL	14	1	15	  -20.00	0	    8.00	0	0	 1095.43	-6	5	NULL
real	EL	15	1	-15	  -20.00	0	    8.00	0	0	 1539.16	-3	7	NULL
real	AL	16	1	-15	  -20.00	0	    8.00	0	0	 1241.26	-6	7	NULL
real	DR	17	2	15	   12.00	1	   -8.00	0	0	 1264.53	-6	5	NULL
real	BL	18	2	-15	  -12.00	0	    8.00	0	0	  925.96	-6	5	NULL
real	CL	19	2	15	  -12.00	0	    8.00	0	0	 1507.15	-6	7	NULL
real	ER	20	2	-15	   12.00	1	   -8.00	0	0	  963.80	-3	7	NULL
real	HR	21	2	15	   12.00	1	   -8.00	0	0	 1037.69	-3	5	NULL
real	HL	22	2	15	  -12.00	0	    8.00	0	0	  998.20	-3	5	NULL
real	CR	23	2	15	   12.00	1	   -8.00	0	0	 1451.91	-6	7	NULL
real	DL	24	2	15	  -12.00	0	    8.00	0	0	  972.40	-6	5	NULL
real	EL	25	2	-15	  -12.00	0	    8.00	0	0	  801.67	-3	7	NULL
real	AR	26	2	-15	   12.00	1	   -8.00	0	0	  883.93	-6	7	NULL
real	GR	27	2	15	   12.00	1	   -8.00	0	0	  845.16	-3	7	NULL
real	AL	28	2	-15	  -12.00	0	    8.00	0	0	  972.29	-6	7	NULL
real	FL	29	2	-15	  -12.00	0	    8.00	0	0	  824.25	-3	5	NULL
real	BR	30	2	-15	   12.00	1	   -8.00	0	0	  884.15	-6	5	NULL
real	GL	31	2	15	  -12.00	0	    8.00	0	0	  911.74	-3	7	NULL
real	FR	32	2	-15	   12.00	1	   -8.00	0	0	  724.63	-3	5	NULL
real	CR	33	3	15	    4.00	1	   -8.00	0	0	 1095.14	-6	7	NULL
real	HL	34	3	15	   -4.00	0	    8.00	0	0	  878.19	-3	5	NULL
real	AR	35	3	-15	    4.00	1	   -8.00	0	0	  734.94	-6	7	NULL
real	ER	36	3	-15	    4.00	1	   -8.00	0	0	 1264.87	-3	7	NULL
real	FR	37	3	-15	    4.00	1	   -8.00	0	0	  870.55	-3	5	NULL
real	BL	38	3	-15	   -4.00	1	   -4.00	1	1	  908.14	-6	5	NULL
real	BR	39	3	-15	    4.00	1	   -8.00	0	0	 1340.02	-6	5	NULL
real	DR	40	3	15	    4.00	1	   -8.00	0	0	  797.90	-6	5	NULL
real	GR	41	3	15	    4.00	1	   -8.00	0	0	 1027.12	-3	7	NULL
real	DL	42	3	15	   -4.00	0	    8.00	0	0	  772.42	-6	5	NULL
real	GL	43	3	15	   -4.00	0	    8.00	0	0	 1698.71	-3	7	NULL
real	EL	44	3	-15	   -4.00	1	   -4.00	1	1	  732.45	-3	7	NULL
real	FL	45	3	-15	   -4.00	1	   -4.00	1	1	 1175.56	-3	5	NULL
real	CL	46	3	15	   -4.00	0	    8.00	0	0	  892.49	-6	7	NULL
real	HR	47	3	15	    4.00	1	   -8.00	0	0	  720.26	-3	5	NULL
real	AL	48	3	-15	   -4.00	1	   -4.00	1	1	  897.83	-6	7	NULL
real	BR	49	4	-15	   -4.00	0	    4.00	1	1	 1157.40	-6	5	NULL
real	ER	50	4	-15	   -4.00	1	   -8.00	0	0	  890.82	-3	7	NULL
real	FR	51	4	-15	   -4.00	1	   -8.00	0	0	 1157.65	-3	5	NULL
real	CR	52	4	15	   -4.00	0	    4.00	1	1	  992.51	-6	7	NULL
real	CL	53	4	15	    4.00	1	   -4.00	1	1	 1086.08	-6	7	NULL
real	EL	54	4	-15	   -8.00	0	    2.00	1	2	  900.50	-3	7	NULL
real	HR	55	4	15	   -4.00	0	    4.00	1	1	  885.58	-3	5	NULL
real	FL	56	4	-15	   -8.00	0	    2.00	1	2	  868.84	-3	5	NULL
real	DR	57	4	15	   -4.00	0	    4.00	1	1	  801.94	-6	5	NULL
real	GR	58	4	15	   -4.00	0	    4.00	1	1	  742.77	-3	7	NULL
real	AR	59	4	-15	   -4.00	1	   -8.00	0	0	  847.39	-6	7	NULL
real	AL	60	4	-15	   -8.00	0	    2.00	1	2	  695.40	-6	7	NULL
real	HL	61	4	15	    4.00	1	   -4.00	1	1	  727.92	-3	5	NULL
real	BL	62	4	-15	   -8.00	0	    2.00	1	2	  791.37	-6	5	NULL
real	GL	63	4	15	    4.00	1	   -4.00	1	1	  576.01	-3	7	NULL
real	DL	64	4	15	    4.00	1	   -4.00	1	1	  776.98	-6	5	NULL
real	HR	65	5	15	    0.00	1	   -2.00	1	2	  918.99	-3	5	NULL
real	BR	66	5	-15	    0.00	1	   -2.00	1	2	  643.13	-6	5	NULL
real	AR	67	5	-15	  -12.00	0	    4.00	1	1	  794.58	-6	7	NULL
real	FR	68	5	-15	  -12.00	0	    4.00	1	1	  742.38	-3	5	NULL
real	AL	69	5	-15	   -6.00	0	    2.00	0	2	  898.10	-6	7	NULL
real	DL	70	5	15	    0.00	1	   -4.00	0	1	  972.12	-6	5	NULL
real	ER	71	5	-15	  -12.00	0	    4.00	1	1	  775.75	-3	7	NULL
real	CL	72	5	15	    0.00	1	   -4.00	0	1	 1105.60	-6	7	NULL
real	BL	73	5	-15	   -6.00	0	    2.00	0	2	  740.32	-6	5	NULL
real	FL	74	5	-15	   -6.00	0	    2.00	0	2	  993.65	-3	5	NULL
real	GL	75	5	15	    0.00	0	    2.00	1	2	  769.87	-3	7	NULL
real	CR	76	5	15	    0.00	1	   -2.00	1	2	 1002.74	-6	7	NULL
real	DR	77	5	15	    0.00	1	   -2.00	1	2	 1064.28	-6	5	NULL
real	GR	78	5	15	    0.00	1	   -2.00	1	2	  935.45	-3	7	NULL
real	HL	79	5	15	    0.00	1	   -4.00	0	1	 1053.49	-3	5	NULL
real	EL	80	5	-15	   -6.00	0	    2.00	0	2	  956.03	-3	7	NULL
real	FR	81	6	-15	   -8.00	1	   -2.00	1	2	 1326.82	-3	5	NULL
real	DR	82	6	15	   -2.00	0	    1.00	1	3	  917.15	-6	5	NULL
real	GR	83	6	15	   -2.00	0	    1.00	1	3	  967.12	-3	7	NULL
real	HL	84	6	15	   -4.00	0	    2.00	1	2	  921.26	-3	5	NULL
real	ER	85	6	-15	   -8.00	0	    4.00	0	1	  929.03	-3	7	NULL
real	EL	86	6	-15	   -4.00	1	   -1.00	1	3	  911.90	-3	7	NULL
real	FL	87	6	-15	   -4.00	1	   -1.00	1	3	  868.70	-3	5	NULL
real	BL	88	6	-15	   -4.00	1	   -1.00	1	3	 1039.01	-6	5	NULL
real	AL	89	6	-15	   -4.00	1	   -1.00	1	3	 1186.54	-6	7	NULL
real	HR	90	6	15	   -2.00	0	    1.00	1	3	  872.38	-3	5	NULL
real	BR	91	6	-15	   -2.00	1	   -2.00	0	2	  835.21	-6	5	NULL
real	GL	92	6	15	    2.00	1	   -1.00	1	3	  847.37	-3	7	NULL
real	CL	93	6	15	   -4.00	0	    2.00	1	2	  821.33	-6	7	NULL
real	DL	94	6	15	   -4.00	0	    2.00	1	2	 1104.98	-6	5	NULL
real	CR	95	6	15	   -2.00	0	    1.00	1	3	  769.05	-6	7	NULL
real	AR	96	6	-15	   -8.00	0	    4.00	0	1	  775.44	-6	7	NULL
real	GR	97	7	15	   -1.00	0	    1.00	0	3	  826.63	-3	7	NULL
real	AL	98	7	-15	   -5.00	0	    1.00	1	4	 1261.30	-6	7	NULL
real	DR	99	7	15	   -1.00	0	    1.00	0	3	  846.12	-6	5	NULL
real	HR	100	7	15	   -1.00	0	    1.00	0	3	  917.99	-3	5	NULL
