TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	ER	1	1	-15	   20.00	1	   -8.00	0	0	 1918.78	-3	7	NULL
real	DR	2	1	15	   20.00	1	   -8.00	0	0	  886.79	-6	5	NULL
real	EL	3	1	-15	  -20.00	0	    8.00	0	0	  425.53	-3	7	NULL
real	CL	4	1	15	  -20.00	0	    8.00	0	0	  510.74	-6	7	NULL
real	CR	5	1	15	   20.00	1	   -8.00	0	0	  544.66	-6	7	NULL
real	GR	6	1	15	   20.00	1	   -8.00	0	0	  441.46	-3	7	NULL
real	AL	7	1	-15	  -20.00	0	    8.00	0	0	  375.88	-6	7	NULL
real	BL	8	1	-15	  -20.00	0	    8.00	0	0	  421.29	-6	5	NULL
real	HL	9	1	15	  -20.00	0	    8.00	0	0	  375.88	-3	5	NULL
real	AR	10	1	-15	   20.00	1	   -8.00	0	0	  398.96	-6	7	NULL
real	FR	11	1	-15	   20.00	1	   -8.00	0	0	  431.90	-3	5	NULL
real	DL	12	1	15	  -20.00	0	    8.00	0	0	  397.40	-6	5	NULL
real	GL	13	1	15	  -20.00	0	    8.00	0	0	  358.35	-3	7	NULL
real	FL	14	1	-15	  -20.00	0	    8.00	0	0	  345.03	-3	5	NULL
real	HR	15	1	15	   20.00	1	   -8.00	0	0	  296.18	-3	5	NULL
real	BR	16	1	-15	   20.00	1	   -8.00	0	0	  339.96	-6	5	NULL
real	HL	17	2	15	  -12.00	0	    8.00	0	0	  385.46	-3	5	NULL
real	CR	18	2	15	   12.00	1	   -8.00	0	0	  309.05	-6	7	NULL
real	BL	19	2	-15	  -12.00	0	    8.00	0	0	  399.81	-6	5	NULL
real	HR	20	2	15	   12.00	1	   -8.00	0	0	  432.02	-3	5	NULL
real	BR	21	2	-15	   12.00	1	   -8.00	0	0	  477.53	-6	5	NULL
real	AR	22	2	-15	   12.00	1	   -8.00	0	0	  317.15	-6	7	NULL
real	CL	23	2	15	  -12.00	0	    8.00	0	0	  414.06	-6	7	NULL
real	GR	24	2	15	   12.00	1	   -8.00	0	0	  324.22	-3	7	NULL
real	FR	25	2	-15	   12.00	1	   -8.00	0	0	  394.71	-3	5	NULL
real	ER	26	2	-15	   12.00	1	   -8.00	0	0	  356.94	-3	7	NULL
real	GL	27	2	15	  -12.00	0	    8.00	0	0	  352.35	-3	7	NULL
real	DL	28	2	15	  -12.00	0	    8.00	0	0	  421.17	-6	5	NULL
real	AL	29	2	-15	  -12.00	0	    8.00	0	0	  391.49	-6	7	NULL
real	DR	30	2	15	   12.00	1	   -8.00	0	0	  368.32	-6	5	NULL
real	EL	31	2	-15	  -12.00	0	    8.00	0	0	  371.28	-3	7	NULL
real	FL	32	2	-15	  -12.00	0	    8.00	0	0	  359.18	-3	5	NULL
real	BL	33	3	-15	   -4.00	0	    8.00	0	0	  525.38	-6	5	NULL
real	AL	34	3	-15	   -4.00	0	    8.00	0	0	  366.94	-6	7	NULL
real	CR	35	3	15	    4.00	0	    4.00	1	1	  624.49	-6	7	NULL
real	CL	36	3	15	   -4.00	0	    8.00	0	0	  392.93	-6	7	NULL
real	DL	37	3	15	   -4.00	0	    8.00	0	0	  549.58	-6	5	NULL
real	FR	38	3	-15	    4.00	1	   -8.00	0	0	  555.23	-3	5	NULL
real	AR	39	3	-15	    4.00	1	   -8.00	0	0	  354.21	-6	7	NULL
real	ER	40	3	-15	    4.00	1	   -8.00	0	0	  431.75	-3	7	NULL
real	EL	41	3	-15	   -4.00	0	    8.00	0	0	  390.40	-3	7	NULL
real	GL	42	3	15	   -4.00	0	    8.00	0	0	  427.42	-3	7	NULL
real	GR	43	3	15	    4.00	0	    4.00	1	1	  453.68	-3	7	NULL
real	DR	44	3	15	    4.00	1	   -8.00	0	0	  604.64	-6	5	NULL
real	HR	45	3	15	    4.00	0	    4.00	1	1	 1208.91	-3	5	NULL
real	BR	46	3	-15	    4.00	1	   -8.00	0	0	  594.70	-6	5	NULL
real	FL	47	3	-15	   -4.00	0	    8.00	0	0	  434.79	-3	5	NULL
real	HL	48	3	15	   -4.00	0	    8.00	0	0	  491.57	-3	5	NULL
real	FL	49	4	-15	    4.00	1	   -4.00	1	1	  419.53	-3	5	NULL
real	GL	50	4	15	    4.00	0	    8.00	0	0	 1035.23	-3	7	NULL
real	GR	51	4	15	    8.00	1	   -2.00	1	2	  429.78	-3	7	NULL
real	CR	52	4	15	    8.00	1	   -2.00	1	2	  395.21	-6	7	NULL
real	FR	53	4	-15	   -4.00	0	    4.00	1	1	  432.39	-3	5	NULL
real	BL	54	4	-15	    4.00	1	   -4.00	1	1	  739.21	-6	5	NULL
real	EL	55	4	-15	    4.00	1	   -4.00	1	1	  714.51	-3	7	NULL
real	ER	56	4	-15	   -4.00	0	    4.00	1	1	  536.61	-3	7	NULL
real	HR	57	4	15	    8.00	1	   -2.00	1	2	  512.11	-3	5	NULL
real	CL	58	4	15	    4.00	0	    8.00	0	0	 1706.10	-6	7	NULL
real	DR	59	4	15	   -4.00	0	    4.00	1	1	  573.99	-6	5	NULL
real	HL	60	4	15	    4.00	0	    8.00	0	0	  871.85	-3	5	NULL
real	AL	61	4	-15	    4.00	1	   -4.00	1	1	  506.04	-6	7	NULL
