TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	CL	1	1	15	  -20.00	0	    8.00	0	0	 4015.71	-6	7	NULL
real	ER	2	1	-15	   20.00	1	   -8.00	0	0	  945.78	-3	7	NULL
real	CR	3	1	15	   20.00	1	   -8.00	0	0	  654.25	-6	7	NULL
real	HR	4	1	15	   20.00	1	   -8.00	0	0	  689.58	-3	5	NULL
real	EL	5	1	-15	  -20.00	0	    8.00	0	0	  756.97	-3	7	NULL
real	GR	6	1	15	   20.00	1	   -8.00	0	0	  571.06	-3	7	NULL
real	FL	7	1	-15	  -20.00	0	    8.00	0	0	  632.31	-3	5	NULL
real	AL	8	1	-15	  -20.00	0	    8.00	0	0	  507.37	-6	7	NULL
real	BR	9	1	-15	   20.00	1	   -8.00	0	0	  516.97	-6	5	NULL
real	BL	10	1	-15	  -20.00	0	    8.00	0	0	  568.01	-6	5	NULL
real	AR	11	1	-15	   20.00	1	   -8.00	0	0	  431.00	-6	7	NULL
real	FR	12	1	-15	   20.00	1	   -8.00	0	0	  517.04	-3	5	NULL
real	GL	13	1	15	  -20.00	0	    8.00	0	0	  465.18	-3	7	NULL
real	DL	14	1	15	  -20.00	0	    8.00	0	0	  548.95	-6	5	NULL
real	HL	15	1	15	  -20.00	0	    8.00	0	0	  413.30	-3	5	NULL
real	DR	16	1	15	   20.00	1	   -8.00	0	0	  486.60	-6	5	NULL
real	AR	17	2	-15	   12.00	1	   -8.00	0	0	  481.43	-6	7	NULL
real	DR	18	2	15	   12.00	1	   -8.00	0	0	  546.68	-6	5	NULL
real	BR	19	2	-15	   12.00	1	   -8.00	0	0	  517.65	-6	5	NULL
real	CL	20	2	15	  -12.00	0	    8.00	0	0	  462.54	-6	7	NULL
real	FR	21	2	-15	   12.00	1	   -8.00	0	0	  405.62	-3	5	NULL
real	BL	22	2	-15	  -12.00	0	    8.00	0	0	  443.90	-6	5	NULL
real	AL	23	2	-15	  -12.00	0	    8.00	0	0	  475.47	-6	7	NULL
real	DL	24	2	15	  -12.00	0	    8.00	0	0	  571.89	-6	5	NULL
real	ER	25	2	-15	   12.00	1	   -8.00	0	0	  539.05	-3	7	NULL
real	HR	26	2	15	   12.00	1	   -8.00	0	0	  460.27	-3	5	NULL
real	GL	27	2	15	  -12.00	0	    8.00	0	0	  386.55	-3	7	NULL
real	FL	28	2	-15	  -12.00	0	    8.00	0	0	  465.33	-3	5	NULL
real	HL	29	2	15	  -12.00	0	    8.00	0	0	  390.00	-3	5	NULL
real	CR	30	2	15	   12.00	1	   -8.00	0	0	  435.16	-6	7	NULL
real	GR	31	2	15	   12.00	1	   -8.00	0	0	  507.07	-3	7	NULL
real	EL	32	2	-15	  -12.00	0	    8.00	0	0	  389.88	-3	7	NULL
real	FR	33	3	-15	    4.00	1	   -8.00	0	0	  550.05	-3	5	NULL
real	HR	34	3	15	    4.00	1	   -8.00	0	0	 1581.22	-3	5	NULL
real	AR	35	3	-15	    4.00	1	   -8.00	0	0	  536.03	-6	7	NULL
real	CL	36	3	15	   -4.00	0	    8.00	0	0	  639.14	-6	7	NULL
real	DL	37	3	15	   -4.00	0	    8.00	0	0	  614.40	-6	5	NULL
real	GL	38	3	15	   -4.00	0	    8.00	0	0	  536.95	-3	7	NULL
real	BR	39	3	-15	    4.00	1	   -8.00	0	0	  582.43	-6	5	NULL
real	GR	40	3	15	    4.00	1	   -8.00	0	0	  500.68	-3	7	NULL
real	DR	41	3	15	    4.00	1	   -8.00	0	0	  669.39	-6	5	NULL
real	HL	42	3	15	   -4.00	0	    8.00	0	0	  472.39	-3	5	NULL
real	CR	43	3	15	    4.00	1	   -8.00	0	0	  389.50	-6	7	NULL
real	FL	44	3	-15	   -4.00	0	    8.00	0	0	 1340.47	-3	5	NULL
real	AL	45	3	-15	   -4.00	0	    8.00	0	0	  851.90	-6	7	NULL
real	EL	46	3	-15	   -4.00	0	    8.00	0	0	  504.94	-3	7	NULL
real	BL	47	3	-15	   -4.00	0	    8.00	0	0	  759.78	-6	5	NULL
real	ER	48	3	-15	    4.00	1	   -8.00	0	0	  450.12	-3	7	NULL
real	FL	49	4	-15	    4.00	1	   -4.00	1	1	  376.84	-3	5	NULL
real	HL	50	4	15	    4.00	1	   -4.00	1	1	  594.58	-3	5	NULL
real	HR	51	4	15	   -4.00	0	    4.00	1	1	  537.66	-3	5	NULL
real	FR	52	4	-15	   -4.00	0	    4.00	1	1	  774.55	-3	5	NULL
real	DR	53	4	15	   -4.00	0	    4.00	1	1	  533.31	-6	5	NULL
real	DL	54	4	15	    4.00	1	   -4.00	1	1	  375.63	-6	5	NULL
real	AR	55	4	-15	   -4.00	0	    4.00	1	1	  857.07	-6	7	NULL
real	EL	56	4	-15	    4.00	1	   -4.00	1	1	  363.87	-3	7	NULL
real	CR	57	4	15	   -4.00	0	    4.00	1	1	  570.56	-6	7	NULL
real	BR	58	4	-15	   -4.00	0	    4.00	1	1	  701.77	-6	5	NULL
real	BL	59	4	-15	    4.00	1	   -4.00	1	1	  425.25	-6	5	NULL
real	CL	60	4	15	    4.00	1	   -4.00	1	1	  475.32	-6	7	NULL
real	GR	61	4	15	   -4.00	0	    4.00	1	1	  591.57	-3	7	NULL
real	ER	62	4	-15	   -4.00	0	    4.00	1	1	  932.66	-3	7	NULL
real	GL	63	4	15	    4.00	1	   -4.00	1	1	  455.32	-3	7	NULL
real	AL	64	4	-15	    4.00	1	   -4.00	1	1	  585.10	-6	7	NULL
real	HR	65	5	15	    0.00	0	    4.00	0	1	 1535.78	-3	5	NULL
real	DL	66	5	15	    0.00	0	    2.00	1	2	 2475.69	-6	5	NULL
real	ER	67	5	-15	    0.00	1	   -2.00	1	2	  890.67	-3	7	NULL
real	BR	68	5	-15	    0.00	1	   -2.00	1	2	  645.32	-6	5	NULL
real	BL	69	5	-15	    0.00	1	   -4.00	0	1	 1300.77	-6	5	NULL
real	GL	70	5	15	    0.00	0	    2.00	1	2	  676.21	-3	7	NULL
real	DR	71	5	15	    0.00	0	    4.00	0	1	 1562.28	-6	5	NULL
real	HL	72	5	15	    0.00	0	    2.00	1	2	  774.77	-3	5	NULL
real	CR	73	5	15	    0.00	0	    4.00	0	1	  898.74	-6	7	NULL
real	GR	74	5	15	    0.00	0	    4.00	0	1	  638.43	-3	7	NULL
real	EL	75	5	-15	    0.00	1	   -4.00	0	1	  409.73	-3	7	NULL
real	AR	76	5	-15	    0.00	1	   -2.00	1	2	  488.38	-6	7	NULL
real	FR	77	5	-15	    0.00	1	   -2.00	1	2	  468.38	-3	5	NULL
real	CL	78	5	15	    0.00	1	   -4.00	0	1	  403.10	-6	7	NULL
real	AL	79	5	-15	    0.00	1	   -4.00	0	1	  581.52	-6	7	NULL
real	FL	80	5	-15	    0.00	1	   -4.00	0	1	  464.50	-3	5	NULL
real	GL	81	6	15	    2.00	1	   -1.00	1	3	  597.78	-3	7	NULL
real	EL	82	6	-15	   -4.00	0	    2.00	1	2	 1123.00	-3	7	NULL
real	HR	83	6	15	    4.00	1	   -2.00	1	2	  364.67	-3	5	NULL
real	CL	84	6	15	   -4.00	0	    2.00	1	2	  525.67	-6	7	NULL
real	GR	85	6	15	    4.00	1	   -2.00	1	2	  419.25	-3	7	NULL
real	AL	86	6	-15	   -4.00	0	    2.00	1	2	  690.58	-6	7	NULL
real	CR	87	6	15	    4.00	1	   -2.00	1	2	  473.61	-6	7	NULL
real	FL	88	6	-15	   -4.00	0	    2.00	1	2	  653.25	-3	5	NULL
real	FR	89	6	-15	   -2.00	1	   -2.00	0	2	  715.94	-3	5	NULL
real	HL	90	6	15	    2.00	0	    2.00	0	2	 1362.04	-3	5	NULL
real	DL	91	6	15	    2.00	1	   -1.00	1	3	  467.58	-6	5	NULL
real	BL	92	6	-15	   -4.00	0	    2.00	1	2	  494.33	-6	5	NULL
real	ER	93	6	-15	   -2.00	1	   -2.00	0	2	 1547.92	-3	7	NULL
real	BR	94	6	-15	   -2.00	0	    1.00	1	3	  953.32	-6	5	NULL
real	DR	95	6	15	    4.00	1	   -2.00	1	2	  395.85	-6	5	NULL
real	AR	96	6	-15	   -2.00	0	    1.00	1	3	  509.23	-6	7	NULL
real	EL	97	7	-15	   -2.00	1	   -1.00	1	3	  528.81	-3	7	NULL
real	AR	98	7	-15	   -1.00	0	    1.00	0	3	 2134.99	-6	7	NULL
real	BR	99	7	-15	   -1.00	0	    1.00	0	3	  774.69	-6	5	NULL
real	FR	100	7	-15	   -4.00	0	    1.00	1	3	 1248.41	-3	5	NULL
real	DL	101	7	15	    1.00	0	    1.00	1	4	 1397.29	-6	5	NULL
real	FL	102	7	-15	   -2.00	1	   -1.00	1	3	  551.62	-3	5	NULL
real	GR	103	7	15	    2.00	1	   -2.00	0	2	  780.48	-3	7	NULL
real	BL	104	7	-15	   -2.00	0	    2.00	0	2	 1242.94	-6	5	NULL
real	ER	105	7	-15	   -4.00	0	    1.00	1	3	  843.31	-3	7	NULL
real	CR	106	7	15	    2.00	1	   -2.00	0	2	  513.60	-6	7	NULL
real	GL	107	7	15	    1.00	1	   -1.00	0	3	  684.68	-3	7	NULL
real	AL	108	7	-15	   -2.00	1	   -1.00	1	3	  616.27	-6	7	NULL
real	CL	109	7	15	   -2.00	0	    2.00	0	2	  832.69	-6	7	NULL
real	HL	110	7	15	    4.00	1	   -1.00	1	3	  746.31	-3	5	NULL
real	HR	111	7	15	    2.00	1	   -2.00	0	2	  813.70	-3	5	NULL
real	DR	112	7	15	    2.00	1	   -2.00	0	2	  719.67	-6	5	NULL
real	DR	113	8	15	    0.00	1	   -2.00	0	2	  959.58	-6	5	NULL
real	HL	114	8	15	    3.00	1	   -1.00	0	3	  469.91	-3	5	NULL
real	CL	115	8	15	    0.00	1	   -1.00	1	3	  507.89	-6	7	NULL
real	FL	116	8	-15	   -3.00	1	   -1.00	0	3	  493.38	-3	5	NULL
real	ER	117	8	-15	   -3.00	1	   -1.00	1	4	 1556.39	-3	7	NULL
real	FR	118	8	-15	   -3.00	1	   -1.00	1	4	 1406.56	-3	5	NULL
real	BL	119	8	-15	    0.00	1	   -1.00	1	3	  806.41	-6	5	NULL
real	AL	120	8	-15	   -3.00	0	    1.00	1	4	  897.15	-6	7	NULL
real	HR	121	8	15	    0.00	0	    1.00	1	3	 1058.03	-3	5	NULL
real	GR	122	8	15	    0.00	1	   -2.00	0	2	  496.03	-3	7	NULL
real	DL	123	8	15	    2.00	1	   -1.00	1	5	  404.68	-6	5	NULL
real	EL	124	8	-15	   -3.00	1	   -1.00	0	3	  592.00	-3	7	NULL
real	CR	125	8	15	    0.00	1	   -2.00	0	2	  686.56	-6	7	NULL
real	GL	126	8	15	    0.00	1	   -1.00	0	3	  464.80	-3	7	NULL
real	BR	127	8	-15	    0.00	1	   -1.00	1	4	  415.43	-6	5	NULL
real	AR	128	8	-15	    0.00	1	   -1.00	1	4	  331.44	-6	7	NULL
real	EL	129	9	-15	   -4.00	1	   -1.00	0	3	  459.64	-3	7	NULL
real	CL	130	9	15	   -1.00	0	    1.00	1	4	  786.38	-6	7	NULL
real	BL	131	9	-15	   -1.00	1	   -1.00	0	3	  590.75	-6	5	NULL
real	AR	132	9	-15	   -1.00	1	   -1.00	0	4	  618.62	-6	7	NULL
real	DL	133	9	15	    1.00	1	   -1.00	0	5	  437.19	-6	5	NULL
real	HR	134	9	15	    1.00	1	   -1.00	1	4	  482.93	-3	5	NULL
real	GL	135	9	15	   -1.00	1	   -1.00	0	3	  819.27	-3	7	NULL
real	DR	136	9	15	   -2.00	0	    1.00	1	3	  745.26	-6	5	NULL
