TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	DL	1	1	15	  -20.00	0	    8.00	0	0	 2254.88	-6	5	NULL
real	FR	2	1	-15	   20.00	1	   -8.00	0	0	  802.18	-3	5	NULL
real	CR	3	1	15	   20.00	1	   -8.00	0	0	  679.58	-6	7	NULL
real	HL	4	1	15	  -20.00	0	    8.00	0	0	  541.46	-3	5	NULL
real	GR	5	1	15	   20.00	1	   -8.00	0	0	  486.48	-3	7	NULL
real	ER	6	1	-15	   20.00	1	   -8.00	0	0	  642.04	-3	7	NULL
real	AL	7	1	-15	  -20.00	0	    8.00	0	0	  645.86	-6	7	NULL
real	EL	8	1	-15	  -20.00	0	    8.00	0	0	  581.91	-3	7	NULL
real	GL	9	1	15	  -20.00	0	    8.00	0	0	  470.27	-3	7	NULL
real	HR	10	1	15	   20.00	1	   -8.00	0	0	  502.36	-3	5	NULL
real	BL	11	1	-15	  -20.00	0	    8.00	0	0	  451.38	-6	5	NULL
real	DR	12	1	15	   20.00	1	   -8.00	0	0	  637.82	-6	5	NULL
real	CL	13	1	15	  -20.00	0	    8.00	0	0	  425.17	-6	7	NULL
real	FL	14	1	-15	  -20.00	0	    8.00	0	0	  540.41	-3	5	NULL
real	AR	15	1	-15	   20.00	1	   -8.00	0	0	  485.94	-6	7	NULL
real	BR	16	1	-15	   20.00	1	   -8.00	0	0	  575.49	-6	5	NULL
real	BL	17	2	-15	  -12.00	0	    8.00	0	0	  485.76	-6	5	NULL
real	FL	18	2	-15	  -12.00	0	    8.00	0	0	  533.18	-3	5	NULL
real	AL	19	2	-15	  -12.00	0	    8.00	0	0	  530.08	-6	7	NULL
real	HR	20	2	15	   12.00	1	   -8.00	0	0	  493.05	-3	5	NULL
real	AR	21	2	-15	   12.00	1	   -8.00	0	0	  542.76	-6	7	NULL
real	DR	22	2	15	   12.00	1	   -8.00	0	0	  471.55	-6	5	NULL
real	CL	23	2	15	  -12.00	0	    8.00	0	0	  472.34	-6	7	NULL
real	HL	24	2	15	  -12.00	0	    8.00	0	0	  502.31	-3	5	NULL
real	GL	25	2	15	  -12.00	0	    8.00	0	0	  547.93	-3	7	NULL
real	DL	26	2	15	  -12.00	0	    8.00	0	0	  483.49	-6	5	NULL
real	FR	27	2	-15	   12.00	1	   -8.00	0	0	  546.25	-3	5	NULL
real	BR	28	2	-15	   12.00	1	   -8.00	0	0	  570.99	-6	5	NULL
real	CR	29	2	15	   12.00	1	   -8.00	0	0	  587.12	-6	7	NULL
real	ER	30	2	-15	   12.00	1	   -8.00	0	0	  455.12	-3	7	NULL
real	GR	31	2	15	   12.00	1	   -8.00	0	0	  488.74	-3	7	NULL
real	EL	32	2	-15	  -12.00	0	    8.00	0	0	  549.87	-3	7	NULL
real	GR	33	3	15	    4.00	0	    4.00	1	1	 1117.21	-3	7	NULL
real	HL	34	3	15	   -4.00	0	    8.00	0	0	  546.16	-3	5	NULL
real	EL	35	3	-15	   -4.00	1	   -4.00	1	1	  786.14	-3	7	NULL
real	DR	36	3	15	    4.00	1	   -8.00	0	0	  557.84	-6	5	NULL
real	FR	37	3	-15	    4.00	1	   -8.00	0	0	  556.23	-3	5	NULL
real	BL	38	3	-15	   -4.00	0	    8.00	0	0	  529.87	-6	5	NULL
real	CL	39	3	15	   -4.00	0	    8.00	0	0	  543.21	-6	7	NULL
real	AL	40	3	-15	   -4.00	0	    8.00	0	0	  476.12	-6	7	NULL
real	AR	41	3	-15	    4.00	1	   -8.00	0	0	  519.16	-6	7	NULL
real	GL	42	3	15	   -4.00	0	    8.00	0	0	  491.30	-3	7	NULL
real	HR	43	3	15	    4.00	0	    4.00	1	1	  823.22	-3	5	NULL
real	ER	44	3	-15	    4.00	1	   -8.00	0	0	  439.23	-3	7	NULL
real	CR	45	3	15	    4.00	1	   -8.00	0	0	  473.55	-6	7	NULL
real	DL	46	3	15	   -4.00	0	    8.00	0	0	  458.78	-6	5	NULL
real	FL	47	3	-15	   -4.00	1	   -4.00	1	1	  743.46	-3	5	NULL
real	BR	48	3	-15	    4.00	1	   -8.00	0	0	  436.59	-6	5	NULL
real	FL	49	4	-15	   -8.00	0	    2.00	1	2	  574.31	-3	5	NULL
real	DL	50	4	15	    4.00	1	   -4.00	1	1	  367.21	-6	5	NULL
real	HL	51	4	15	    4.00	1	   -4.00	1	1	  914.61	-3	5	NULL
real	AL	52	4	-15	    4.00	1	   -4.00	1	1	  524.90	-6	7	NULL
real	GL	53	4	15	    4.00	0	    8.00	0	0	  489.71	-3	7	NULL
real	BL	54	4	-15	    4.00	1	   -4.00	1	1	  403.29	-6	5	NULL
real	AR	55	4	-15	   -4.00	0	    4.00	1	1	  439.97	-6	7	NULL
real	CL	56	4	15	    4.00	1	   -4.00	1	1	  373.68	-6	7	NULL
real	GR	57	4	15	    8.00	1	   -2.00	1	2	  460.95	-3	7	NULL
real	BR	58	4	-15	   -4.00	0	    4.00	1	1	  411.32	-6	5	NULL
real	ER	59	4	-15	   -4.00	1	   -8.00	0	0	  683.22	-3	7	NULL
real	DR	60	4	15	   -4.00	0	    4.00	1	1	  571.63	-6	5	NULL
real	CR	61	4	15	   -4.00	0	    4.00	1	1	  562.96	-6	7	NULL
real	EL	62	4	-15	   -8.00	0	    2.00	1	2	  535.06	-3	7	NULL
real	HR	63	4	15	    8.00	1	   -2.00	1	2	  524.65	-3	5	NULL
real	FR	64	4	-15	   -4.00	1	   -8.00	0	0	  748.33	-3	5	NULL
real	HR	65	5	15	    6.00	1	   -2.00	0	2	  544.14	-3	5	NULL
real	BR	66	5	-15	    0.00	1	   -2.00	1	2	  625.75	-6	5	NULL
real	AL	67	5	-15	    0.00	1	   -4.00	0	1	  627.28	-6	7	NULL
real	GR	68	5	15	    6.00	1	   -2.00	0	2	  487.30	-3	7	NULL
real	FR	69	5	-15	  -12.00	0	    4.00	1	1	  477.17	-3	5	NULL
real	GL	70	5	15	   12.00	1	   -4.00	1	1	  449.38	-3	7	NULL
real	HL	71	5	15	    0.00	0	    2.00	1	2	  503.38	-3	5	NULL
real	DR	72	5	15	    0.00	0	    4.00	0	1	  551.78	-6	5	NULL
real	FL	73	5	-15	   -6.00	0	    2.00	0	2	  470.30	-3	5	NULL
real	AR	74	5	-15	    0.00	1	   -2.00	1	2	  532.47	-6	7	NULL
real	DL	75	5	15	    0.00	0	    2.00	1	2	  702.19	-6	5	NULL
real	CR	76	5	15	    0.00	0	    4.00	0	1	  498.81	-6	7	NULL
real	ER	77	5	-15	  -12.00	0	    4.00	1	1	  440.64	-3	7	NULL
real	CL	78	5	15	    0.00	0	    2.00	1	2	  541.68	-6	7	NULL
real	EL	79	5	-15	   -6.00	0	    2.00	0	2	  422.08	-3	7	NULL
real	BL	80	5	-15	    0.00	1	   -4.00	0	1	  563.20	-6	5	NULL
real	ER	81	6	-15	   -8.00	0	    4.00	0	1	  416.67	-3	7	NULL
real	AL	82	6	-15	   -4.00	0	    2.00	1	2	  664.47	-6	7	NULL
real	DL	83	6	15	    2.00	0	    2.00	0	2	  808.97	-6	5	NULL
real	EL	84	6	-15	   -4.00	0	    2.00	0	2	  429.20	-3	7	NULL
real	BR	85	6	-15	   -2.00	1	   -2.00	0	2	  614.49	-6	5	NULL
real	HL	86	6	15	    2.00	0	    2.00	0	2	  705.94	-3	5	NULL
real	CR	87	6	15	    4.00	0	    4.00	0	1	 1354.16	-6	7	NULL
real	BL	88	6	-15	   -4.00	0	    2.00	1	2	  490.79	-6	5	NULL
real	AR	89	6	-15	   -2.00	0	    1.00	1	3	  419.07	-6	7	NULL
real	HR	90	6	15	    4.00	1	   -2.00	0	2	  965.87	-3	5	NULL
real	GR	91	6	15	    4.00	1	   -2.00	0	2	  520.62	-3	7	NULL
real	GL	92	6	15	    8.00	1	   -4.00	0	1	  474.30	-3	7	NULL
real	FR	93	6	-15	   -8.00	0	    4.00	0	1	  600.28	-3	5	NULL
real	FL	94	6	-15	   -4.00	0	    2.00	0	2	  795.97	-3	5	NULL
real	CL	95	6	15	    2.00	1	   -1.00	1	3	  498.82	-6	7	NULL
real	DR	96	6	15	    4.00	1	   -2.00	1	2	  591.88	-6	5	NULL
real	HR	97	7	15	    2.00	0	    1.00	1	3	  578.64	-3	5	NULL
real	HL	98	7	15	    4.00	1	   -1.00	1	3	  463.21	-3	5	NULL
real	BR	99	7	-15	   -4.00	1	   -2.00	0	2	  706.56	-6	5	NULL
real	CR	100	7	15	    8.00	1	   -2.00	1	2	  365.85	-6	7	NULL
real	BL	101	7	-15	   -2.00	1	   -1.00	1	3	  567.44	-6	5	NULL
real	EL	102	7	-15	   -2.00	1	   -1.00	1	3	  509.07	-3	7	NULL
real	AL	103	7	-15	   -2.00	1	   -1.00	1	3	  586.74	-6	7	NULL
real	GR	104	7	15	    2.00	0	    1.00	1	3	  629.15	-3	7	NULL
real	GL	105	7	15	    4.00	1	   -4.00	0	1	  507.38	-3	7	NULL
real	ER	106	7	-15	   -4.00	0	    4.00	0	1	  449.54	-3	7	NULL
real	FL	107	7	-15	   -2.00	1	   -1.00	1	3	  469.72	-3	5	NULL
real	DR	108	7	15	    2.00	1	   -2.00	0	2	  386.65	-6	5	NULL
real	AR	109	7	-15	   -1.00	1	   -1.00	1	4	  555.44	-6	7	NULL
real	DL	110	7	15	    4.00	1	   -1.00	1	3	  377.85	-6	5	NULL
real	CL	111	7	15	    1.00	0	    1.00	1	4	  839.37	-6	7	NULL
real	FR	112	7	-15	   -4.00	1	   -2.00	1	2	  616.75	-3	5	NULL
real	GR	113	8	15	    3.00	1	   -1.00	1	4	  473.85	-3	7	NULL
real	HR	114	8	15	    3.00	0	    1.00	0	3	  888.30	-3	5	NULL
real	EL	115	8	-15	   -3.00	1	   -1.00	0	3	  510.34	-3	7	NULL
real	CR	116	8	15	    6.00	1	   -2.00	0	2	  432.84	-6	7	NULL
real	ER	117	8	-15	    0.00	1	   -2.00	1	2	  451.21	-3	7	NULL
real	BR	118	8	-15	   -6.00	0	    1.00	1	3	  700.27	-6	5	NULL
real	DR	119	8	15	    0.00	0	    1.00	1	3	  717.59	-6	5	NULL
real	GL	120	8	15	    0.00	0	    2.00	1	2	  490.97	-3	7	NULL
real	FL	121	8	-15	   -3.00	1	   -1.00	0	3	  587.53	-3	5	NULL
real	CL	122	8	15	    2.00	0	    1.00	0	4	  661.27	-6	7	NULL
real	BL	123	8	-15	   -3.00	1	   -1.00	0	3	  658.39	-6	5	NULL
real	HL	124	8	15	    3.00	0	    1.00	1	4	  791.36	-3	5	NULL
real	FR	125	8	-15	   -6.00	0	    1.00	1	3	  648.77	-3	5	NULL
real	AL	126	8	-15	   -3.00	0	    1.00	1	4	  522.37	-6	7	NULL
real	AR	127	8	-15	   -2.00	1	   -1.00	0	4	  717.01	-6	7	NULL
real	DL	128	8	15	    3.00	1	   -1.00	0	3	  520.74	-6	5	NULL
real	BR	129	9	-15	   -5.00	0	    1.00	0	3	  569.68	-6	5	NULL
real	BL	130	9	-15	   -4.00	0	    1.00	1	4	  518.60	-6	5	NULL
