TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	DR	1	1	15	   20.00	1	   -8.00	0	0	 1392.11	-6	5	NULL
real	DL	2	1	15	  -20.00	0	    8.00	0	0	 1002.70	-6	5	NULL
real	AR	3	1	-15	   20.00	1	   -8.00	0	0	  780.73	-6	7	NULL
real	CL	4	1	15	  -20.00	0	    8.00	0	0	  604.71	-6	7	NULL
real	HR	5	1	15	   20.00	1	   -8.00	0	0	  588.60	-3	5	NULL
real	GL	6	1	15	  -20.00	0	    8.00	0	0	  617.01	-3	7	NULL
real	CR	7	1	15	   20.00	1	   -8.00	0	0	  531.52	-6	7	NULL
real	BR	8	1	-15	   20.00	1	   -8.00	0	0	  461.96	-6	5	NULL
real	ER	9	1	-15	   20.00	1	   -8.00	0	0	  824.47	-3	7	NULL
real	EL	10	1	-15	  -20.00	0	    8.00	0	0	  478.75	-3	7	NULL
real	HL	11	1	15	  -20.00	0	    8.00	0	0	  588.20	-3	5	NULL
real	BL	12	1	-15	  -20.00	0	    8.00	0	0	  786.10	-6	5	NULL
real	FR	13	1	-15	   20.00	1	   -8.00	0	0	  405.12	-3	5	NULL
real	GR	14	1	15	   20.00	1	   -8.00	0	0	  463.62	-3	7	NULL
real	AL	15	1	-15	  -20.00	0	    8.00	0	0	  506.22	-6	7	NULL
real	FL	16	1	-15	  -20.00	0	    8.00	0	0	  680.22	-3	5	NULL
real	CR	17	2	15	   12.00	1	   -8.00	0	0	  721.47	-6	7	NULL
real	DL	18	2	15	  -12.00	0	    8.00	0	0	  568.65	-6	5	NULL
real	AR	19	2	-15	   12.00	1	   -8.00	0	0	  431.72	-6	7	NULL
real	HR	20	2	15	   12.00	1	   -8.00	0	0	  425.16	-3	5	NULL
real	BL	21	2	-15	  -12.00	0	    8.00	0	0	  661.63	-6	5	NULL
real	HL	22	2	15	  -12.00	0	    8.00	0	0	  627.97	-3	5	NULL
real	EL	23	2	-15	  -12.00	0	    8.00	0	0	  589.93	-3	7	NULL
real	DR	24	2	15	   12.00	1	   -8.00	0	0	  404.61	-6	5	NULL
real	FR	25	2	-15	   12.00	1	   -8.00	0	0	  607.91	-3	5	NULL
real	FL	26	2	-15	  -12.00	0	    8.00	0	0	  780.30	-3	5	NULL
real	GR	27	2	15	   12.00	1	   -8.00	0	0	  483.62	-3	7	NULL
real	AL	28	2	-15	  -12.00	0	    8.00	0	0	  674.57	-6	7	NULL
real	ER	29	2	-15	   12.00	1	   -8.00	0	0	  536.43	-3	7	NULL
real	BR	30	2	-15	   12.00	1	   -8.00	0	0	  587.19	-6	5	NULL
real	GL	31	2	15	  -12.00	0	    8.00	0	0	  481.82	-3	7	NULL
real	CL	32	2	15	  -12.00	0	    8.00	0	0	  538.09	-6	7	NULL
real	HR	33	3	15	    4.00	1	   -8.00	0	0	  477.74	-3	5	NULL
real	ER	34	3	-15	    4.00	1	   -8.00	0	0	  564.11	-3	7	NULL
real	HL	35	3	15	   -4.00	0	    8.00	0	0	 1545.49	-3	5	NULL
real	FL	36	3	-15	   -4.00	1	   -4.00	1	1	 1213.12	-3	5	NULL
real	FR	37	3	-15	    4.00	1	   -8.00	0	0	  792.07	-3	5	NULL
real	GR	38	3	15	    4.00	1	   -8.00	0	0	  651.26	-3	7	NULL
real	CR	39	3	15	    4.00	1	   -8.00	0	0	  551.73	-6	7	NULL
real	GL	40	3	15	   -4.00	0	    8.00	0	0	  788.28	-3	7	NULL
real	DR	41	3	15	    4.00	1	   -8.00	0	0	  633.90	-6	5	NULL
real	CL	42	3	15	   -4.00	0	    8.00	0	0	  662.57	-6	7	NULL
real	DL	43	3	15	   -4.00	0	    8.00	0	0	  615.28	-6	5	NULL
real	AR	44	3	-15	    4.00	1	   -8.00	0	0	  446.41	-6	7	NULL
real	BR	45	3	-15	    4.00	1	   -8.00	0	0	  481.98	-6	5	NULL
real	EL	46	3	-15	   -4.00	0	    8.00	0	0	 1417.39	-3	7	NULL
real	AL	47	3	-15	   -4.00	0	    8.00	0	0	  781.22	-6	7	NULL
real	BL	48	3	-15	   -4.00	0	    8.00	0	0	  992.42	-6	5	NULL
real	FL	49	4	-15	   -8.00	0	    2.00	1	2	  694.18	-3	5	NULL
real	DR	50	4	15	   -4.00	0	    4.00	1	1	  722.65	-6	5	NULL
real	AL	51	4	-15	    4.00	1	   -4.00	1	1	  463.33	-6	7	NULL
real	CR	52	4	15	   -4.00	0	    4.00	1	1	  614.32	-6	7	NULL
real	BL	53	4	-15	    4.00	1	   -4.00	1	1	  522.81	-6	5	NULL
real	BR	54	4	-15	   -4.00	0	    4.00	1	1	  764.26	-6	5	NULL
real	HR	55	4	15	   -4.00	0	    4.00	1	1	  576.48	-3	5	NULL
real	AR	56	4	-15	   -4.00	0	    4.00	1	1	  684.93	-6	7	NULL
real	CL	57	4	15	    4.00	1	   -4.00	1	1	  482.38	-6	7	NULL
real	FR	58	4	-15	   -4.00	1	   -8.00	0	0	 1429.01	-3	5	NULL
real	EL	59	4	-15	    4.00	1	   -4.00	1	1	  631.41	-3	7	NULL
real	GR	60	4	15	   -4.00	0	    4.00	1	1	  594.39	-3	7	NULL
real	DL	61	4	15	    4.00	1	   -4.00	1	1	  733.17	-6	5	NULL
real	HL	62	4	15	    4.00	1	   -4.00	1	1	  445.47	-3	5	NULL
real	GL	63	4	15	    4.00	1	   -4.00	1	1	  562.82	-3	7	NULL
real	ER	64	4	-15	   -4.00	0	    4.00	1	1	  955.55	-3	7	NULL
real	HR	65	5	15	    0.00	1	   -2.00	1	2	 1306.76	-3	5	NULL
real	ER	66	5	-15	    0.00	1	   -2.00	1	2	  755.07	-3	7	NULL
real	BR	67	5	-15	    0.00	1	   -2.00	1	2	 1052.54	-6	5	NULL
real	AL	68	5	-15	    0.00	1	   -4.00	0	1	 1196.62	-6	7	NULL
real	FL	69	5	-15	   -6.00	1	   -1.00	1	3	 2598.29	-3	5	NULL
real	CR	70	5	15	    0.00	1	   -2.00	1	2	 1328.66	-6	7	NULL
real	DR	71	5	15	    0.00	1	   -2.00	1	2	 3027.82	-6	5	NULL
real	CL	72	5	15	    0.00	1	   -4.00	0	1	  711.73	-6	7	NULL
real	BL	73	5	-15	    0.00	1	   -4.00	0	1	 1808.36	-6	5	NULL
real	EL	74	5	-15	    0.00	1	   -4.00	0	1	  721.98	-3	7	NULL
real	HL	75	5	15	    0.00	1	   -4.00	0	1	 5952.85	-3	5	NULL
real	AR	76	5	-15	    0.00	1	   -2.00	1	2	  632.41	-6	7	NULL
real	FR	77	5	-15	  -12.00	0	    4.00	1	1	 2418.61	-3	5	NULL
real	DL	78	5	15	    0.00	1	   -4.00	0	1	  571.65	-6	5	NULL
real	GR	79	5	15	    0.00	0	    4.00	0	1	 1890.21	-3	7	NULL
real	GL	80	5	15	    0.00	0	    2.00	1	2	 2877.63	-3	7	NULL
real	BL	81	6	-15	   -4.00	0	    2.00	1	2	 1692.90	-6	5	NULL
real	ER	82	6	-15	   -2.00	1	   -2.00	0	2	 1850.24	-3	7	NULL
real	BR	83	6	-15	   -2.00	1	   -2.00	0	2	 2195.02	-6	5	NULL
real	GR	84	6	15	    4.00	1	   -2.00	1	2	 2696.25	-3	7	NULL
real	FL	85	6	-15	   -7.00	0	    1.00	1	4	 3410.72	-3	5	NULL
real	DL	86	6	15	   -4.00	0	    2.00	1	2	 1862.02	-6	5	NULL
real	CL	87	6	15	   -4.00	0	    2.00	1	2	 2246.59	-6	7	NULL
real	CR	88	6	15	   -2.00	0	    1.00	1	3	 3964.81	-6	7	NULL
real	HL	89	6	15	   -4.00	0	    2.00	1	2	 1237.52	-3	5	NULL
real	FR	90	6	-15	   -8.00	0	    4.00	0	1	 1486.84	-3	5	NULL
real	AR	91	6	-15	   -2.00	1	   -2.00	0	2	 1254.11	-6	7	NULL
real	EL	92	6	-15	   -4.00	1	   -4.00	0	1	 1588.98	-3	7	NULL
real	DR	93	6	15	   -2.00	0	    1.00	1	3	 3374.91	-6	5	NULL
real	GL	94	6	15	    2.00	1	   -1.00	1	3	 3327.27	-3	7	NULL
real	AL	95	6	-15	   -4.00	1	   -4.00	0	1	 1623.62	-6	7	NULL
real	HR	96	6	15	   -2.00	0	    1.00	1	3	 3521.93	-3	5	NULL
real	DR	97	7	15	   -1.00	0	    1.00	0	3	 5036.03	-6	5	NULL
real	DL	98	7	15	   -2.00	0	    2.00	0	2	 1501.27	-6	5	NULL
real	FR	99	7	-15	   -4.00	0	    4.00	0	1	 3352.90	-3	5	NULL
real	CR	100	7	15	   -1.00	0	    1.00	0	3	 1146.23	-6	7	NULL
real	BL	101	7	-15	   -2.00	1	   -1.00	1	3	 3579.23	-6	5	NULL
real	FL	102	7	-15	   -6.00	0	    1.00	0	4	 2115.14	-3	5	NULL
real	HL	103	7	15	   -2.00	0	    2.00	0	2	 1979.83	-3	5	NULL
real	HR	104	7	15	   -1.00	0	    1.00	0	3	 1169.85	-3	5	NULL
real	AR	105	7	-15	   -4.00	0	    1.00	1	3	 2537.35	-6	7	NULL
real	CL	106	7	15	   -2.00	0	    2.00	0	2	 1319.97	-6	7	NULL
real	ER	107	7	-15	   -4.00	0	    1.00	1	3	 2912.56	-3	7	NULL
real	EL	108	7	-15	   -8.00	0	    2.00	1	2	 1283.42	-3	7	NULL
real	GR	109	7	15	    2.00	1	   -2.00	0	2	 1306.91	-3	7	NULL
real	GL	110	7	15	    1.00	1	   -1.00	0	3	  705.86	-3	7	NULL
real	AL	111	7	-15	   -8.00	0	    2.00	1	2	 2006.36	-6	7	NULL
real	BR	112	7	-15	   -4.00	0	    1.00	1	3	 1110.63	-6	5	NULL
