TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	GR	1	1	15	   20.00	1	   -8.00	0	0	 6567.01	-3	7	NULL
real	HR	2	1	15	   20.00	1	   -8.00	0	0	 1771.41	-3	5	NULL
real	FR	3	1	-15	   20.00	1	   -8.00	0	0	  898.79	-3	5	NULL
real	FL	4	1	-15	  -20.00	0	    8.00	0	0	 1278.67	-3	5	NULL
real	HL	5	1	15	  -20.00	0	    8.00	0	0	  913.24	-3	5	NULL
real	ER	6	1	-15	   20.00	1	   -8.00	0	0	  918.25	-3	7	NULL
real	BL	7	1	-15	  -20.00	0	    8.00	0	0	  959.26	-6	5	NULL
real	DR	8	1	15	   20.00	1	   -8.00	0	0	  852.32	-6	5	NULL
real	EL	9	1	-15	  -20.00	0	    8.00	0	0	  915.10	-3	7	NULL
real	DL	10	1	15	  -20.00	0	    8.00	0	0	 1124.94	-6	5	NULL
real	CL	11	1	15	  -20.00	0	    8.00	0	0	 1049.72	-6	7	NULL
real	AR	12	1	-15	   20.00	1	   -8.00	0	0	  951.21	-6	7	NULL
real	AL	13	1	-15	  -20.00	0	    8.00	0	0	  917.89	-6	7	NULL
real	CR	14	1	15	   20.00	1	   -8.00	0	0	  785.24	-6	7	NULL
real	BR	15	1	-15	   20.00	1	   -8.00	0	0	  769.73	-6	5	NULL
real	GL	16	1	15	  -20.00	0	    8.00	0	0	  741.61	-3	7	NULL
real	FR	17	2	-15	   12.00	1	   -8.00	0	0	  780.66	-3	5	NULL
real	EL	18	2	-15	  -12.00	0	    8.00	0	0	 1891.14	-3	7	NULL
real	DL	19	2	15	  -12.00	0	    8.00	0	0	 1246.75	-6	5	NULL
real	GR	20	2	15	   12.00	1	   -8.00	0	0	  828.02	-3	7	NULL
real	FL	21	2	-15	  -12.00	0	    8.00	0	0	 1454.13	-3	5	NULL
real	BL	22	2	-15	  -12.00	0	    8.00	0	0	  928.82	-6	5	NULL
real	DR	23	2	15	   12.00	1	   -8.00	0	0	  896.38	-6	5	NULL
real	BR	24	2	-15	   12.00	1	   -8.00	0	0	  619.53	-6	5	NULL
real	HR	25	2	15	   12.00	1	   -8.00	0	0	  596.77	-3	5	NULL
real	ER	26	2	-15	   12.00	1	   -8.00	0	0	  650.12	-3	7	NULL
real	CR	27	2	15	   12.00	1	   -8.00	0	0	  794.98	-6	7	NULL
real	GL	28	2	15	  -12.00	0	    8.00	0	0	  878.85	-3	7	NULL
real	AL	29	2	-15	  -12.00	0	    8.00	0	0	 1117.25	-6	7	NULL
real	CL	30	2	15	  -12.00	0	    8.00	0	0	  601.77	-6	7	NULL
real	AR	31	2	-15	   12.00	1	   -8.00	0	0	  611.56	-6	7	NULL
real	HL	32	2	15	  -12.00	0	    8.00	0	0	  691.42	-3	5	NULL
real	CR	33	3	15	    4.00	1	   -8.00	0	0	 1454.06	-6	7	NULL
