TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	GR	1	1	15	   20.00	0	    8.00	0	0	 8909.27	-3	7	NULL
real	HL	2	1	15	  -20.00	1	   -8.00	0	0	  641.64	-3	5	NULL
real	AL	3	1	-15	  -20.00	1	   -8.00	0	0	  421.14	-6	7	NULL
real	DL	4	1	15	  -20.00	0	    8.00	0	0	  445.98	-6	5	NULL
real	GL	5	1	15	  -20.00	0	    8.00	0	0	  477.23	-3	7	NULL
real	BL	6	1	-15	  -20.00	0	    8.00	0	0	  447.83	-6	5	NULL
real	DR	7	1	15	   20.00	1	   -8.00	0	0	  544.58	-6	5	NULL
real	BR	8	1	-15	   20.00	1	   -8.00	0	0	  448.65	-6	5	NULL
real	FR	9	1	-15	   20.00	1	   -8.00	0	0	  422.25	-3	5	NULL
real	FL	10	1	-15	  -20.00	0	    8.00	0	0	  550.25	-3	5	NULL
real	HR	11	1	15	   20.00	1	   -8.00	0	0	  459.28	-3	5	NULL
real	AR	12	1	-15	   20.00	1	   -8.00	0	0	  461.59	-6	7	NULL
real	CL	13	1	15	  -20.00	0	    8.00	0	0	  427.79	-6	7	NULL
real	EL	14	1	-15	  -20.00	0	    8.00	0	0	  613.46	-3	7	NULL
real	CR	15	1	15	   20.00	1	   -8.00	0	0	  648.45	-6	7	NULL
real	ER	16	1	-15	   20.00	1	   -8.00	0	0	  518.48	-3	7	NULL
real	DL	17	2	15	  -12.00	0	    8.00	0	0	  578.80	-6	5	NULL
real	AR	18	2	-15	   12.00	1	   -8.00	0	0	  487.78	-6	7	NULL
real	ER	19	2	-15	   12.00	1	   -8.00	0	0	  599.11	-3	7	NULL
real	BL	20	2	-15	  -12.00	1	   -4.00	1	1	  568.65	-6	5	NULL
real	FL	21	2	-15	  -12.00	0	    8.00	0	0	  549.62	-3	5	NULL
real	EL	22	2	-15	  -12.00	0	    8.00	0	0	  577.98	-3	7	NULL
real	AL	23	2	-15	-20	0	    4.00	1	1	  562.30	-6	7	NULL
real	GR	24	2	15	20	1	   -4.00	1	1	  455.49	-3	7	NULL
real	CL	25	2	15	  -12.00	0	    8.00	0	0	  403.25	-6	7	NULL
real	CR	26	2	15	   12.00	1	   -8.00	0	0	  484.57	-6	7	NULL
real	HR	27	2	15	   12.00	0	    4.00	1	1	  598.22	-3	5	NULL
real	GL	28	2	15	  -12.00	0	    8.00	0	0	  532.86	-3	7	NULL
real	DR	29	2	15	   12.00	1	   -8.00	0	0	  765.33	-6	5	NULL
real	HL	30	2	15	-20	0	    4.00	1	1	  455.85	-3	5	NULL
real	FR	31	2	-15	   12.00	1	   -8.00	0	0	  527.80	-3	5	NULL
real	BR	32	2	-15	   12.00	1	   -8.00	0	0	  474.94	-6	5	NULL
real	EL	33	3	-15	   -4.00	0	    8.00	0	0	 3303.82	-3	7	NULL
real	ER	34	3	-15	    4.00	1	   -8.00	0	0	  812.29	-3	7	NULL
real	AR	35	3	-15	    4.00	1	   -8.00	0	0	  662.60	-6	7	NULL
real	DL	36	3	15	   -4.00	0	    8.00	0	0	  621.39	-6	5	NULL
real	GL	37	3	15	   -4.00	0	    8.00	0	0	  326.69	-3	7	NULL
real	BL	38	3	-15	  -16.00	0	    2.00	1	2	  632.69	-6	5	NULL
