TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	HR	1	1	15	   20.00	1	   -8.00	0	0	 1837.04	-3	5	NULL
real	GL	2	1	15	  -20.00	0	    8.00	0	0	  650.34	-3	7	NULL
real	ER	3	1	-15	   20.00	1	   -8.00	0	0	  627.41	-3	7	NULL
real	GR	4	1	15	   20.00	1	   -8.00	0	0	  582.91	-3	7	NULL
real	AL	5	1	-15	  -20.00	0	    8.00	0	0	  531.84	-6	7	NULL
real	EL	6	1	-15	  -20.00	0	    8.00	0	0	  697.95	-3	7	NULL
real	FL	7	1	-15	  -20.00	0	    8.00	0	0	  583.87	-3	5	NULL
real	DR	8	1	15	   20.00	1	   -8.00	0	0	  760.57	-6	5	NULL
real	DL	9	1	15	  -20.00	0	    8.00	0	0	  693.59	-6	5	NULL
real	CR	10	1	15	   20.00	1	   -8.00	0	0	  625.88	-6	7	NULL
real	FR	11	1	-15	   20.00	1	   -8.00	0	0	  665.06	-3	5	NULL
real	AR	12	1	-15	   20.00	1	   -8.00	0	0	  466.78	-6	7	NULL
real	CL	13	1	15	  -20.00	0	    8.00	0	0	  448.21	-6	7	NULL
real	BR	14	1	-15	   20.00	1	   -8.00	0	0	  464.94	-6	5	NULL
real	HL	15	1	15	  -20.00	0	    8.00	0	0	  379.42	-3	5	NULL
real	BL	16	1	-15	  -20.00	0	    8.00	0	0	  362.10	-6	5	NULL
real	GR	17	2	15	   12.00	1	   -8.00	0	0	  368.76	-3	7	NULL
real	DR	18	2	15	   12.00	1	   -8.00	0	0	  549.59	-6	5	NULL
real	DL	19	2	15	  -12.00	0	    8.00	0	0	  418.77	-6	5	NULL
real	ER	20	2	-15	   12.00	1	   -8.00	0	0	  382.04	-3	7	NULL
real	BL	21	2	-15	  -12.00	0	    8.00	0	0	  424.74	-6	5	NULL
real	FR	22	2	-15	   12.00	1	   -8.00	0	0	  415.99	-3	5	NULL
real	AR	23	2	-15	   12.00	1	   -8.00	0	0	  431.78	-6	7	NULL
real	AL	24	2	-15	  -12.00	0	    8.00	0	0	  402.11	-6	7	NULL
real	EL	25	2	-15	  -12.00	0	    8.00	0	0	  453.45	-3	7	NULL
real	HL	26	2	15	  -12.00	0	    8.00	0	0	  411.86	-3	5	NULL
real	CR	27	2	15	   12.00	1	   -8.00	0	0	  406.66	-6	7	NULL
real	BR	28	2	-15	   12.00	1	   -8.00	0	0	  438.76	-6	5	NULL
real	HR	29	2	15	   12.00	1	   -8.00	0	0	  470.83	-3	5	NULL
real	FL	30	2	-15	  -12.00	0	    8.00	0	0	  377.33	-3	5	NULL
real	GL	31	2	15	  -12.00	0	    8.00	0	0	  462.42	-3	7	NULL
real	CL	32	2	15	  -12.00	0	    8.00	0	0	  381.84	-6	7	NULL
real	BL	33	3	-15	   -4.00	0	    8.00	0	0	  736.65	-6	5	NULL
real	DL	34	3	15	   -4.00	0	    8.00	0	0	  707.87	-6	5	NULL
real	HL	35	3	15	   -4.00	0	    8.00	0	0	  476.45	-3	5	NULL
real	EL	36	3	-15	   -4.00	0	    8.00	0	0	  812.53	-3	7	NULL
real	CL	37	3	15	   -4.00	0	    8.00	0	0	  630.72	-6	7	NULL
real	HR	38	3	15	    4.00	1	   -8.00	0	0	  722.24	-3	5	NULL
real	GR	39	3	15	    4.00	1	   -8.00	0	0	  630.85	-3	7	NULL
real	ER	40	3	-15	    4.00	1	   -8.00	0	0	  523.44	-3	7	NULL
real	BR	41	3	-15	    4.00	1	   -8.00	0	0	  461.15	-6	5	NULL
real	DR	42	3	15	    4.00	1	   -8.00	0	0	  389.31	-6	5	NULL
real	AL	43	3	-15	   -4.00	0	    8.00	0	0	  429.08	-6	7	NULL
real	CR	44	3	15	    4.00	1	   -8.00	0	0	  430.27	-6	7	NULL
real	AR	45	3	-15	    4.00	1	   -8.00	0	0	  393.09	-6	7	NULL
real	FR	46	3	-15	    4.00	1	   -8.00	0	0	  406.07	-3	5	NULL
real	GL	47	3	15	   -4.00	0	    8.00	0	0	  378.31	-3	7	NULL
real	FL	48	3	-15	   -4.00	0	    8.00	0	0	  435.50	-3	5	NULL
real	BR	49	4	-15	   -4.00	0	    4.00	1	1	  406.39	-6	5	NULL
real	FL	50	4	-15	    4.00	1	   -4.00	1	1	  459.34	-3	5	NULL
real	HR	51	4	15	   -4.00	0	    4.00	1	1	  426.73	-3	5	NULL
real	AL	52	4	-15	    4.00	1	   -4.00	1	1	  411.49	-6	7	NULL
real	DL	53	4	15	    4.00	1	   -4.00	1	1	  438.84	-6	5	NULL
real	CR	54	4	15	   -4.00	0	    4.00	1	1	  349.40	-6	7	NULL
real	GR	55	4	15	   -4.00	0	    4.00	1	1	  366.81	-3	7	NULL
real	CL	56	4	15	    4.00	1	   -4.00	1	1	  382.54	-6	7	NULL
real	AR	57	4	-15	   -4.00	0	    4.00	1	1	  539.38	-6	7	NULL
real	HL	58	4	15	    4.00	1	   -4.00	1	1	  435.09	-3	5	NULL
real	BL	59	4	-15	    4.00	1	   -4.00	1	1	  375.76	-6	5	NULL
real	EL	60	4	-15	    4.00	1	   -4.00	1	1	  348.76	-3	7	NULL
real	DR	61	4	15	   -4.00	0	    4.00	1	1	  427.12	-6	5	NULL
real	FR	62	4	-15	   -4.00	0	    4.00	1	1	  454.13	-3	5	NULL
real	GL	63	4	15	    4.00	1	   -4.00	1	1	  429.05	-3	7	NULL
real	ER	64	4	-15	   -4.00	0	    4.00	1	1	  468.10	-3	7	NULL
real	GR	65	5	15	    0.00	0	    4.00	0	1	  698.62	-3	7	NULL
real	DR	66	5	15	    0.00	0	    4.00	0	1	 1229.88	-6	5	NULL
real	BR	67	5	-15	    0.00	1	   -2.00	1	2	  683.94	-6	5	NULL
real	DL	68	5	15	    0.00	0	    2.00	1	2	  988.23	-6	5	NULL
real	HR	69	5	15	    0.00	0	    4.00	0	1	 1021.07	-3	5	NULL
real	CR	70	5	15	    0.00	1	   -2.00	1	2	 1675.43	-6	7	NULL
real	AR	71	5	-15	    0.00	1	   -2.00	1	2	  623.70	-6	7	NULL
real	GL	72	5	15	    0.00	1	   -4.00	0	1	  920.55	-3	7	NULL
real	AL	73	5	-15	    0.00	1	   -4.00	0	1	  822.85	-6	7	NULL
real	BL	74	5	-15	    0.00	1	   -4.00	0	1	  581.17	-6	5	NULL
real	FR	75	5	-15	    0.00	1	   -2.00	1	2	  508.57	-3	5	NULL
real	ER	76	5	-15	    0.00	1	   -2.00	1	2	  628.74	-3	7	NULL
real	HL	77	5	15	    0.00	0	    2.00	1	2	  670.82	-3	5	NULL
real	FL	78	5	-15	    0.00	1	   -4.00	0	1	  576.04	-3	5	NULL
real	EL	79	5	-15	    0.00	1	   -4.00	0	1	  466.42	-3	7	NULL
real	CL	80	5	15	    0.00	1	   -4.00	0	1	  595.94	-6	7	NULL
real	BL	81	6	-15	   -4.00	0	    2.00	1	2	  500.00	-6	5	NULL
real	CL	82	6	15	   -4.00	0	    2.00	1	2	  523.08	-6	7	NULL
real	HR	83	6	15	    4.00	1	   -2.00	1	2	  524.19	-3	5	NULL
real	FL	84	6	-15	   -4.00	0	    2.00	1	2	  730.72	-3	5	NULL
real	DR	85	6	15	    4.00	1	   -2.00	1	2	  511.66	-6	5	NULL
real	ER	86	6	-15	   -2.00	0	    1.00	1	3	  542.96	-3	7	NULL
real	GR	87	6	15	    4.00	1	   -2.00	1	2	  418.78	-3	7	NULL
real	GL	88	6	15	   -4.00	0	    2.00	1	2	  440.94	-3	7	NULL
real	BR	89	6	-15	   -2.00	0	    1.00	1	3	  471.25	-6	5	NULL
real	AL	90	6	-15	   -4.00	0	    2.00	1	2	  440.72	-6	7	NULL
real	EL	91	6	-15	   -4.00	0	    2.00	1	2	  552.10	-3	7	NULL
real	AR	92	6	-15	   -2.00	0	    1.00	1	3	  715.14	-6	7	NULL
real	HL	93	6	15	    2.00	1	   -1.00	1	3	  851.43	-3	5	NULL
real	CR	94	6	15	   -2.00	0	    1.00	1	3	  623.95	-6	7	NULL
real	FR	95	6	-15	   -2.00	0	    1.00	1	3	 1003.52	-3	5	NULL
real	DL	96	6	15	    2.00	1	   -1.00	1	3	  511.91	-6	5	NULL
real	GL	97	7	15	   -2.00	0	    2.00	0	2	  510.53	-3	7	NULL
real	EL	98	7	-15	   -2.00	0	    2.00	0	2	  694.30	-3	7	NULL
real	AL	99	7	-15	   -2.00	0	    2.00	0	2	  909.83	-6	7	NULL
real	CL	100	7	15	   -2.00	0	    2.00	0	2	  486.07	-6	7	NULL
real	AR	101	7	-15	   -1.00	1	   -1.00	1	4	  612.93	-6	7	NULL
real	FR	102	7	-15	   -1.00	0	    1.00	0	3	  471.57	-3	5	NULL
real	BR	103	7	-15	   -1.00	0	    1.00	0	3	  546.08	-6	5	NULL
real	GR	104	7	15	    2.00	1	   -2.00	0	2	  752.66	-3	7	NULL
real	DL	105	7	15	    1.00	1	   -1.00	0	3	  730.83	-6	5	NULL
real	BL	106	7	-15	   -2.00	0	    2.00	0	2	  986.10	-6	5	NULL
real	DR	107	7	15	    2.00	1	   -2.00	0	2	  504.50	-6	5	NULL
real	HL	108	7	15	    1.00	1	   -1.00	0	3	  723.40	-3	5	NULL
real	ER	109	7	-15	   -1.00	0	    1.00	0	3	  460.39	-3	7	NULL
real	CR	110	7	15	   -1.00	0	    1.00	0	3	  457.74	-6	7	NULL
real	HR	111	7	15	    2.00	1	   -2.00	0	2	  446.72	-3	5	NULL
real	FL	112	7	-15	   -2.00	0	    2.00	0	2	  554.75	-3	5	NULL
real	CR	113	8	15	    0.00	0	    1.00	0	3	  730.79	-6	7	NULL
real	FL	114	8	-15	    0.00	1	   -1.00	1	3	  526.31	-3	5	NULL
real	HR	115	8	15	    0.00	0	    1.00	1	3	  701.31	-3	5	NULL
real	DR	116	8	15	    0.00	1	   -2.00	0	2	  608.76	-6	5	NULL
real	GL	117	8	15	    0.00	1	   -1.00	1	3	 1211.63	-3	7	NULL
real	DL	118	8	15	    0.00	1	   -1.00	0	3	 1507.25	-6	5	NULL
real	HL	119	8	15	    0.00	0	    1.00	1	4	 2017.65	-3	5	NULL
real	GR	120	8	15	    0.00	0	    1.00	1	3	 1156.59	-3	7	NULL
real	AR	121	8	-15	   -2.00	0	    1.00	1	5	  394.16	-6	7	NULL
real	BL	122	8	-15	    0.00	1	   -1.00	1	3	  493.56	-6	5	NULL
real	AL	123	8	-15	    0.00	1	   -1.00	1	3	  650.28	-6	7	NULL
real	ER	124	8	-15	    0.00	1	   -1.00	1	4	  489.94	-3	7	NULL
real	BR	125	8	-15	    0.00	1	   -1.00	1	4	  702.96	-6	5	NULL
real	EL	126	8	-15	    0.00	0	    2.00	0	2	 1358.53	-3	7	NULL
real	CL	127	8	15	    0.00	0	    2.00	0	2	  552.18	-6	7	NULL
real	FR	128	8	-15	    0.00	1	   -1.00	1	4	  520.84	-3	5	NULL
real	EL	129	9	-15	    2.00	1	   -1.00	1	3	  474.46	-3	7	NULL
real	AL	130	9	-15	   -1.00	0	    1.00	1	4	  565.43	-6	7	NULL
real	CL	131	9	15	    2.00	1	   -1.00	1	3	  379.00	-6	7	NULL
real	GL	132	9	15	   -1.00	0	    1.00	1	4	  495.46	-3	7	NULL
real	FR	133	9	-15	   -1.00	1	   -1.00	0	4	  695.39	-3	5	NULL
real	AR	134	9	-15	   -1.00	1	   -1.00	1	6	  805.83	-6	7	NULL
real	DL	135	9	15	   -1.00	1	   -1.00	0	3	 1394.61	-6	5	NULL
real	CR	136	9	15	    1.00	1	   -1.00	1	4	  526.16	-6	7	NULL
real	FL	137	9	-15	   -1.00	1	   -1.00	0	3	  747.40	-3	5	NULL
real	ER	138	9	-15	   -1.00	1	   -1.00	0	4	  498.03	-3	7	NULL
real	BR	139	9	-15	   -1.00	0	    1.00	1	5	  576.91	-6	5	NULL
real	DR	140	9	15	   -2.00	0	    1.00	1	3	  530.53	-6	5	NULL
real	HR	141	9	15	    1.00	1	   -1.00	1	4	 1030.39	-3	5	NULL
real	GR	142	9	15	    1.00	1	   -1.00	1	4	  643.96	-3	7	NULL
real	BL	143	9	-15	   -1.00	1	   -1.00	0	3	  525.92	-6	5	NULL
real	HL	144	9	15	    1.00	1	   -1.00	1	5	  727.91	-3	5	NULL
real	HR	145	10	15	    0.00	1	   -1.00	0	4	  791.69	-3	5	NULL
real	CL	146	10	15	    1.00	1	   -1.00	0	3	 1068.87	-6	7	NULL
real	ER	147	10	-15	   -2.00	0	    1.00	1	5	  543.62	-3	7	NULL
real	EL	148	10	-15	    1.00	1	   -1.00	0	3	  555.10	-3	7	NULL
real	DL	149	10	15	   -2.00	0	    1.00	1	4	  479.17	-6	5	NULL
real	BL	150	10	-15	   -2.00	0	    1.00	1	4	  585.33	-6	5	NULL
real	DR	151	10	15	   -1.00	0	    1.00	0	3	  496.31	-6	5	NULL
real	GL	152	10	15	    0.00	0	    1.00	0	4	  707.10	-3	7	NULL
real	BR	153	10	-15	    0.00	1	   -1.00	1	6	  566.95	-6	5	NULL
real	FR	154	10	-15	   -2.00	1	   -1.00	0	4	  953.85	-3	5	NULL
real	AL	155	10	-15	    0.00	1	   -1.00	1	5	  543.91	-6	7	NULL
real	GR	156	10	15	    0.00	1	   -1.00	0	4	  879.43	-3	7	NULL
real	FL	157	10	-15	   -2.00	1	   -1.00	0	3	 1236.84	-3	5	NULL
real	HL	158	10	15	    0.00	0	    1.00	1	6	  578.62	-3	5	NULL
real	CR	159	10	15	    0.00	0	    1.00	1	5	 1108.93	-6	7	NULL
real	AR	160	10	-15	   -2.00	1	   -1.00	0	6	 1485.82	-6	7	NULL
real	AL	161	11	-15	   -1.00	0	    1.00	1	6	 1137.08	-6	7	NULL
real	FL	162	11	-15	   -3.00	0	    1.00	1	4	 1171.78	-3	5	NULL
real	GR	163	11	15	   -1.00	0	    1.00	1	5	  903.34	-3	7	NULL
real	FR	164	11	-15	   -3.00	0	    1.00	1	5	  607.23	-3	5	NULL
real	HL	165	11	15	    1.00	1	   -1.00	1	7	 1117.84	-3	5	NULL
real	DR	166	11	15	    0.00	1	   -1.00	1	4	  674.53	-6	5	NULL
real	BL	167	11	-15	   -1.00	1	   -1.00	1	5	  764.21	-6	5	NULL
real	HR	168	11	15	   -1.00	0	    1.00	1	5	  822.18	-3	5	NULL
real	AR	169	11	-15	   -3.00	0	    1.00	1	7	  697.21	-6	7	NULL
real	GL	170	11	15	    1.00	1	   -1.00	1	5	  851.85	-3	7	NULL
real	BR	171	11	-15	   -1.00	0	    1.00	1	7	  798.45	-6	5	NULL
real	ER	172	11	-15	   -1.00	0	    1.00	0	5	  656.59	-3	7	NULL
real	DL	173	11	15	   -1.00	0	    1.00	0	4	  641.36	-6	5	NULL
real	EL	174	11	-15	    0.00	1	   -1.00	0	3	  710.96	-3	7	NULL
real	CR	175	11	15	    1.00	1	   -1.00	1	6	  455.70	-6	7	NULL
real	CL	176	11	15	    0.00	0	    1.00	1	4	  656.58	-6	7	NULL
real	AR	177	12	-15	   -2.00	0	    1.00	0	7	  580.70	-6	7	NULL
real	GR	178	12	15	    0.00	1	   -1.00	1	6	  886.06	-3	7	NULL
real	DL	179	12	15	    0.00	1	   -1.00	1	5	 1394.17	-6	5	NULL
real	AL	180	12	-15	    0.00	1	   -1.00	1	7	  774.09	-6	7	NULL
real	HL	181	12	15	    0.00	0	    1.00	1	8	  439.74	-3	5	NULL
real	CL	182	12	15	    1.00	1	   -1.00	1	5	 1078.39	-6	7	NULL
real	GL	183	12	15	    0.00	0	    1.00	1	6	  622.53	-3	7	NULL
real	FR	184	12	-15	   -2.00	0	    1.00	0	5	  870.87	-3	5	NULL
real	ER	185	12	-15	    0.00	1	   -1.00	1	6	  877.31	-3	7	NULL
real	HR	186	12	15	    0.00	0	    1.00	0	5	  579.14	-3	5	NULL
real	DR	187	12	15	   -1.00	0	    1.00	1	5	  526.82	-6	5	NULL
real	FL	188	12	-15	   -2.00	0	    1.00	0	4	  529.51	-3	5	NULL
real	EL	189	12	-15	   -1.00	0	    1.00	1	4	  907.78	-3	7	NULL
real	BL	190	12	-15	   -2.00	0	    1.00	1	6	  506.41	-6	5	NULL
real	CR	191	12	15	    0.00	0	    1.00	1	7	  821.12	-6	7	NULL
real	BR	192	12	-15	    0.00	1	   -1.00	1	8	  683.30	-6	5	NULL
real	FL	193	13	-15	   -1.00	0	    1.00	0	4	  564.95	-3	5	NULL
real	GL	194	13	15	    1.00	1	   -1.00	1	7	  974.49	-3	7	NULL
real	EL	195	13	-15	    0.00	1	   -1.00	1	5	  655.67	-3	7	NULL
real	DL	196	13	15	   -1.00	0	    1.00	1	6	  583.57	-6	5	NULL
real	AR	197	13	-15	   -1.00	0	    1.00	0	7	 1145.01	-6	7	NULL
real	ER	198	13	-15	   -1.00	0	    1.00	1	7	  599.93	-3	7	NULL
real	BL	199	13	-15	   -1.00	1	   -1.00	1	7	 1197.66	-6	5	NULL
real	CR	200	13	15	    1.00	1	   -1.00	1	8	  747.23	-6	7	NULL
real	AL	201	13	-15	   -1.00	0	    1.00	1	8	  488.81	-6	7	NULL
real	HL	202	13	15	    1.00	0	    1.00	0	8	  631.66	-3	5	NULL
real	GR	203	13	15	   -1.00	0	    1.00	1	7	  542.49	-3	7	NULL
real	DR	204	13	15	    0.00	0	    1.00	0	5	  625.00	-6	5	NULL
real	HR	205	13	15	    1.00	1	   -1.00	1	6	  793.13	-3	5	NULL
real	FR	206	13	-15	   -1.00	0	    1.00	0	5	  695.39	-3	5	NULL
real	CL	207	13	15	    0.00	1	   -1.00	0	5	  773.04	-6	7	NULL
real	BR	208	13	-15	   -1.00	0	    1.00	1	9	  776.06	-6	5	NULL
real	AL	209	14	-15	    0.00	1	   -1.00	1	9	  582.85	-6	7	NULL
real	HR	210	14	15	    0.00	0	    1.00	1	7	  457.58	-3	5	NULL
real	CR	211	14	15	    0.00	0	    1.00	1	9	  573.96	-6	7	NULL
real	DL	212	14	15	    0.00	1	   -1.00	1	7	  944.36	-6	5	NULL
real	EL	213	14	-15	   -1.00	0	    1.00	1	6	  414.59	-3	7	NULL
real	GL	214	14	15	    0.00	0	    1.00	1	8	  493.63	-3	7	NULL
real	BR	215	14	-15	    0.00	1	   -1.00	1	10	  595.61	-6	5	NULL
real	ER	216	14	-15	    0.00	1	   -1.00	1	8	 1849.70	-3	7	NULL
real	GR	217	14	15	    0.00	0	    1.00	0	7	  562.13	-3	7	NULL
real	FR	218	14	-15	    0.00	1	   -1.00	1	6	  759.61	-3	5	NULL
real	DR	219	14	15	    1.00	1	   -1.00	1	6	  652.27	-6	5	NULL
real	BL	220	14	-15	   -2.00	0	    1.00	1	8	  419.22	-6	5	NULL
real	HL	221	14	15	    2.00	1	   -1.00	1	9	  518.48	-3	5	NULL
real	AR	222	14	-15	    0.00	1	   -1.00	1	8	  987.00	-6	7	NULL
real	CL	223	14	15	   -1.00	0	    1.00	1	6	  460.93	-6	7	NULL
real	FL	224	14	-15	    0.00	1	   -1.00	1	5	  474.03	-3	5	NULL
real	EL	225	15	-15	    0.00	1	   -1.00	1	7	  684.63	-3	7	NULL
real	FR	226	15	-15	   -1.00	0	    1.00	1	7	  419.69	-3	5	NULL
real	BL	227	15	-15	   -1.00	0	    1.00	0	8	  752.41	-6	5	NULL
real	AR	228	15	-15	   -1.00	0	    1.00	1	9	 1008.82	-6	7	NULL
real	BR	229	15	-15	   -1.00	1	   -1.00	0	10	 1147.83	-6	5	NULL
real	GL	230	15	15	    1.00	1	   -1.00	1	9	 1051.43	-3	7	NULL
real	HR	231	15	15	    1.00	1	   -1.00	1	8	  755.48	-3	5	NULL
real	HL	232	15	15	    1.00	1	   -1.00	0	9	  718.46	-3	5	NULL
real	DL	233	15	15	   -1.00	0	    1.00	1	8	  610.99	-6	5	NULL
real	GR	234	15	15	    1.00	1	   -1.00	1	8	  854.79	-3	7	NULL
real	DR	235	15	15	    0.00	1	   -1.00	0	6	 1017.45	-6	5	NULL
real	FL	236	15	-15	   -1.00	0	    1.00	1	6	 1036.59	-3	5	NULL
real	CR	237	15	15	    1.00	1	   -1.00	1	10	  821.10	-6	7	NULL
real	AL	238	15	-15	   -1.00	0	    1.00	1	10	  816.45	-6	7	NULL
real	CL	239	15	15	    0.00	1	   -1.00	1	7	 1303.26	-6	7	NULL
real	ER	240	15	-15	   -1.00	0	    1.00	1	9	 1182.64	-3	7	NULL
real	CL	241	16	15	   -1.00	0	    1.00	1	8	 2029.82	-6	7	NULL
real	GR	242	16	15	    0.00	0	    1.00	1	9	 1494.77	-3	7	NULL
real	FR	243	16	-15	    0.00	1	   -1.00	1	8	  550.75	-3	5	NULL
real	BL	244	16	-15	    0.00	0	    1.00	0	8	  993.32	-6	5	NULL
real	GL	245	16	15	    0.00	0	    1.00	1	10	  565.00	-3	7	NULL
real	HL	246	16	15	    0.00	1	   -1.00	0	9	 1191.67	-3	5	NULL
real	ER	247	16	-15	    0.00	1	   -1.00	1	10	  622.94	-3	7	NULL
real	CR	248	16	15	    0.00	0	    1.00	1	11	  540.66	-6	7	NULL
real	DR	249	16	15	   -1.00	0	    1.00	1	7	  516.96	-6	5	NULL
real	AR	250	16	-15	    0.00	1	   -1.00	1	10	  676.08	-6	7	NULL
real	DL	251	16	15	    0.00	0	    1.00	0	8	  583.57	-6	5	NULL
real	FL	252	16	-15	    0.00	1	   -1.00	1	7	  521.94	-3	5	NULL
real	BR	253	16	-15	   -2.00	0	    1.00	1	11	  509.42	-6	5	NULL
real	AL	254	16	-15	    0.00	1	   -1.00	1	11	  668.17	-6	7	NULL
real	HR	255	16	15	    0.00	0	    1.00	1	9	  612.00	-3	5	NULL
