TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	FL	1	1	-15	  -20.00	0	    8.00	0	0	 4434.69	-3	5	NULL
real	DL	2	1	15	  -20.00	0	    8.00	0	0	 1080.72	-6	5	NULL
real	GR	3	1	15	   20.00	1	   -8.00	0	0	  646.55	-3	7	NULL
real	AR	4	1	-15	   20.00	1	   -8.00	0	0	  608.29	-6	7	NULL
real	DR	5	1	15	   20.00	1	   -8.00	0	0	  444.49	-6	5	NULL
real	BL	6	1	-15	  -20.00	0	    8.00	0	0	  489.69	-6	5	NULL
real	EL	7	1	-15	  -20.00	0	    8.00	0	0	  558.72	-3	7	NULL
real	CL	8	1	15	  -20.00	0	    8.00	0	0	  537.45	-6	7	NULL
real	ER	9	1	-15	   20.00	1	   -8.00	0	0	  481.28	-3	7	NULL
real	CR	10	1	15	   20.00	1	   -8.00	0	0	  445.95	-6	7	NULL
real	AL	11	1	-15	  -20.00	0	    8.00	0	0	  604.76	-6	7	NULL
real	HL	12	1	15	  -20.00	0	    8.00	0	0	  783.47	-3	5	NULL
real	GL	13	1	15	  -20.00	0	    8.00	0	0	  545.54	-3	7	NULL
real	HR	14	1	15	   20.00	1	   -8.00	0	0	  538.24	-3	5	NULL
real	BR	15	1	-15	   20.00	1	   -8.00	0	0	  535.59	-6	5	NULL
real	FR	16	1	-15	   20.00	1	   -8.00	0	0	  465.68	-3	5	NULL
real	FR	17	2	-15	   12.00	1	   -8.00	0	0	  388.08	-3	5	NULL
real	CL	18	2	15	  -12.00	0	    8.00	0	0	  542.38	-6	7	NULL
real	EL	19	2	-15	  -12.00	0	    8.00	0	0	  445.42	-3	7	NULL
real	AL	20	2	-15	  -12.00	0	    8.00	0	0	  504.89	-6	7	NULL
real	BL	21	2	-15	  -12.00	0	    8.00	0	0	  434.57	-6	5	NULL
real	FL	22	2	-15	  -12.00	0	    8.00	0	0	  420.51	-3	5	NULL
real	BR	23	2	-15	   12.00	1	   -8.00	0	0	  767.11	-6	5	NULL
real	ER	24	2	-15	   12.00	1	   -8.00	0	0	  426.96	-3	7	NULL
real	GR	25	2	15	   12.00	1	   -8.00	0	0	  440.48	-3	7	NULL
real	AR	26	2	-15	   12.00	1	   -8.00	0	0	  418.79	-6	7	NULL
real	HL	27	2	15	  -12.00	0	    8.00	0	0	  440.67	-3	5	NULL
real	DL	28	2	15	  -12.00	0	    8.00	0	0	  520.82	-6	5	NULL
real	DR	29	2	15	   12.00	1	   -8.00	0	0	  439.09	-6	5	NULL
real	GL	30	2	15	  -12.00	0	    8.00	0	0	  423.30	-3	7	NULL
