TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	AR	1	1	-15	   20.00	1	   -8.00	0	0	 1954.17	-6	7	NULL
real	DR	2	1	15	   20.00	1	   -8.00	0	0	 1268.04	-6	5	NULL
real	BR	3	1	-15	   20.00	1	   -8.00	0	0	  902.13	-6	5	NULL
real	CL	4	1	15	  -20.00	0	    8.00	0	0	  800.18	-6	7	NULL
real	ER	5	1	-15	   20.00	1	   -8.00	0	0	  583.13	-3	7	NULL
real	BL	6	1	-15	  -20.00	0	    8.00	0	0	  695.84	-6	5	NULL
real	FR	7	1	-15	   20.00	1	   -8.00	0	0	  488.60	-3	5	NULL
real	HL	8	1	15	  -20.00	0	    8.00	0	0	  617.04	-3	5	NULL
real	HR	9	1	15	   20.00	1	   -8.00	0	0	  707.20	-3	5	NULL
real	FL	10	1	-15	  -20.00	0	    8.00	0	0	  631.66	-3	5	NULL
real	DL	11	1	15	  -20.00	0	    8.00	0	0	  545.30	-6	5	NULL
real	AL	12	1	-15	  -20.00	0	    8.00	0	0	  565.17	-6	7	NULL
real	CR	13	1	15	   20.00	1	   -8.00	0	0	  440.78	-6	7	NULL
real	EL	14	1	-15	  -20.00	0	    8.00	0	0	  564.19	-3	7	NULL
real	GR	15	1	15	   20.00	1	   -8.00	0	0	  464.00	-3	7	NULL
real	GL	16	1	15	  -20.00	0	    8.00	0	0	  575.07	-3	7	NULL
real	DR	17	2	15	   12.00	1	   -8.00	0	0	  568.80	-6	5	NULL
real	HR	18	2	15	   12.00	1	   -8.00	0	0	  583.78	-3	5	NULL
real	BL	19	2	-15	  -12.00	0	    8.00	0	0	  461.30	-6	5	NULL
real	BR	20	2	-15	   12.00	1	   -8.00	0	0	  439.00	-6	5	NULL
real	GL	21	2	15	  -12.00	0	    8.00	0	0	  436.50	-3	7	NULL
real	ER	22	2	-15	   12.00	1	   -8.00	0	0	  371.84	-3	7	NULL
real	HL	23	2	15	  -12.00	0	    8.00	0	0	  552.71	-3	5	NULL
real	GR	24	2	15	   12.00	1	   -8.00	0	0	  440.28	-3	7	NULL
real	EL	25	2	-15	  -12.00	0	    8.00	0	0	  377.26	-3	7	NULL
real	CL	26	2	15	  -12.00	0	    8.00	0	0	  421.88	-6	7	NULL
real	AR	27	2	-15	   12.00	1	   -8.00	0	0	  423.30	-6	7	NULL
real	FR	28	2	-15	   12.00	1	   -8.00	0	0	  468.26	-3	5	NULL
real	FL	29	2	-15	  -12.00	0	    8.00	0	0	  485.74	-3	5	NULL
real	AL	30	2	-15	  -12.00	0	    8.00	0	0	  513.47	-6	7	NULL
real	DL	31	2	15	  -12.00	0	    8.00	0	0	  464.64	-6	5	NULL
real	CR	32	2	15	   12.00	1	   -8.00	0	0	  569.26	-6	7	NULL
real	DL	33	3	15	   -4.00	0	    8.00	0	0	  503.28	-6	5	NULL
real	BL	34	3	-15	   -4.00	0	    8.00	0	0	  447.29	-6	5	NULL
real	FL	35	3	-15	   -4.00	0	    8.00	0	0	 2819.10	-3	5	NULL
real	ER	36	3	-15	    4.00	1	   -8.00	0	0	  599.68	-3	7	NULL
real	AL	37	3	-15	   -4.00	0	    8.00	0	0	  569.71	-6	7	NULL
real	EL	38	3	-15	   -4.00	1	   -4.00	1	1	 1750.15	-3	7	NULL
real	FR	39	3	-15	    4.00	1	   -8.00	0	0	  657.07	-3	5	NULL
real	BR	40	3	-15	    4.00	1	   -8.00	0	0	  454.38	-6	5	NULL
real	HL	41	3	15	   -4.00	0	    8.00	0	0	  470.71	-3	5	NULL
real	GL	42	3	15	   -4.00	0	    8.00	0	0	  560.46	-3	7	NULL
real	CR	43	3	15	    4.00	1	   -8.00	0	0	  486.96	-6	7	NULL
real	AR	44	3	-15	    4.00	1	   -8.00	0	0	  520.70	-6	7	NULL
real	DR	45	3	15	    4.00	1	   -8.00	0	0	  476.85	-6	5	NULL
real	HR	46	3	15	    4.00	0	    4.00	1	1	 1448.33	-3	5	NULL
real	CL	47	3	15	   -4.00	0	    8.00	0	0	  570.96	-6	7	NULL
real	GR	48	3	15	    4.00	0	    4.00	1	1	  882.57	-3	7	NULL
real	DL	49	4	15	    4.00	1	   -4.00	1	1	  786.20	-6	5	NULL
real	BL	50	4	-15	    4.00	1	   -4.00	1	1	  553.36	-6	5	NULL
real	CR	51	4	15	   -4.00	0	    4.00	1	1	  548.22	-6	7	NULL
real	EL	52	4	-15	   -8.00	0	    2.00	1	2	  505.88	-3	7	NULL
real	BR	53	4	-15	   -4.00	0	    4.00	1	1	  490.05	-6	5	NULL
real	FR	54	4	-15	   -4.00	1	   -8.00	0	0	  874.08	-3	5	NULL
real	HL	55	4	15	    4.00	1	   -4.00	1	1	  623.47	-3	5	NULL
real	ER	56	4	-15	   -4.00	0	    4.00	1	1	  842.64	-3	7	NULL
real	DR	57	4	15	   -4.00	0	    4.00	1	1	  522.68	-6	5	NULL
real	GL	58	4	15	    4.00	0	    8.00	0	0	 1895.25	-3	7	NULL
real	AL	59	4	-15	    4.00	1	   -4.00	1	1	  461.13	-6	7	NULL
real	FL	60	4	-15	    4.00	1	   -4.00	1	1	  506.29	-3	5	NULL
real	CL	61	4	15	    4.00	1	   -4.00	1	1	  619.19	-6	7	NULL
real	HR	62	4	15	    8.00	1	   -2.00	1	2	  634.34	-3	5	NULL
real	GR	63	4	15	    8.00	1	   -2.00	1	2	  440.96	-3	7	NULL
real	AR	64	4	-15	   -4.00	0	    4.00	1	1	  609.15	-6	7	NULL
real	FR	65	5	-15	  -12.00	0	    4.00	1	1	  495.09	-3	5	NULL
real	ER	66	5	-15	    0.00	1	   -2.00	1	2	  703.20	-3	7	NULL
real	CL	67	5	15	    0.00	0	    2.00	1	2	  597.39	-6	7	NULL
real	CR	68	5	15	    0.00	0	    4.00	0	1	  549.96	-6	7	NULL
real	FL	69	5	-15	    0.00	0	    2.00	1	2	  469.08	-3	5	NULL
real	DR	70	5	15	    0.00	0	    4.00	0	1	 1211.22	-6	5	NULL
real	EL	71	5	-15	   -6.00	0	    2.00	0	2	  638.60	-3	7	NULL
real	GL	72	5	15	   12.00	1	   -4.00	1	1	  450.10	-3	7	NULL
real	BR	73	5	-15	    0.00	0	    4.00	0	1	  694.38	-6	5	NULL
real	AR	74	5	-15	    0.00	1	   -2.00	1	2	  763.86	-6	7	NULL
real	GR	75	5	15	    6.00	1	   -2.00	0	2	  773.80	-3	7	NULL
real	BL	76	5	-15	    0.00	0	    2.00	1	2	  544.84	-6	5	NULL
real	HR	77	5	15	    6.00	1	   -2.00	0	2	  454.12	-3	5	NULL
real	AL	78	5	-15	    0.00	0	    2.00	1	2	  529.03	-6	7	NULL
real	HL	79	5	15	    0.00	0	    2.00	1	2	  574.26	-3	5	NULL
real	DL	80	5	15	    0.00	0	    2.00	1	2	  558.90	-6	5	NULL
real	DL	81	6	15	    2.00	0	    2.00	0	2	  727.61	-6	5	NULL
real	HL	82	6	15	    2.00	0	    2.00	0	2	  566.30	-3	5	NULL
real	EL	83	6	-15	   -4.00	0	    2.00	0	2	  493.06	-3	7	NULL
real	FL	84	6	-15	    2.00	1	   -1.00	1	3	  540.95	-3	5	NULL
real	BR	85	6	-15	    4.00	1	   -2.00	1	2	  469.67	-6	5	NULL
real	HR	86	6	15	    4.00	0	    1.00	1	3	  556.47	-3	5	NULL
real	FR	87	6	-15	   -8.00	0	    4.00	0	1	  414.57	-3	5	NULL
real	DR	88	6	15	    4.00	1	   -2.00	1	2	  548.54	-6	5	NULL
real	AL	89	6	-15	    2.00	1	   -1.00	1	3	  504.72	-6	7	NULL
real	CL	90	6	15	    2.00	0	    2.00	0	2	  632.57	-6	7	NULL
real	AR	91	6	-15	   -2.00	0	    1.00	1	3	  494.98	-6	7	NULL
real	GL	92	6	15	    8.00	1	   -4.00	0	1	  508.28	-3	7	NULL
real	GR	93	6	15	    4.00	0	    1.00	1	3	  820.19	-3	7	NULL
real	ER	94	6	-15	   -2.00	1	   -2.00	0	2	 1402.17	-3	7	NULL
real	CR	95	6	15	    4.00	1	   -2.00	1	2	  776.98	-6	7	NULL
real	BL	96	6	-15	    2.00	1	   -1.00	1	3	  781.55	-6	5	NULL
real	GL	97	7	15	    4.00	0	    2.00	1	2	  711.62	-3	7	NULL
real	DL	98	7	15	    4.00	1	   -1.00	1	3	  956.67	-6	5	NULL
real	ER	99	7	-15	   -4.00	0	    1.00	1	3	  518.97	-3	7	NULL
