TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	FR	1	1	-15	   20.00	1	   -8.00	0	0	 7905.04	-3	5	NULL
real	BR	2	1	-15	   20.00	1	   -8.00	0	0	  957.85	-6	5	NULL
real	GR	3	1	15	   20.00	1	   -8.00	0	0	  635.49	-3	7	NULL
real	BL	4	1	-15	  -20.00	0	    8.00	0	0	  667.36	-6	5	NULL
real	FL	5	1	-15	  -20.00	0	    8.00	0	0	  864.90	-3	5	NULL
real	AR	6	1	-15	   20.00	1	   -8.00	0	0	  722.70	-6	7	NULL
real	CR	7	1	15	   20.00	1	   -8.00	0	0	  993.50	-6	7	NULL
real	ER	8	1	-15	   20.00	1	   -8.00	0	0	  704.04	-3	7	NULL
real	CL	9	1	15	  -20.00	0	    8.00	0	0	  746.80	-6	7	NULL
real	DL	10	1	15	  -20.00	0	    8.00	0	0	  977.76	-6	5	NULL
real	EL	11	1	-15	  -20.00	0	    8.00	0	0	  707.89	-3	7	NULL
real	AL	12	1	-15	  -20.00	0	    8.00	0	0	  604.27	-6	7	NULL
real	DR	13	1	15	   20.00	1	   -8.00	0	0	  694.13	-6	5	NULL
real	GL	14	1	15	  -20.00	0	    8.00	0	0	  803.62	-3	7	NULL
real	HL	15	1	15	  -20.00	0	    8.00	0	0	  669.10	-3	5	NULL
real	HR	16	1	15	   20.00	1	   -8.00	0	0	  890.74	-3	5	NULL
real	BR	17	2	-15	   12.00	1	   -8.00	0	0	  747.58	-6	5	NULL
real	FR	18	2	-15	   12.00	1	   -8.00	0	0	  650.19	-3	5	NULL
real	ER	19	2	-15	   12.00	1	   -8.00	0	0	  704.53	-3	7	NULL
real	CL	20	2	15	  -12.00	0	    8.00	0	0	  730.79	-6	7	NULL
real	AR	21	2	-15	   12.00	1	   -8.00	0	0	  846.06	-6	7	NULL
real	AL	22	2	-15	  -12.00	0	    8.00	0	0	  897.54	-6	7	NULL
real	DL	23	2	15	  -12.00	0	    8.00	0	0	  717.81	-6	5	NULL
real	EL	24	2	-15	  -12.00	0	    8.00	0	0	  678.42	-3	7	NULL
