TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	HR	1	1	15	   20.00	NULL	    0.00	NULL	NULL	    0.00	-3	5	NULL
real	CL	2	1	15	  -20.00	0	    8.00	0	0	 2174.69	-6	7	NULL
real	FR	3	1	-15	   20.00	1	   -8.00	0	0	  630.76	-3	5	NULL
real	BR	4	1	-15	   20.00	NULL	    0.00	NULL	NULL	  630.76	-6	5	NULL
real	GL	5	1	15	  -20.00	0	    8.00	0	0	  660.73	-3	7	NULL
real	AR	6	1	-15	   20.00	1	   -8.00	0	0	  605.30	-6	7	NULL
real	BL	7	1	-15	  -20.00	0	    8.00	0	0	  574.09	-6	5	NULL
real	GR	8	1	15	   20.00	1	   -8.00	0	0	  512.04	-3	7	NULL
real	HL	9	1	15	  -20.00	0	    8.00	0	0	  580.45	-3	5	NULL
real	DL	10	1	15	  -20.00	0	    8.00	0	0	  544.62	-6	5	NULL
real	CR	11	1	15	   20.00	1	   -8.00	0	0	  527.12	-6	7	NULL
real	FL	12	1	-15	  -20.00	0	    8.00	0	0	  499.04	-3	5	NULL
real	EL	13	1	-15	  -20.00	0	    8.00	0	0	  413.64	-3	7	NULL
real	ER	14	1	-15	   20.00	1	   -8.00	0	0	  467.33	-3	7	NULL
real	DR	15	1	15	   20.00	1	   -8.00	0	0	  512.21	-6	5	NULL
real	AL	16	1	-15	  -20.00	0	    8.00	0	0	  514.67	-6	7	NULL
real	AL	17	2	-15	  -12.00	0	    8.00	0	0	  505.78	-6	7	NULL
real	AR	18	2	-15	   12.00	1	   -8.00	0	0	  548.33	-6	7	NULL
real	HR	19	2	15	   20.00	1	   -8.00	0	0	  711.35	-3	5	NULL
real	GR	20	2	15	   12.00	1	   -8.00	0	0	 1010.56	-3	7	NULL
real	DR	21	2	15	   12.00	1	   -8.00	0	0	  483.56	-6	5	NULL
real	CL	22	2	15	  -12.00	0	    8.00	0	0	  406.51	-6	7	NULL
real	ER	23	2	-15	   12.00	1	   -8.00	0	0	  391.61	-3	7	NULL
real	FL	24	2	-15	  -12.00	0	    8.00	0	0	  414.12	-3	5	NULL
real	EL	25	2	-15	  -12.00	0	    8.00	0	0	  639.12	-3	7	NULL
real	BR	26	2	-15	   20.00	1	   -8.00	0	0	  497.55	-6	5	NULL
real	DL	27	2	15	  -12.00	0	    8.00	0	0	  456.45	-6	5	NULL
real	FR	28	2	-15	   12.00	1	   -8.00	0	0	  558.88	-3	5	NULL
real	GL	29	2	15	  -12.00	0	    8.00	0	0	  656.16	-3	7	NULL
real	BL	30	2	-15	  -12.00	0	    8.00	0	0	  583.20	-6	5	NULL
real	CR	31	2	15	   12.00	1	   -8.00	0	0	  472.25	-6	7	NULL
real	HL	32	2	15	  -12.00	0	    8.00	0	0	  681.27	-3	5	NULL
real	BL	33	3	-15	   -4.00	0	    8.00	0	0	  719.08	-6	5	NULL
real	CL	34	3	15	   -4.00	0	    8.00	0	0	  665.36	-6	7	NULL
real	FR	35	3	-15	    4.00	1	   -8.00	0	0	  651.03	-3	5	NULL
real	CR	36	3	15	    4.00	1	   -8.00	0	0	  738.51	-6	7	NULL
real	HR	37	3	15	   12.00	1	   -8.00	0	0	  480.30	-3	5	NULL
real	AR	38	3	-15	    4.00	1	   -8.00	0	0	  543.46	-6	7	NULL
real	HL	39	3	15	   -4.00	0	    8.00	0	0	  675.86	-3	5	NULL
real	GL	40	3	15	   -4.00	0	    8.00	0	0	  619.79	-3	7	NULL
real	GR	41	3	15	    4.00	0	    4.00	1	1	 1473.20	-3	7	NULL
real	DL	42	3	15	   -4.00	0	    8.00	0	0	  609.20	-6	5	NULL
real	BR	43	3	-15	   12.00	1	   -8.00	0	0	  516.96	-6	5	NULL
real	EL	44	3	-15	   -4.00	0	    8.00	0	0	  881.02	-3	7	NULL
real	FL	45	3	-15	   -4.00	1	   -4.00	1	1	  752.94	-3	5	NULL
real	AL	46	3	-15	   -4.00	0	    8.00	0	0	  829.06	-6	7	NULL
real	ER	47	3	-15	    4.00	1	   -8.00	0	0	 1121.64	-3	7	NULL
real	DR	48	3	15	    4.00	0	    4.00	1	1	  752.00	-6	5	NULL
real	FR	49	4	-15	   -4.00	0	    4.00	1	1	  658.65	-3	5	NULL
real	HL	50	4	15	    4.00	0	    8.00	0	0	  667.54	-3	5	NULL
real	AL	51	4	-15	    4.00	1	   -4.00	1	1	 1100.71	-6	7	NULL
real	BL	52	4	-15	    4.00	1	   -4.00	1	1	  628.51	-6	5	NULL
real	FL	53	4	-15	   -8.00	0	    2.00	1	2	  721.80	-3	5	NULL
real	GR	54	4	15	    8.00	1	   -2.00	1	2	  754.78	-3	7	NULL
real	BR	55	4	-15	    4.00	1	   -8.00	0	0	  586.33	-6	5	NULL
real	CL	56	4	15	    4.00	0	    8.00	0	0	  701.87	-6	7	NULL
real	ER	57	4	-15	   -4.00	0	    4.00	1	1	  716.15	-3	7	NULL
real	GL	58	4	15	    4.00	1	   -4.00	1	1	 1296.55	-3	7	NULL
real	AR	59	4	-15	   -4.00	0	    4.00	1	1	  817.44	-6	7	NULL
real	DL	60	4	15	    4.00	0	    8.00	0	0	  849.48	-6	5	NULL
real	CR	61	4	15	   -4.00	0	    4.00	1	1	  660.83	-6	7	NULL
real	HR	62	4	15	    4.00	0	    4.00	1	1	  750.97	-3	5	NULL
real	EL	63	4	-15	    4.00	1	   -4.00	1	1	  709.19	-3	7	NULL
real	DR	64	4	15	    8.00	1	   -2.00	1	2	  795.48	-6	5	NULL
real	HL	65	5	15	   12.00	1	   -4.00	1	1	  485.66	-3	5	NULL
real	CR	66	5	15	    0.00	0	    4.00	0	1	  535.16	-6	7	NULL
real	DR	67	5	15	    6.00	0	    1.00	1	3	  881.14	-6	5	NULL
real	FL	68	5	-15	   -6.00	0	    2.00	0	2	  502.09	-3	5	NULL
real	BR	69	5	-15	   -4.00	0	    4.00	1	1	  433.84	-6	5	NULL
real	AR	70	5	-15	    0.00	0	    4.00	0	1	  577.61	-6	7	NULL
real	ER	71	5	-15	    0.00	0	    4.00	0	1	 1125.35	-3	7	NULL
real	FR	72	5	-15	    0.00	1	   -2.00	1	2	  604.09	-3	5	NULL
real	GL	73	5	15	    0.00	0	    2.00	1	2	  605.94	-3	7	NULL
real	EL	74	5	-15	    0.00	0	    2.00	1	2	  889.93	-3	7	NULL
real	CL	75	5	15	   12.00	1	   -4.00	1	1	  650.98	-6	7	NULL
real	GR	76	5	15	    6.00	1	   -2.00	0	2	  930.88	-3	7	NULL
real	AL	77	5	-15	    0.00	1	   -4.00	0	1	 1044.91	-6	7	NULL
real	DL	78	5	15	   12.00	1	   -4.00	1	1	  675.61	-6	5	NULL
real	BL	79	5	-15	    0.00	1	   -4.00	0	1	  738.54	-6	5	NULL
real	HR	80	5	15	    8.00	1	   -2.00	1	2	  530.57	-3	5	NULL
real	EL	81	6	-15	    2.00	1	   -1.00	1	3	  597.68	-3	7	NULL
real	DL	82	6	15	    8.00	1	   -4.00	0	1	  469.93	-6	5	NULL
real	HL	83	6	15	    8.00	1	   -4.00	0	1	  531.25	-3	5	NULL
real	DR	84	6	15	    7.00	1	   -1.00	1	4	  503.72	-6	5	NULL
real	GL	85	6	15	    2.00	0	    2.00	0	2	  481.53	-3	7	NULL
real	AR	86	6	-15	    4.00	1	   -2.00	1	2	  917.52	-6	7	NULL
real	FL	87	6	-15	   -4.00	0	    2.00	0	2	  747.87	-3	5	NULL
real	FR	88	6	-15	   -2.00	1	   -2.00	0	2	  768.63	-3	5	NULL
real	GR	89	6	15	    4.00	0	    1.00	1	3	  994.27	-3	7	NULL
real	BL	90	6	-15	   -4.00	0	    2.00	1	2	  788.81	-6	5	NULL
