TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	GL	1	1	15	  -20.00	0	    8.00	0	0	  484.62	-3	7	NULL
real	ER	2	1	-15	   20.00	1	   -8.00	0	0	  396.91	-3	7	NULL
real	CL	3	1	15	  -20.00	0	    8.00	0	0	  469.84	-6	7	NULL
real	FR	4	1	-15	   20.00	1	   -8.00	0	0	  438.76	-3	5	NULL
real	CR	5	1	15	   20.00	1	   -8.00	0	0	  402.38	-6	7	NULL
real	EL	6	1	-15	  -20.00	0	    8.00	0	0	  544.20	-3	7	NULL
real	GR	7	1	15	   20.00	1	   -8.00	0	0	  469.60	-3	7	NULL
real	HR	8	1	15	   20.00	1	   -8.00	0	0	  451.53	-3	5	NULL
real	BL	9	1	-15	  -20.00	0	    8.00	0	0	  495.95	-6	5	NULL
real	DL	10	1	15	  -20.00	0	    8.00	0	0	  604.29	-6	5	NULL
real	AR	11	1	-15	   20.00	1	   -8.00	0	0	  407.94	-6	7	NULL
real	FL	12	1	-15	  -20.00	0	    8.00	0	0	  559.58	-3	5	NULL
real	BR	13	1	-15	   20.00	1	   -8.00	0	0	  445.14	-6	5	NULL
real	HL	14	1	15	  -20.00	0	    8.00	0	0	  609.59	-3	5	NULL
real	DR	15	1	15	   20.00	1	   -8.00	0	0	  489.77	-6	5	NULL
real	AL	16	1	-15	  -20.00	0	    8.00	0	0	  459.43	-6	7	NULL
real	ER	17	2	-15	   12.00	1	   -8.00	0	0	  422.69	-3	7	NULL
real	DL	18	2	15	  -12.00	0	    8.00	0	0	  555.06	-6	5	NULL
real	EL	19	2	-15	  -12.00	0	    8.00	0	0	  600.62	-3	7	NULL
real	FL	20	2	-15	  -12.00	0	    8.00	0	0	  513.13	-3	5	NULL
real	CL	21	2	15	  -12.00	0	    8.00	0	0	  693.50	-6	7	NULL
real	AR	22	2	-15	   12.00	1	   -8.00	0	0	  469.19	-6	7	NULL
real	BL	23	2	-15	  -12.00	0	    8.00	0	0	  513.52	-6	5	NULL
real	GL	24	2	15	  -12.00	0	    8.00	0	0	  521.50	-3	7	NULL
real	HL	25	2	15	  -12.00	0	    8.00	0	0	  564.57	-3	5	NULL
real	FR	26	2	-15	   12.00	1	   -8.00	0	0	  547.82	-3	5	NULL
real	GR	27	2	15	   12.00	1	   -8.00	0	0	  706.98	-3	7	NULL
real	AL	28	2	-15	  -12.00	0	    8.00	0	0	  559.85	-6	7	NULL
real	DR	29	2	15	   12.00	1	   -8.00	0	0	  510.00	-6	5	NULL
real	BR	30	2	-15	   12.00	1	   -8.00	0	0	  488.78	-6	5	NULL
real	CR	31	2	15	   12.00	1	   -8.00	0	0	  362.61	-6	7	NULL
real	HR	32	2	15	   12.00	1	   -8.00	0	0	  454.35	-3	5	NULL
real	HL	33	3	15	   -4.00	0	    8.00	0	0	  626.46	-3	5	NULL
real	DL	34	3	15	   -4.00	0	    8.00	0	0	  611.57	-6	5	NULL
real	HR	35	3	15	    4.00	1	   -8.00	0	0	  558.77	-3	5	NULL
real	GL	36	3	15	   -4.00	0	    8.00	0	0	  472.61	-3	7	NULL
real	GR	37	3	15	    4.00	1	   -8.00	0	0	  446.45	-3	7	NULL
real	ER	38	3	-15	    4.00	1	   -8.00	0	0	  440.83	-3	7	NULL
real	CL	39	3	15	   -4.00	0	    8.00	0	0	  586.34	-6	7	NULL
real	AL	40	3	-15	   -4.00	0	    8.00	0	0	  587.83	-6	7	NULL
real	EL	41	3	-15	   -4.00	0	    8.00	0	0	 1072.43	-3	7	NULL
real	CR	42	3	15	    4.00	1	   -8.00	0	0	  496.66	-6	7	NULL
real	DR	43	3	15	    4.00	1	   -8.00	0	0	  470.42	-6	5	NULL
real	FL	44	3	-15	   -4.00	0	    8.00	0	0	  892.85	-3	5	NULL
real	BR	45	3	-15	    4.00	1	   -8.00	0	0	  636.16	-6	5	NULL
real	BL	46	3	-15	   -4.00	0	    8.00	0	0	  746.12	-6	5	NULL
real	FR	47	3	-15	    4.00	1	   -8.00	0	0	  584.49	-3	5	NULL
real	AR	48	3	-15	    4.00	1	   -8.00	0	0	  453.59	-6	7	NULL
real	DL	49	4	15	    4.00	1	   -4.00	1	1	  578.08	-6	5	NULL
real	HR	50	4	15	   -4.00	0	    4.00	1	1	  530.31	-3	5	NULL
real	CL	51	4	15	    4.00	0	    8.00	0	0	 1467.65	-6	7	NULL
real	GL	52	4	15	    4.00	1	   -4.00	1	1	 1133.46	-3	7	NULL
real	BL	53	4	-15	    4.00	1	   -4.00	1	1	  614.30	-6	5	NULL
real	FL	54	4	-15	    4.00	1	   -4.00	1	1	  606.71	-3	5	NULL
real	EL	55	4	-15	    4.00	1	   -4.00	1	1	  361.62	-3	7	NULL
real	FR	56	4	-15	   -4.00	1	   -8.00	0	0	  791.82	-3	5	NULL
real	CR	57	4	15	   -4.00	0	    4.00	1	1	  556.30	-6	7	NULL
real	BR	58	4	-15	   -4.00	0	    4.00	1	1	  684.34	-6	5	NULL
real	ER	59	4	-15	   -4.00	0	    4.00	1	1	 1083.47	-3	7	NULL
real	AL	60	4	-15	    4.00	1	   -4.00	1	1	  700.97	-6	7	NULL
real	HL	61	4	15	    4.00	1	   -4.00	1	1	  618.32	-3	5	NULL
real	GR	62	4	15	   -4.00	0	    4.00	1	1	  641.80	-3	7	NULL
real	AR	63	4	-15	   -4.00	0	    4.00	1	1	  647.55	-6	7	NULL
real	DR	64	4	15	   -4.00	0	    4.00	1	1	  633.16	-6	5	NULL
real	BL	65	5	-15	    0.00	1	   -4.00	0	1	  617.47	-6	5	NULL
real	HR	66	5	15	    0.00	0	    4.00	0	1	  635.98	-3	5	NULL
real	FR	67	5	-15	  -12.00	0	    4.00	1	1	  526.73	-3	5	NULL
real	GL	68	5	15	    0.00	1	   -4.00	0	1	  465.19	-3	7	NULL
real	CR	69	5	15	    0.00	0	    4.00	0	1	  879.38	-6	7	NULL
real	ER	70	5	-15	    0.00	1	   -2.00	1	2	 1442.09	-3	7	NULL
real	DR	71	5	15	    0.00	0	    4.00	0	1	 1426.58	-6	5	NULL
real	GR	72	5	15	    0.00	0	    4.00	0	1	  778.97	-3	7	NULL
real	AR	73	5	-15	    0.00	1	   -2.00	1	2	  656.81	-6	7	NULL
real	CL	74	5	15	   12.00	1	   -4.00	1	1	  539.60	-6	7	NULL
real	DL	75	5	15	    0.00	1	   -4.00	0	1	 1083.95	-6	5	NULL
real	AL	76	5	-15	    0.00	1	   -4.00	0	1	 1338.88	-6	7	NULL
real	HL	77	5	15	    0.00	0	    2.00	1	2	  811.43	-3	5	NULL
real	FL	78	5	-15	    0.00	1	   -4.00	0	1	  593.64	-3	5	NULL
real	BR	79	5	-15	    0.00	1	   -2.00	1	2	  593.88	-6	5	NULL
real	EL	80	5	-15	    0.00	1	   -4.00	0	1	  764.09	-3	7	NULL
real	HR	81	6	15	    4.00	1	   -2.00	1	2	  691.71	-3	5	NULL
real	HL	82	6	15	    2.00	1	   -1.00	1	3	 2335.04	-3	5	NULL
