TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	CL	1	1	15	  -20.00	0	    8.00	0	0	 8957.79	-6	7	NULL
real	HR	2	1	15	   20.00	1	   -8.00	0	0	  759.49	-3	5	NULL
real	AR	3	1	-15	   20.00	1	   -8.00	0	0	  405.10	-6	7	NULL
real	GL	4	1	15	  -20.00	0	    8.00	0	0	  367.86	-3	7	NULL
real	BR	5	1	-15	   20.00	1	   -8.00	0	0	  427.40	-6	5	NULL
real	GR	6	1	15	   20.00	1	   -8.00	0	0	  392.59	-3	7	NULL
real	ER	7	1	-15	   20.00	1	   -8.00	0	0	  383.39	-3	7	NULL
real	AL	8	1	-15	  -20.00	0	    8.00	0	0	  422.30	-6	7	NULL
real	FR	9	1	-15	   20.00	1	   -8.00	0	0	  408.98	-3	5	NULL
real	DL	10	1	15	  -20.00	0	    8.00	0	0	  473.60	-6	5	NULL
real	HL	11	1	15	  -20.00	0	    8.00	0	0	  527.79	-3	5	NULL
real	FL	12	1	-15	  -20.00	0	    8.00	0	0	  462.19	-3	5	NULL
real	BL	13	1	-15	  -20.00	0	    8.00	0	0	  426.85	-6	5	NULL
real	CR	14	1	15	   20.00	1	   -8.00	0	0	  548.98	-6	7	NULL
real	EL	15	1	-15	  -20.00	0	    8.00	0	0	  451.00	-3	7	NULL
real	DR	16	1	15	   20.00	1	   -8.00	0	0	  421.10	-6	5	NULL
real	EL	17	2	-15	  -12.00	0	    8.00	0	0	  537.47	-3	7	NULL
real	GR	18	2	15	   12.00	1	   -8.00	0	0	  417.88	-3	7	NULL
real	AL	19	2	-15	  -12.00	0	    8.00	0	0	  525.95	-6	7	NULL
real	DL	20	2	15	  -12.00	0	    8.00	0	0	  555.23	-6	5	NULL
real	CR	21	2	15	   12.00	1	   -8.00	0	0	  556.64	-6	7	NULL
real	BR	22	2	-15	   12.00	1	   -8.00	0	0	  421.48	-6	5	NULL
real	HR	23	2	15	   12.00	1	   -8.00	0	0	  377.82	-3	5	NULL
real	CL	24	2	15	  -12.00	0	    8.00	0	0	  373.61	-6	7	NULL
real	AR	25	2	-15	   12.00	1	   -8.00	0	0	  397.34	-6	7	NULL
real	HL	26	2	15	  -12.00	0	    8.00	0	0	  366.86	-3	5	NULL
real	GL	27	2	15	  -12.00	0	    8.00	0	0	  432.39	-3	7	NULL
real	FR	28	2	-15	   12.00	1	   -8.00	0	0	  420.31	-3	5	NULL
real	DR	29	2	15	   12.00	1	   -8.00	0	0	  393.41	-6	5	NULL
real	FL	30	2	-15	  -12.00	0	    8.00	0	0	  316.72	-3	5	NULL
real	ER	31	2	-15	   12.00	1	   -8.00	0	0	  406.93	-3	7	NULL
real	BL	32	2	-15	  -12.00	0	    8.00	0	0	  323.10	-6	5	NULL
real	FL	33	3	-15	   -4.00	0	    8.00	0	0	  466.86	-3	5	NULL
real	ER	34	3	-15	    4.00	1	   -8.00	0	0	  429.78	-3	7	NULL
real	AL	35	3	-15	   -4.00	0	    8.00	0	0	  371.71	-6	7	NULL
real	DR	36	3	15	    4.00	0	    4.00	1	1	  869.10	-6	5	NULL
real	FR	37	3	-15	    4.00	1	   -8.00	0	0	  407.99	-3	5	NULL
real	BR	38	3	-15	    4.00	1	   -8.00	0	0	  426.32	-6	5	NULL
real	EL	39	3	-15	   -4.00	0	    8.00	0	0	  402.15	-3	7	NULL
real	DL	40	3	15	   -4.00	0	    8.00	0	0	  410.37	-6	5	NULL
real	HR	41	3	15	    4.00	0	    4.00	1	1	  654.21	-3	5	NULL
real	HL	42	3	15	   -4.00	0	    8.00	0	0	  420.87	-3	5	NULL
real	CR	43	3	15	    4.00	1	   -8.00	0	0	  384.93	-6	7	NULL
real	GR	44	3	15	    4.00	0	    4.00	1	1	  906.00	-3	7	NULL
real	GL	45	3	15	   -4.00	0	    8.00	0	0	  435.31	-3	7	NULL
real	CL	46	3	15	   -4.00	0	    8.00	0	0	  459.45	-6	7	NULL
real	BL	47	3	-15	   -4.00	0	    8.00	0	0	  444.79	-6	5	NULL
real	AR	48	3	-15	    4.00	1	   -8.00	0	0	  703.40	-6	7	NULL
real	DR	49	4	15	    8.00	1	   -2.00	1	2	  469.04	-6	5	NULL
real	GL	50	4	15	    4.00	0	    8.00	0	0	  822.21	-3	7	NULL
real	BL	51	4	-15	    4.00	1	   -4.00	1	1	  728.46	-6	5	NULL
real	FR	52	4	-15	   -4.00	0	    4.00	1	1	  361.04	-3	5	NULL
real	AL	53	4	-15	    4.00	1	   -4.00	1	1	  463.24	-6	7	NULL
real	GR	54	4	15	    8.00	1	   -2.00	1	2	  395.89	-3	7	NULL
real	ER	55	4	-15	   -4.00	0	    4.00	1	1	  335.74	-3	7	NULL
real	EL	56	4	-15	    4.00	1	   -4.00	1	1	  471.83	-3	7	NULL
real	AR	57	4	-15	   -4.00	0	    4.00	1	1	  347.91	-6	7	NULL
real	FL	58	4	-15	    4.00	1	   -4.00	1	1	  479.72	-3	5	NULL
real	BR	59	4	-15	   -4.00	0	    4.00	1	1	  408.31	-6	5	NULL
real	HR	60	4	15	    8.00	1	   -2.00	1	2	  439.17	-3	5	NULL
real	DL	61	4	15	    4.00	1	   -4.00	1	1	  842.72	-6	5	NULL
real	HL	62	4	15	    4.00	0	    8.00	0	0	  821.09	-3	5	NULL
real	CL	63	4	15	    4.00	1	   -4.00	1	1	  497.16	-6	7	NULL
real	CR	64	4	15	   -4.00	0	    4.00	1	1	  365.98	-6	7	NULL
real	GR	65	5	15	    6.00	1	   -2.00	0	2	  845.22	-3	7	NULL
real	HL	66	5	15	   12.00	1	   -4.00	1	1	  393.27	-3	5	NULL
real	EL	67	5	-15	    0.00	1	   -4.00	0	1	  878.32	-3	7	NULL
real	FR	68	5	-15	    0.00	1	   -2.00	1	2	 1307.55	-3	5	NULL
real	FL	69	5	-15	    0.00	0	    2.00	1	2	 1355.91	-3	5	NULL
real	BL	70	5	-15	    0.00	0	    2.00	1	2	 2284.53	-6	5	NULL
real	AR	71	5	-15	    0.00	0	    4.00	0	1	 1159.88	-6	7	NULL
real	CL	72	5	15	    0.00	0	    2.00	1	2	 2788.34	-6	7	NULL
real	DL	73	5	15	    0.00	0	    2.00	1	2	 1026.24	-6	5	NULL
real	DR	74	5	15	    6.00	1	   -2.00	0	2	  467.58	-6	5	NULL
real	ER	75	5	-15	    0.00	1	   -2.00	1	2	  527.88	-3	7	NULL
real	HR	76	5	15	    6.00	1	   -2.00	0	2	  406.60	-3	5	NULL
real	AL	77	5	-15	    0.00	0	    2.00	1	2	  660.76	-6	7	NULL
real	CR	78	5	15	    0.00	0	    4.00	0	1	  624.66	-6	7	NULL
real	BR	79	5	-15	    0.00	0	    4.00	0	1	  874.79	-6	5	NULL
real	GL	80	5	15	   12.00	1	   -4.00	1	1	  419.62	-3	7	NULL
real	BR	81	6	-15	    4.00	1	   -2.00	1	2	  578.06	-6	5	NULL
real	DL	82	6	15	    2.00	0	    2.00	0	2	 1052.19	-6	5	NULL
real	CR	83	6	15	    4.00	1	   -2.00	1	2	  690.20	-6	7	NULL
real	AL	84	6	-15	    2.00	1	   -1.00	1	3	 1509.82	-6	7	NULL
real	DR	85	6	15	    4.00	1	   -2.00	0	2	  991.14	-6	5	NULL
real	BL	86	6	-15	    2.00	0	    2.00	0	2	  521.04	-6	5	NULL
real	GL	87	6	15	    8.00	1	   -4.00	0	1	  427.93	-3	7	NULL
real	HR	88	6	15	    4.00	0	    1.00	1	3	 1731.96	-3	5	NULL
real	FL	89	6	-15	    2.00	1	   -1.00	1	3	 1227.48	-3	5	NULL
real	GR	90	6	15	    4.00	1	   -2.00	0	2	  618.91	-3	7	NULL
real	FR	91	6	-15	   -2.00	0	    1.00	1	3	  683.39	-3	5	NULL
real	CL	92	6	15	    2.00	0	    2.00	0	2	  464.00	-6	7	NULL
real	AR	93	6	-15	    4.00	1	   -2.00	1	2	  411.88	-6	7	NULL
real	EL	94	6	-15	   -4.00	0	    2.00	1	2	  460.85	-3	7	NULL
real	ER	95	6	-15	   -2.00	0	    1.00	1	3	  640.96	-3	7	NULL
real	HL	96	6	15	    8.00	1	   -4.00	0	1	  766.64	-3	5	NULL
real	GR	97	7	15	    2.00	0	    1.00	1	3	  467.56	-3	7	NULL
real	HR	98	7	15	    5.00	0	    1.00	0	3	 1162.18	-3	5	NULL
real	AL	99	7	-15	    1.00	0	    1.00	1	4	  528.71	-6	7	NULL
real	CL	100	7	15	    4.00	0	    2.00	0	2	  595.80	-6	7	NULL
real	DR	101	7	15	    2.00	0	    1.00	1	3	  635.57	-6	5	NULL
real	FL	102	7	-15	    1.00	1	   -1.00	0	3	  609.23	-3	5	NULL
real	DL	103	7	15	    4.00	0	    2.00	0	2	 1158.49	-6	5	NULL
real	AR	104	7	-15	    2.00	1	   -2.00	0	2	  527.46	-6	7	NULL
real	GL	105	7	15	    4.00	1	   -4.00	0	1	  690.72	-3	7	NULL
real	CR	106	7	15	    2.00	1	   -2.00	0	2	  509.78	-6	7	NULL
real	HL	107	7	15	    4.00	1	   -4.00	0	1	  392.55	-3	5	NULL
real	FR	108	7	-15	   -1.00	0	    1.00	0	3	  597.79	-3	5	NULL
real	ER	109	7	-15	   -1.00	0	    1.00	0	3	  407.06	-3	7	NULL
real	BR	110	7	-15	    2.00	1	   -2.00	0	2	  463.67	-6	5	NULL
real	EL	111	7	-15	   -2.00	1	   -1.00	1	3	 1169.85	-3	7	NULL
real	BL	112	7	-15	    4.00	1	   -1.00	1	3	  354.27	-6	5	NULL
