TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	GR	1	1	15	   20.00	1	   -8.00	0	0	10707.41	-3	7	NULL
real	DR	2	1	15	   20.00	1	   -8.00	0	0	 1087.86	-6	5	NULL
real	BR	3	1	-15	   20.00	1	   -8.00	0	0	  484.14	-6	5	NULL
real	CL	4	1	15	  -20.00	0	    8.00	0	0	  545.63	-6	7	NULL
real	EL	5	1	-15	  -20.00	0	    8.00	0	0	  651.89	-3	7	NULL
real	ER	6	1	-15	   20.00	1	   -8.00	0	0	  657.01	-3	7	NULL
real	DL	7	1	15	  -20.00	0	    8.00	0	0	  607.61	-6	5	NULL
real	CR	8	1	15	   20.00	1	   -8.00	0	0	  468.98	-6	7	NULL
real	AL	9	1	-15	  -20.00	0	    8.00	0	0	  483.63	-6	7	NULL
real	HR	10	1	15	   20.00	1	   -8.00	0	0	  497.31	-3	5	NULL
real	BL	11	1	-15	  -20.00	0	    8.00	0	0	  601.66	-6	5	NULL
real	FR	12	1	-15	   20.00	1	   -8.00	0	0	  442.36	-3	5	NULL
real	HL	13	1	15	  -20.00	0	    8.00	0	0	  716.19	-3	5	NULL
real	GL	14	1	15	  -20.00	0	    8.00	0	0	  512.97	-3	7	NULL
real	AR	15	1	-15	   20.00	1	   -8.00	0	0	  527.17	-6	7	NULL
real	FL	16	1	-15	  -20.00	0	    8.00	0	0	  558.64	-3	5	NULL
real	DL	17	2	15	  -12.00	0	    8.00	0	0	  525.03	-6	5	NULL
real	BR	18	2	-15	   12.00	1	   -8.00	0	0	  729.41	-6	5	NULL
real	CL	19	2	15	  -12.00	0	    8.00	0	0	  648.13	-6	7	NULL
real	AL	20	2	-15	  -12.00	0	    8.00	0	0	  443.19	-6	7	NULL
real	HR	21	2	15	   12.00	1	   -8.00	0	0	  484.18	-3	5	NULL
real	AR	22	2	-15	   12.00	1	   -8.00	0	0	  497.45	-6	7	NULL
real	HL	23	2	15	  -12.00	0	    8.00	0	0	  439.55	-3	5	NULL
real	DR	24	2	15	   12.00	1	   -8.00	0	0	  444.89	-6	5	NULL
real	FR	25	2	-15	   12.00	1	   -8.00	0	0	  444.71	-3	5	NULL
real	BL	26	2	-15	  -12.00	0	    8.00	0	0	  470.71	-6	5	NULL
real	GL	27	2	15	  -12.00	0	    8.00	0	0	  474.09	-3	7	NULL
real	EL	28	2	-15	  -12.00	0	    8.00	0	0	  450.12	-3	7	NULL
real	ER	29	2	-15	   12.00	1	   -8.00	0	0	  428.99	-3	7	NULL
real	FL	30	2	-15	  -12.00	0	    8.00	0	0	  527.54	-3	5	NULL
real	GR	31	2	15	   12.00	1	   -8.00	0	0	  424.49	-3	7	NULL
real	CR	32	2	15	   12.00	1	   -8.00	0	0	  483.97	-6	7	NULL
real	AR	33	3	-15	    4.00	1	   -8.00	0	0	  459.50	-6	7	NULL
real	DL	34	3	15	   -4.00	0	    8.00	0	0	  583.58	-6	5	NULL
real	BL	35	3	-15	   -4.00	0	    8.00	0	0	  683.04	-6	5	NULL
real	ER	36	3	-15	    4.00	1	   -8.00	0	0	  465.99	-3	7	NULL
real	HR	37	3	15	    4.00	1	   -8.00	0	0	  539.36	-3	5	NULL
real	EL	38	3	-15	   -4.00	1	   -4.00	1	1	  607.87	-3	7	NULL
real	HL	39	3	15	   -4.00	0	    8.00	0	0	  532.09	-3	5	NULL
real	GR	40	3	15	    4.00	1	   -8.00	0	0	  565.52	-3	7	NULL
real	DR	41	3	15	    4.00	1	   -8.00	0	0	  458.81	-6	5	NULL
real	CL	42	3	15	   -4.00	0	    8.00	0	0	  654.10	-6	7	NULL
real	FL	43	3	-15	   -4.00	1	   -4.00	1	1	  579.07	-3	5	NULL
real	BR	44	3	-15	    4.00	1	   -8.00	0	0	  503.49	-6	5	NULL
real	GL	45	3	15	   -4.00	0	    8.00	0	0	  530.09	-3	7	NULL
real	AL	46	3	-15	   -4.00	1	   -4.00	1	1	  624.02	-6	7	NULL
real	FR	47	3	-15	    4.00	1	   -8.00	0	0	  624.43	-3	5	NULL
real	CR	48	3	15	    4.00	1	   -8.00	0	0	  499.23	-6	7	NULL
real	GL	49	4	15	    4.00	1	   -4.00	1	1	  449.93	-3	7	NULL
real	CR	50	4	15	   -4.00	0	    4.00	1	1	  558.32	-6	7	NULL
real	FL	51	4	-15	   -8.00	0	    2.00	1	2	  549.16	-3	5	NULL
real	DL	52	4	15	    4.00	1	   -4.00	1	1	  420.33	-6	5	NULL
real	HL	53	4	15	    4.00	1	   -4.00	1	1	  398.35	-3	5	NULL
real	DR	54	4	15	   -4.00	0	    4.00	1	1	  628.98	-6	5	NULL
real	BL	55	4	-15	    4.00	1	   -4.00	1	1	  396.14	-6	5	NULL
real	HR	56	4	15	   -4.00	0	    4.00	1	1	  388.90	-3	5	NULL
real	AL	57	4	-15	   -8.00	0	    2.00	1	2	  460.62	-6	7	NULL
real	FR	58	4	-15	   -4.00	1	   -8.00	0	0	  493.31	-3	5	NULL
real	EL	59	4	-15	   -8.00	0	    2.00	1	2	  511.54	-3	7	NULL
real	CL	60	4	15	    4.00	1	   -4.00	1	1	  390.58	-6	7	NULL
real	BR	61	4	-15	   -4.00	0	    4.00	1	1	  472.80	-6	5	NULL
real	ER	62	4	-15	   -4.00	1	   -8.00	0	0	  689.16	-3	7	NULL
real	GR	63	4	15	   -4.00	0	    4.00	1	1	  448.22	-3	7	NULL
real	AR	64	4	-15	   -4.00	1	   -8.00	0	0	  615.59	-6	7	NULL
real	FR	65	5	-15	  -12.00	0	    4.00	1	1	  648.47	-3	5	NULL
real	DL	66	5	15	    0.00	0	    2.00	1	2	  678.92	-6	5	NULL
