TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	BR	1	1	-15	   20.00	0	    8.00	0	0	 8711.40	-6	5	NULL
real	BL	2	1	-15	  -20.00	0	    8.00	0	0	  768.78	-6	5	NULL
real	AL	3	1	-15	  -20.00	0	    8.00	0	0	  561.63	-6	7	NULL
real	EL	4	1	-15	  -20.00	0	    8.00	0	0	  638.03	-3	7	NULL
real	FR	5	1	-15	   20.00	1	   -8.00	0	0	  479.95	-3	5	NULL
real	GL	6	1	15	  -20.00	0	    8.00	0	0	  512.42	-3	7	NULL
real	HR	7	1	15	   20.00	1	   -8.00	0	0	  582.80	-3	5	NULL
real	AR	8	1	-15	   20.00	1	   -8.00	0	0	  590.33	-6	7	NULL
real	DL	9	1	15	  -20.00	0	    8.00	0	0	  523.76	-6	5	NULL
real	CR	10	1	15	   20.00	1	   -8.00	0	0	 1167.97	-6	7	NULL
real	DR	11	1	15	   20.00	1	   -8.00	0	0	  546.27	-6	5	NULL
real	CL	12	1	15	  -20.00	0	    8.00	0	0	  535.62	-6	7	NULL
real	FL	13	1	-15	  -20.00	0	    8.00	0	0	  571.53	-3	5	NULL
real	GR	14	1	15	   20.00	1	   -8.00	0	0	  632.34	-3	7	NULL
real	HL	15	1	15	  -20.00	0	    8.00	0	0	  576.47	-3	5	NULL
real	ER	16	1	-15	   20.00	1	   -8.00	0	0	  703.02	-3	7	NULL
real	AR	17	2	-15	   12.00	1	   -8.00	0	0	  881.45	-6	7	NULL
real	FL	18	2	-15	  -12.00	0	    8.00	0	0	  555.20	-3	5	NULL
real	CR	19	2	15	   12.00	1	   -8.00	0	0	  570.01	-6	7	NULL
real	AL	20	2	-15	  -12.00	0	    8.00	0	0	  541.41	-6	7	NULL
real	HL	21	2	15	  -12.00	0	    8.00	0	0	  568.24	-3	5	NULL
real	GL	22	2	15	  -12.00	0	    8.00	0	0	  516.58	-3	7	NULL
real	GR	23	2	15	   12.00	1	   -8.00	0	0	  601.08	-3	7	NULL
real	BL	24	2	-15	  -12.00	0	    8.00	0	0	  597.71	-6	5	NULL
real	ER	25	2	-15	   12.00	1	   -8.00	0	0	  498.81	-3	7	NULL
real	EL	26	2	-15	  -12.00	0	    8.00	0	0	  495.78	-3	7	NULL
real	DL	27	2	15	  -12.00	0	    8.00	0	0	 1002.26	-6	5	NULL
