TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	FL	1	1	-15	  -20.00	0	    8.00	0	0	 1177.64	-3	5	NULL
real	AL	2	1	-15	  -20.00	0	    8.00	0	0	  620.36	-6	7	NULL
real	GL	3	1	15	  -20.00	0	    8.00	0	0	  506.23	-3	7	NULL
real	HL	4	1	15	  -20.00	0	    8.00	0	0	  442.33	-3	5	NULL
real	CL	5	1	15	  -20.00	0	    8.00	0	0	  434.24	-6	7	NULL
real	FR	6	1	-15	   20.00	1	   -8.00	0	0	  500.45	-3	5	NULL
real	CR	7	1	15	   20.00	1	   -8.00	0	0	  485.30	-6	7	NULL
real	HR	8	1	15	   20.00	1	   -8.00	0	0	  449.71	-3	5	NULL
real	DL	9	1	15	  -20.00	0	    8.00	0	0	  419.13	-6	5	NULL
real	ER	10	1	-15	   20.00	1	   -8.00	0	0	  406.99	-3	7	NULL
real	BL	11	1	-15	  -20.00	0	    8.00	0	0	  530.16	-6	5	NULL
real	EL	12	1	-15	  -20.00	0	    8.00	0	0	  414.24	-3	7	NULL
real	AR	13	1	-15	   20.00	1	   -8.00	0	0	  464.54	-6	7	NULL
real	BR	14	1	-15	   20.00	1	   -8.00	0	0	  464.31	-6	5	NULL
real	DR	15	1	15	   20.00	1	   -8.00	0	0	  406.82	-6	5	NULL
real	GR	16	1	15	   20.00	1	   -8.00	0	0	  465.83	-3	7	NULL
real	CR	17	2	15	   12.00	1	   -8.00	0	0	  539.18	-6	7	NULL
real	HR	18	2	15	   12.00	1	   -8.00	0	0	  512.83	-3	5	NULL
real	EL	19	2	-15	  -12.00	0	    8.00	0	0	  563.32	-3	7	NULL
real	HL	20	2	15	  -12.00	0	    8.00	0	0	  580.38	-3	5	NULL
real	CL	21	2	15	  -12.00	0	    8.00	0	0	  626.67	-6	7	NULL
real	AR	22	2	-15	   12.00	1	   -8.00	0	0	  687.56	-6	7	NULL
real	BL	23	2	-15	  -12.00	0	    8.00	0	0	  556.72	-6	5	NULL
real	FL	24	2	-15	  -12.00	0	    8.00	0	0	  484.60	-3	5	NULL
real	BR	25	2	-15	   12.00	1	   -8.00	0	0	  576.35	-6	5	NULL
real	DL	26	2	15	  -12.00	0	    8.00	0	0	  517.20	-6	5	NULL
real	GL	27	2	15	  -12.00	0	    8.00	0	0	  521.74	-3	7	NULL
real	FR	28	2	-15	   12.00	1	   -8.00	0	0	  557.75	-3	5	NULL
real	DR	29	2	15	   12.00	1	   -8.00	0	0	  700.75	-6	5	NULL
