TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	GR	1	1	15	   20.00	1	   -8.00	0	0	14183.24	-3	7	NULL
real	CL	2	1	15	  -20.00	0	    8.00	0	0	  931.63	-6	7	NULL
real	BR	3	1	-15	   20.00	1	   -8.00	0	0	  663.16	-6	5	NULL
real	AR	4	1	-15	   20.00	1	   -8.00	0	0	  673.85	-6	7	NULL
real	ER	5	1	-15	   20.00	1	   -8.00	0	0	  538.77	-3	7	NULL
real	DL	6	1	15	  -20.00	0	    8.00	0	0	  677.87	-6	5	NULL
real	EL	7	1	-15	  -20.00	0	    8.00	0	0	  624.23	-3	7	NULL
real	HL	8	1	15	  -20.00	0	    8.00	0	0	  549.20	-3	5	NULL
real	AL	9	1	-15	  -20.00	0	    8.00	0	0	  665.83	-6	7	NULL
real	HR	10	1	15	   20.00	1	   -8.00	0	0	  436.87	-3	5	NULL
real	FL	11	1	-15	  -20.00	0	    8.00	0	0	  443.66	-3	5	NULL
real	BL	12	1	-15	  -20.00	0	    8.00	0	0	  523.01	-6	5	NULL
real	FR	13	1	-15	   20.00	1	   -8.00	0	0	  506.57	-3	5	NULL
real	GL	14	1	15	  -20.00	0	    8.00	0	0	  452.78	-3	7	NULL
real	CR	15	1	15	   20.00	1	   -8.00	0	0	  530.42	-6	7	NULL
real	DR	16	1	15	   20.00	1	   -8.00	0	0	  507.96	-6	5	NULL
real	FR	17	2	-15	   12.00	1	   -8.00	0	0	  483.68	-3	5	NULL
real	GR	18	2	15	   12.00	1	   -8.00	0	0	  722.76	-3	7	NULL
real	DR	19	2	15	   12.00	1	   -8.00	0	0	  542.36	-6	5	NULL
real	CL	20	2	15	  -12.00	0	    8.00	0	0	  665.75	-6	7	NULL
real	GL	21	2	15	  -12.00	0	    8.00	0	0	  724.50	-3	7	NULL
real	ER	22	2	-15	   12.00	1	   -8.00	0	0	  483.03	-3	7	NULL
real	DL	23	2	15	  -12.00	0	    8.00	0	0	  602.08	-6	5	NULL
real	CR	24	2	15	   12.00	1	   -8.00	0	0	  605.22	-6	7	NULL
real	AL	25	2	-15	  -12.00	0	    8.00	0	0	  743.37	-6	7	NULL
real	HR	26	2	15	   12.00	1	   -8.00	0	0	  493.97	-3	5	NULL
