TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	BL	1	1	-15	  -20.00	0	    8.00	0	0	 2523.92	-6	5	NULL
real	EL	2	1	-15	  -20.00	0	    8.00	0	0	  673.18	-3	7	NULL
real	HL	3	1	15	  -20.00	0	    8.00	0	0	  435.36	-3	5	NULL
real	HR	4	1	15	   20.00	1	   -8.00	0	0	  475.73	-3	5	NULL
real	FL	5	1	-15	  -20.00	0	    8.00	0	0	  392.07	-3	5	NULL
real	DR	6	1	15	   20.00	1	   -8.00	0	0	  453.76	-6	5	NULL
real	ER	7	1	-15	   20.00	1	   -8.00	0	0	  469.54	-3	7	NULL
real	FR	8	1	-15	   20.00	1	   -8.00	0	0	  462.41	-3	5	NULL
real	AL	9	1	-15	  -20.00	0	    8.00	0	0	  446.16	-6	7	NULL
real	CL	10	1	15	  -20.00	0	    8.00	0	0	  411.31	-6	7	NULL
real	BR	11	1	-15	   20.00	1	   -8.00	0	0	  499.83	-6	5	NULL
real	GL	12	1	15	  -20.00	0	    8.00	0	0	  416.09	-3	7	NULL
real	DL	13	1	15	  -20.00	0	    8.00	0	0	  397.87	-6	5	NULL
real	CR	14	1	15	   20.00	1	   -8.00	0	0	  381.20	-6	7	NULL
real	GR	15	1	15	   20.00	1	   -8.00	0	0	  443.06	-3	7	NULL
real	AR	16	1	-15	   20.00	1	   -8.00	0	0	  366.24	-6	7	NULL
real	CR	17	2	15	   12.00	1	   -8.00	0	0	  404.87	-6	7	NULL
real	GR	18	2	15	   12.00	1	   -8.00	0	0	  383.40	-3	7	NULL
real	ER	19	2	-15	   12.00	1	   -8.00	0	0	  395.83	-3	7	NULL
real	DR	20	2	15	   12.00	1	   -8.00	0	0	  454.40	-6	5	NULL
real	HL	21	2	15	  -12.00	0	    8.00	0	0	  434.97	-3	5	NULL
real	AL	22	2	-15	  -12.00	0	    8.00	0	0	  449.95	-6	7	NULL
real	BL	23	2	-15	  -12.00	0	    8.00	0	0	  476.49	-6	5	NULL
real	CL	24	2	15	  -12.00	0	    8.00	0	0	  555.70	-6	7	NULL
real	AR	25	2	-15	   12.00	1	   -8.00	0	0	  429.88	-6	7	NULL
real	EL	26	2	-15	  -12.00	0	    8.00	0	0	  367.31	-3	7	NULL
real	FL	27	2	-15	  -12.00	0	    8.00	0	0	  384.91	-3	5	NULL
real	DL	28	2	15	  -12.00	0	    8.00	0	0	  381.72	-6	5	NULL
