TRIAL_TYPE	trial_variant	TRIAL_NUMBER	TRIAL_ITERATION_VAL	frame_tilt	rod_tilt	response	step_size	reversal	reversal_num	RT	probe_del	alpha_entrain_refreshes	rod_tilt_val
real	FR	1	1	-15	   20.00	1	   -8.00	0	0	 2992.13	-3	5	NULL
real	BL	2	1	-15	  -20.00	0	    8.00	0	0	 1475.05	-6	5	NULL
real	HL	3	1	15	  -20.00	0	    8.00	0	0	  861.94	-3	5	NULL
real	FL	4	1	-15	  -20.00	0	    8.00	0	0	  862.49	-3	5	NULL
real	CR	5	1	15	   20.00	1	   -8.00	0	0	  810.89	-6	7	NULL
real	EL	6	1	-15	  -20.00	0	    8.00	0	0	  757.36	-3	7	NULL
real	CL	7	1	15	  -20.00	0	    8.00	0	0	  834.84	-6	7	NULL
real	GR	8	1	15	   20.00	1	   -8.00	0	0	 1059.41	-3	7	NULL
real	AR	9	1	-15	   20.00	1	   -8.00	0	0	  775.17	-6	7	NULL
real	GL	10	1	15	  -20.00	0	    8.00	0	0	  833.22	-3	7	NULL
real	ER	11	1	-15	   20.00	1	   -8.00	0	0	  816.59	-3	7	NULL
real	AL	12	1	-15	  -20.00	0	    8.00	0	0	 1163.57	-6	7	NULL
real	BR	13	1	-15	   20.00	1	   -8.00	0	0	  867.48	-6	5	NULL
real	DR	14	1	15	   20.00	1	   -8.00	0	0	  602.04	-6	5	NULL
real	DL	15	1	15	  -20.00	0	    8.00	0	0	  828.59	-6	5	NULL
real	HR	16	1	15	   20.00	1	   -8.00	0	0	  661.22	-3	5	NULL
real	CL	17	2	15	  -12.00	0	    8.00	0	0	  921.54	-6	7	NULL
real	FL	18	2	-15	  -12.00	0	    8.00	0	0	  913.36	-3	5	NULL
real	ER	19	2	-15	   12.00	1	   -8.00	0	0	  824.01	-3	7	NULL
real	GL	20	2	15	  -12.00	1	   -4.00	1	1	  908.60	-3	7	NULL
real	CR	21	2	15	   12.00	1	   -8.00	0	0	 1456.24	-6	7	NULL
real	BL	22	2	-15	  -12.00	0	    8.00	0	0	  985.33	-6	5	NULL
real	GR	23	2	15	   12.00	1	   -8.00	0	0	 1283.47	-3	7	NULL
real	FR	24	2	-15	   12.00	1	   -8.00	0	0	 1005.50	-3	5	NULL
real	BR	25	2	-15	   12.00	1	   -8.00	0	0	  841.94	-6	5	NULL
real	DR	26	2	15	   12.00	1	   -8.00	0	0	  918.23	-6	5	NULL
real	HR	27	2	15	   12.00	1	   -8.00	0	0	  677.71	-3	5	NULL
real	AR	28	2	-15	   12.00	1	   -8.00	0	0	  658.45	-6	7	NULL
real	EL	29	2	-15	  -12.00	0	    8.00	0	0	  754.17	-3	7	NULL
real	DL	30	2	15	  -12.00	0	    8.00	0	0	  829.07	-6	5	NULL
real	HL	31	2	15	  -12.00	0	    8.00	0	0	  785.74	-3	5	NULL
real	AL	32	2	-15	  -12.00	0	    8.00	0	0	  744.51	-6	7	NULL
real	GL	33	3	15	  -16.00	0	    2.00	1	2	  779.26	-3	7	NULL
real	FL	34	3	-15	   -4.00	1	   -4.00	1	1	 1083.74	-3	5	NULL
real	DL	35	3	15	   -4.00	0	    8.00	0	0	  757.10	-6	5	NULL
real	HR	36	3	15	    4.00	0	    4.00	1	1	 1242.67	-3	5	NULL
real	HL	37	3	15	   -4.00	0	    8.00	0	0	  582.19	-3	5	NULL
real	FR	38	3	-15	    4.00	1	   -8.00	0	0	  663.54	-3	5	NULL
real	GR	39	3	15	    4.00	1	   -8.00	0	0	  759.38	-3	7	NULL
real	CR	40	3	15	    4.00	1	   -8.00	0	0	  548.47	-6	7	NULL
real	AR	41	3	-15	    4.00	1	   -8.00	0	0	  613.17	-6	7	NULL
real	AL	42	3	-15	   -4.00	0	    8.00	0	0	  576.24	-6	7	NULL
real	CL	43	3	15	   -4.00	0	    8.00	0	0	  776.94	-6	7	NULL
real	BR	44	3	-15	    4.00	1	   -8.00	0	0	  555.47	-6	5	NULL
real	BL	45	3	-15	   -4.00	0	    8.00	0	0	  656.78	-6	5	NULL
real	DR	46	3	15	    4.00	1	   -8.00	0	0	  687.45	-6	5	NULL
real	ER	47	3	-15	    4.00	1	   -8.00	0	0	  639.04	-3	7	NULL
real	EL	48	3	-15	   -4.00	0	    8.00	0	0	  705.41	-3	7	NULL
real	CL	49	4	15	    4.00	1	   -4.00	1	1	  689.35	-6	7	NULL
real	DR	50	4	15	   -4.00	0	    4.00	1	1	  623.69	-6	5	NULL
real	GL	51	4	15	  -14.00	0	    2.00	0	2	  595.11	-3	7	NULL
real	FR	52	4	-15	   -4.00	0	    4.00	1	1	  686.25	-3	5	NULL
real	AL	53	4	-15	    4.00	1	   -4.00	1	1	  594.46	-6	7	NULL
real	EL	54	4	-15	    4.00	1	   -4.00	1	1	  522.89	-3	7	NULL
real	HL	55	4	15	    4.00	1	   -4.00	1	1	  580.87	-3	5	NULL
real	BR	56	4	-15	   -4.00	0	    4.00	1	1	  643.17	-6	5	NULL
real	FL	57	4	-15	   -8.00	0	    2.00	1	2	  465.04	-3	5	NULL
real	HR	58	4	15	    8.00	1	   -2.00	1	2	  523.54	-3	5	NULL
real	ER	59	4	-15	   -4.00	0	    4.00	1	1	  593.47	-3	7	NULL
real	DL	60	4	15	    4.00	1	   -4.00	1	1	  693.76	-6	5	NULL
real	BL	61	4	-15	    4.00	1	   -4.00	1	1	  496.81	-6	5	NULL
real	CR	62	4	15	   -4.00	0	    4.00	1	1	  658.87	-6	7	NULL
real	AR	63	4	-15	   -4.00	0	    4.00	1	1	  559.45	-6	7	NULL
real	GR	64	4	15	   -4.00	0	    4.00	1	1	  665.18	-3	7	NULL
real	FL	65	5	-15	   -6.00	0	    2.00	0	2	  542.52	-3	5	NULL
real	BR	66	5	-15	    0.00	1	   -2.00	1	2	  753.85	-6	5	NULL
real	AL	67	5	-15	    0.00	1	   -4.00	0	1	  685.13	-6	7	NULL
real	ER	68	5	-15	    0.00	1	   -2.00	1	2	  525.88	-3	7	NULL
real	HL	69	5	15	    0.00	0	    2.00	1	2	  728.32	-3	5	NULL
